Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
28,Marcus Smart,PG,MEM,"Ankle, Illness, Shoulder, Finger",32,"6810/31-11/12, 11/17-11/23, 12/19-2/3, 2/23-2/23","$7,800,552"
29,Lauri Markkanen,PF,UTA,"Back, Personal, Injury Management",18,"3010/31-11/6, 11/27-11/27, 12/6-12/7, 1/12-1/17, 1/28-1/28, 2/5-2/5, 2/8-2/8, 2/24-2/24, 2/26-3/7","$7,271,790"
30,Herb Jones,SF,NOP,Shoulder,44,"9410/30-12/4, 1/10-3/8","$7,010,238"
31,John Collins,PF,UTA,"Knee, Hip, Illness, Rest, Back",24,"4411/27-11/28, 12/23-1/6, 1/7-1/17, 1/25-1/28, 2/8-2/8, 2/22-2/26, 3/2-3/7","$6,721,396"
32,Aaron Gordon,PF,DEN,"Calf, Injury Management, Ankle",27,"5011/6-11/30, 12/7-12/7, 12/27-1/10, 1/15-1/15, 2/3-2/3, 2/12-2/12, 2/28-3/5","$6,563,650"
33,Kevin Durant,SF,PHX,"Calf, Ankle",12,"2211/10-11/24, 12/5-12/8, 2/5-2/7","$6,303,638"
34,Isaiah Hartenstein,C,OKC,"Hand, Calf, Nose",21,"3610/24-11/19, 1/16-1/23, 3/7-3/7","$6,206,904"
35,Jarred Vanderbilt,PF,LAL,"Foot, Injury Management",46,"9610/22-1/23, 1/28-1/28, 2/20-2/20","$5,911,296"
36,Lonzo Ball,PG,CHI,"Injury Management, Wrist, Illness, Knee, Quad",29,"4810/24-10/26, 10/30-11/26, 12/5-12/5, 12/23-12/23, 1/15-1/15, 1/19-1/19, 2/5-2/5, 2/8-2/12, 3/2-3/8","$5,902,176"
37,Chet Holmgren,C,OKC,"Hip, Rest, Ankle, Leg",45,"9411/11-2/5, 2/8-2/8, 2/12-2/12, 2/24-2/24, 3/2-3/2, 3/5-3/7","$5,878,008"
38,Rudy Gobert,C,MIN,Back,9,232/13-3/7,"$5,793,309"
39,Jerami Grant,PF,POR,"Knee, Face, Ankle",18,"3211/27-11/30, 12/30-1/16, 1/30-1/30, 2/10-2/12, 2/28-3/5","$5,479,200"
40,Ben Simmons,PG,BKN,"Injury Management, Back, Calf, Illness, Personal, Knee",22,"3010/29-10/29, 11/4-11/6, 11/13-11/13, 11/25-11/25, 12/2-12/3, 12/27-12/27, 1/2-1/2, 1/4-1/8, 1/15-1/15, 1/21-1/22, 1/25-1/27, 2/4-2/4, 2/7-2/7, 2/24-2/24, 3/2-3/7","$5,375,577"
41,C.J. McCollum,SG,NOP,"Adductor, Personal, Rest",15,"2810/30-11/24, 2/10-2/10, 2/28-2/28","$5,363,988"
42,Kyrie Irving,PG,DAL,"Shoulder, Illness, Back, Knee Acl",15,"2311/14-11/14, 12/1-12/1, 12/19-12/19, 12/30-12/30, 1/3-1/3, 1/3-1/13, 1/15-1/15, 2/2-2/2, 2/13-2/13, 3/4-3/7","$5,287,355"
43,Saddiq Bey,SF,WAS,Knee,61,13610/24-3/8,"$5,034,040"
44,Brandon Miller,SF,CHA,"Hip, Ankle, Wrist",39,"7610/23-11/1, 12/19-12/25, 12/28-1/4, 1/17-3/8","$4,990,084"
45,Max Strus,SG,CLE,"Ankle, Injury Management",29,"5610/23-12/15, 12/21-12/21, 2/10-2/10","$4,895,856"
46,Paolo Banchero,PF,ORL,Oblique,33,7011/1-1/9,"$4,892,300"
47,Moritz Wagner,C,ORL,Knee Acl,35,7712/22-3/8,"$4,867,786"
48,Jordan Clarkson,SG,UTA,"Heel, Foot, Knee, Injury Management",30,"6011/2-11/6, 11/21-11/22, 11/26-12/12, 12/26-12/26, 1/5-1/25, 1/28-1/28, 2/7-2/7, 2/13-2/13, 2/22-2/24, 2/28-3/2, 3/3-3/7","$4,859,520"
49,Miles Bridges,SF,CHA,"Knee, Back",14,"3111/8-11/15, 11/21-12/12, 1/24-1/24","$4,841,332"
50,Bogdan Bogdanovic,SG,ATL,"Hamstring, Quad, Leg, Injury Management, Personal",26,"4810/24-11/17, 11/30-12/1, 12/8-12/8, 12/23-1/1, 1/4-1/4, 1/28-2/5","$4,761,360"
51,Devin Vassell,SG,SAS,"Foot, Injury Management",14,"2810/24-11/8, 11/16-11/26, 12/6-12/6","$4,722,648"
52,Robert Williams III,C,POR,"Hamstring, Injury Management, Rest, Concussion, Ankle, Illness, Hand, Knee",34,"6510/23-11/7, 11/13-11/13, 11/23-11/23, 11/27-12/14, 12/23-12/26, 1/9-1/9, 1/11-1/14, 1/19-1/19, 1/24-1/24, 2/1-2/1, 2/10-2/12, 2/22-3/7","$4,642,885"
53,Aaron Nesmith,SF,IND,Ankle,35,7211/4-1/14,"$4,551,696"
54,Jaylen Brown,SF,BOS,"Hip, Illness, Shoulder, Knee, Ankle",11,"1611/2-11/9, 12/1-12/1, 1/2-1/3, 2/10-2/12, 2/26-2/26, 3/6-3/6","$4,524,672"
55,Stephen Curry,PG,GSW,"Ankle, Knee, Injury Management",8,"1410/29-11/3, 11/27-11/29, 12/5-12/5, 12/27-12/27, 1/4-1/4, 1/10-1/10, 1/28-1/28","$4,486,538"
56,Damian Lillard,PG,MIL,"Concussion, Calf, Illness, Groin, Hamstring",10,"1611/12-11/17, 12/20-12/25, 12/26-12/26, 2/3-2/3, 2/12-2/12, 2/21-2/21","$4,486,224"
57,Julius Randle,PF,MIN,Adductor,13,282/1-2/28,"$4,435,200"
58,Jrue Holiday,PG,BOS,"Knee, Shoulder, Rest, Finger",16,"2511/16-11/16, 12/2-12/4, 12/25-12/29, 1/22-1/22, 2/6-2/12, 2/25-2/25, 2/28-3/6","$4,310,350"
59,Taylor Hendricks,PF,UTA,"Leg, Ankle",59,"12810/29-2/21, 2/22-3/5","$4,302,464"
60,Desmond Bane,SG,MEM,"Oblique, Toe, Ankle, Hip",12,"2110/31-11/14, 12/8-12/8, 1/6-1/6, 2/3-2/5, 3/1-3/1","$4,104,072"
61,Patrick Williams,PF,CHI,"Foot, Quad",19,"3911/20-12/11, 2/20-3/8","$4,034,472"
62,Nikola Topic,PG,OKC,Knee,63,13510/24-3/7,"$3,829,680"
63,Kelly Olynyk,PF,TOR,"Back, Calf, Rest",27,"5110/23-12/6, 1/25-1/29, 2/27-2/27","$3,753,141"
64,Jimmy Butler,SF,MIA,"Ankle, Knee, Illness, Back",8,"1311/10-11/17, 12/2-12/2, 12/21-12/23, 3/1-3/1","$3,645,876"
65,Cameron Johnson,SF,BKN,Ankle,15,"2812/2-12/2, 1/4-1/12, 1/15-1/17, 1/22-2/4, 3/8-3/8","$3,620,680"
66,Draymond Green,PF,GSW,"Calf, Ankle, Back, Undisclosed",15,"2512/3-12/5, 12/21-12/21, 12/27-12/27, 1/10-1/10, 1/13-1/31","$3,463,675"
67,Marvin Bagley III,PF,WAS,"Illness, Knee",26,"4811/4-11/4, 12/26-2/5, 2/8-2/12","$3,448,272"
68,Tyrese Maxey,PG,PHI,"Hamstring, Hand, Knee, Back",10,"1711/8-11/19, 1/14-1/14, 2/12-2/12, 3/4-3/6","$3,433,898"
69,Larry Nance Jr.,PF,ATL,"Hand, Knee",25,"5312/29-1/23, 1/27-1/28, 2/12-3/8","$3,413,041"
70,Maxi Kleber,PF,DAL,"Hamstring, Illness, Foot",28,"5310/28-11/9, 12/7-12/7, 12/10-12/10, 1/27-1/31, 2/4-3/8","$3,350,554"
71,Isaac Okoro,SG,CLE,"Ankle, Knee, Shoulder",26,"5611/19-11/23, 12/5-12/12, 12/20-1/5, 1/18-2/12","$3,278,016"
72,Jaden Ivey,SG,DET,"Toe, Knee, Leg",34,"7111/13-11/14, 12/16-12/19, 1/3-3/8","$3,255,066"
73,Zach LaVine,SG,CHI,"Adductor, Back, Toe, Personal",8,"1311/4-11/8, 12/16-12/17, 12/30-12/30, 1/29-2/2","$3,215,030"
74,Norman Powell,SG,LAC,"Hamstring, Back, Hip, Knee",17,"2911/20-11/30, 12/4-12/6, 1/22-1/22, 2/2-2/2, 2/20-2/28, 3/4-3/7","$3,206,907"
75,Cade Cunningham,PG,DET,"Hip, Back, Ankle",5,"4011/23-12/28, 11/30-11/28, 2/7-2/7","$3,204,800"
76,Isaiah Jackson,PF,IND,Achilles,56,12511/4-3/8,"$3,186,375"
77,OG Anunoby,SF,NYK,Foot,7,"152/3-2/4, 2/8-2/20","$3,158,445"
78,Tre Mann,PG,CHA,"Back, Injury Management",51,"11111/12-11/15, 11/17-11/17, 11/23-3/8","$3,131,199"
79,Jalen Suggs,SG,ORL,"Hamstring, Ankle, Back, Quad, Knee",31,"5911/25-11/25, 12/21-12/21, 1/5-1/23, 1/27-1/30, 2/1-2/27, 3/2-3/8","$3,115,613"
80,Jusuf Nurkic,C,PHX,"Ankle, Quad, Illness, Neck",14,"2811/12-11/12, 11/18-11/19, 11/30-12/11, 1/12-1/20, 2/27-3/1, 3/8-3/8","$2,916,676"
81,Caleb Martin,SF,PHI,"Back, Shoulder, Groin, Hip",29,"6211/27-12/2, 12/13-12/20, 1/12-2/2, 2/8-3/5","$2,903,646"
82,Jamal Murray,PG,DEN,"Head, Hamstring, Ankle, Knee",7,"1411/2-11/7, 12/7-12/12, 12/23-12/23, 2/6-2/6","$2,897,860"
83,Jonathan Kuminga,PF,GSW,"Illness, Ankle",32,"6511/23-11/23, 11/25-11/25, 1/5-3/8","$2,852,655"
84,R.J. Barrett,SG,TOR,"Shoulder, Illness, Concussion, Rest",14,"1910/23-10/27, 12/19-12/19, 12/22-12/22, 12/31-12/31, 1/1-1/1, 1/3-1/3, 2/4-2/11, 3/7-3/7","$2,816,655"
85,Kobe Bufkin,PG,ATL,Shoulder,51,"10610/23-11/17, 12/19-3/8","$2,618,942"
86,De'Andre Hunter,SF,ATL,"Knee, Personal, Foot, Illness",13,"2110/27-11/8, 11/12-11/16, 1/14-1/15, 1/25-1/25","$2,618,532"
87,Jakob Poeltl,C,TOR,"Illness, Groin, Hip, Rest",14,"2312/5-12/5, 12/19-12/26, 2/5-2/12, 2/21-2/25, 3/7-3/7","$2,577,587"
88,Cody Zeller,C,ATL,Personal,60,"12810/22-2/5, 2/9-3/1","$2,574,720"
89,Donte DiVincenzo,SG,MIN,Toe,18,391/17-2/24,"$2,565,264"
90,Jordan Poole,SG,WAS,"Hip, Elbow",10,"1511/24-11/26, 12/28-12/30, 1/5-1/8, 3/1-3/5","$2,556,195"
91,Devin Booker,SG,PHX,"Groin, Back",6,"912/21-12/28, 2/12-2/12","$2,545,128"
92,Domantas Sabonis,PF,SAC,"Back, Illness, Hamstring",6,"1111/16-11/20, 12/26-12/26, 3/3-3/7","$2,478,157"
93,DaRon Holmes II,PF,DEN,Achilles,63,13810/21-3/7,"$2,431,422"
94,Gary Harris,SG,ORL,Hamstring,27,"5611/27-12/26, 1/3-1/27, 2/6-2/6","$2,413,768"
95,Caris LeVert,SG,CLE,"Knee, Wrist",13,"2511/2-11/5, 11/19-11/28, 1/20-1/30","$2,387,275"
96,Jabari Smith Jr.,PF,HOU,Hand,23,421/3-2/13,"$2,358,468"
97,Alex Caruso,SG,OKC,"Hip, Ankle, Rest",23,"4011/13-11/17, 11/25-12/4, 12/25-1/12, 2/1-2/3, 2/13-2/13, 2/28-2/28, 3/5-3/5","$2,273,560"
98,PJ Washington,PF,DAL,"Knee, Illness, Personal, Ankle",16,"2511/6-11/15, 12/10-12/10, 2/2-2/2, 2/4-2/6, 2/10-2/13, 2/27-2/27, 3/3-3/7","$2,227,000"
99,Daniel Gafford,C,DAL,"Illness, Ankle, Knee",13,"2811/27-11/28, 1/7-1/7, 2/2-2/2, 2/12-3/7","$2,155,384"
100,Jonathan Isaac,PF,ORL,"Hip, Hamstring, Back, Illness",9,"1510/23-10/29, 12/6-12/10, 2/12-2/12, 2/21-2/21, 3/6-3/6","$2,155,170"
101,Dorian Finney-Smith,PF,BKN,"Ankle, Calf, Personal, Shoulder",15,"2611/11-11/14, 11/24-11/26, 11/29-12/6, 12/21-12/26, 1/15-1/17, 1/30-1/30, 2/12-2/12","$2,149,680"
102,Josh Okogie,SG,PHX,Hamstring,23,"4510/23-10/31, 2/1-3/8","$2,133,630"
103,Collin Sexton,PG,UTA,"Rest, Ankle",13,"201/15-1/16, 2/4-2/13, 2/21-2/26, 3/2-3/2, 3/5-3/5","$2,086,200"
104,Cameron Thomas,SG,BKN,"Back, Hamstring, Injury Management",40,"8911/19-11/19, 11/27-12/28, 1/1-1/1, 1/4-2/26, 3/1-3/1","$2,067,114"
105,Nicolas Claxton,C,BKN,"Injury Management, Back, Hamstring",7,"1310/30-10/30, 11/15-11/21, 11/25-11/28, 1/14-1/14","$2,058,849"
106,D'Angelo Russell,PG,LAL,"Illness, Thumb, Shin, Hamstring, Ankle",13,"1912/1-12/1, 12/25-12/25, 1/6-1/12, 1/15-1/15, 1/22-1/22, 2/22-3/1","$2,041,113"
107,Victor Wembanyama,C,SAS,"Knee, Back, Illness, Shoulder",15,"2711/16-11/22, 12/5-12/7, 2/1-2/1, 2/20-3/7","$1,981,395"
108,Terance Mann,SG,LAC,Finger,11,3012/4-1/2,"$1,969,500"
109,Christian Wood,C,LAL,Knee,53,11210/22-2/10,"$1,954,288"
110,Rui Hachimura,PF,LAL,"Illness, Ankle, Calf, Knee",12,"2011/6-11/6, 11/15-11/21, 1/25-1/27, 2/28-3/8","$1,954,020"
111,Devin Carter,PG,SAC,"Shoulder, Wrist",35,"7210/24-1/2, 1/19-1/19","$1,940,256"
112,Tre Jones,PG,SAS,"Ankle, Shoulder",17,"3710/25-11/15, 12/3-12/17","$1,935,951"
113,Kenyon Martin Jr.,SF,PHI,Foot,22,4212/25-2/4,"$1,924,986"
114,Ausar Thompson,SG,DET,"Adductor, Illness",5,"3912/4-1/7, 12/4-12/4, 1/6-1/8","$1,877,382"
115,Dereck Lively II,C,DAL,"Shoulder, Knee, Hip, Ankle",32,"6511/4-11/11, 12/1-12/2, 12/27-12/30, 1/15-1/31, 2/2-3/7","$1,873,235"
116,Jared McCain,PG,PHI,Knee,38,8112/16-3/6,"$1,871,586"
117,Cody Martin,SF,CHA,"Knee, Groin, Hernia",21,"4012/28-12/30, 1/25-2/5, 2/11-3/7","$1,866,680"
118,Franz Wagner,SF,ORL,Oblique,20,4512/8-1/21,"$1,812,195"
119,Dante Exum,PG,DAL,"Wrist, Achilles, Foot",50,"10010/24-1/29, 2/12-2/12, 3/5-3/5","$1,810,300"
120,Malik Monk,SG,SAC,"Ankle, Groin, Toe",10,"1811/11-11/24, 1/14-1/14, 3/5-3/7","$1,800,540"
121,Nikola Jokic,C,DEN,"Personal, Illness, Elbow",6,"611/15-11/15, 11/17-11/17, 11/19-11/19, 1/7-1/8, 1/15-1/15","$1,772,964"
122,Wendell Carter Jr.,C,ORL,Knee,13,2511/1-11/25,"$1,716,950"
123,Dean Wade,PF,CLE,"Illness, Ankle, Knee",20,"4611/4-11/7, 11/19-12/2, 12/23-12/23, 1/25-2/20","$1,630,286"
124,Scottie Barnes,PF,TOR,"Eye, Ankle, Hip",14,"2810/30-11/20, 12/12-12/16, 2/26-2/26","$1,630,272"
125,Grayson Allen,SG,PHX,"Achilles, Hamstring, Head, Knee, Foot",11,"1810/24-10/27, 11/13-11/15, 12/23-12/31, 2/12-2/12, 2/28-2/28","$1,616,382"
126,Nikola Vucevic,C,CHI,"Illness, Calf",8,"1412/13-12/13, 2/24-3/8","$1,609,202"
127,Vlatko Cancar,PF,DEN,"Ankle, Knee",54,"11511/1-11/14, 11/22-3/2","$1,602,985"
128,Steven Adams,C,HOU,"Knee, Migraine, Ankle",15,"2210/23-10/27, 11/2-11/3, 11/6-11/7, 11/10-11/10, 11/13-11/14, 11/17-11/17, 11/23-11/26, 1/20-1/20, 1/28-1/28, 2/6-2/6, 2/9-2/9, 2/22-2/22","$1,593,108"
129,Precious Achiuwa,PF,NYK,Hamstring,22,"4510/22-12/4, 3/6-3/6","$1,551,735"
130,Alex Sarr,PF,WAS,"Back, Illness, Ankle",15,"2412/7-12/11, 12/23-12/23, 1/8-1/8, 1/29-2/10, 2/23-2/26","$1,551,120"
131,Clint Capela,C,ATL,"Knee, Back, Personal, Undisclosed",9,"121/23-1/23, 1/30-2/5, 2/7-2/7, 2/8-2/8, 2/10-2/10, 2/12-2/12","$1,535,532"
132,Jalen Hood-Schifino,PG,LAL,"Illness, Groin, Hamstring",35,"6810/24-10/25, 11/13-11/21, 11/23-11/23, 12/2-12/6, 12/13-2/1","$1,516,264"
133,Jalen Johnson,SF,ATL,"Leg, Shoulder",29,"5811/18-11/18, 12/8-12/8, 1/1-1/1, 1/4-1/15, 1/25-3/8","$1,503,650"
134,Anfernee Simons,SG,POR,"Chest, Elbow",4,"1011/13-11/21, 1/19-1/19","$1,488,100"
135,Terry Rozier,PG,MIA,"Foot, Knee, Illness",5,"1011/18-11/24, 12/23-12/23, 2/12-2/13","$1,432,420"
136,Karl-Anthony Towns,C,NYK,"Knee, Thumb, Personal",5,"511/15-11/15, 1/6-1/6, 1/17-1/17, 2/26-2/26, 3/4-3/4","$1,413,960"
137,DeMar DeRozan,SF,SAC,Back,5,"1011/15-11/20, 11/27-11/30","$1,344,830"
138,Noah Clowney,PF,BKN,"Hip, Back, Ankle",23,"7211/4-12/7, 1/2-1/2, 1/29-3/6","$1,342,368"
139,James Wiseman,C,IND,Achilles,48,10410/24-2/4,"$1,337,440"
140,Jeremy Sochan,PF,SAS,"Thumb, Back",19,"4011/6-12/2, 1/3-1/3, 1/8-1/19","$1,280,480"
141,Gary Payton II,PG,GSW,"Calf, Ankle, Nose",12,"2412/23-1/13, 2/13-2/13, 3/4-3/4","$1,259,304"
142,Vincent Williams Jr.,SF,MEM,"Leg, Ankle, Knee",50,"10210/23-11/14, 11/20-2/3, 2/12-2/12, 2/21-2/21, 3/1-3/1","$1,243,176"
143,Trae Young,PG,ATL,"Achilles, Heel, Ribs, Hamstring",4,"511/12-11/13, 12/21-12/21, 1/15-1/15, 1/27-1/27","$1,236,550"
144,Ayo Dosunmu,PG,CHI,"Achilles, Shoulder",15,"3012/26-1/14, 2/22-2/26, 3/2-3/6","$1,206,900"
145,Ziaire Williams,SF,BKN,"Knee, Ankle",14,"3312/2-1/1, 1/21-1/22","$1,163,151"
146,Mark Williams,C,CHA,"Foot, Injury Management",27,"4910/23-12/2, 12/20-12/20, 1/25-1/25, 1/29-1/31, 2/24-2/24, 3/7-3/7, 3/8-3/8","$1,152,970"
147,Kris Murray,PF,POR,"Sternum, Chest, Quad",4,"6611/25-1/27, 1/21-1/21, 2/10-2/10","$1,134,144"
148,Austin Reaves,SG,LAL,"Back, Calf",6,"1512/1-12/12, 3/2-3/4","$1,118,655"
149,Klay Thompson,SG,DAL,"Foot, Illness, Ankle",8,"1211/25-12/2, 12/30-12/30, 1/22-1/23, 2/13-2/13","$1,094,688"
150,Kyle Lowry,PG,PHI,"Hip, Back",28,"5711/20-11/30, 12/13-12/13, 12/30-12/30, 1/6-1/24, 2/4-2/4, 2/11-3/6","$1,082,259"
151,Donovan Clingan,C,POR,"Knee, Rest, Ankle",12,"2711/25-12/12, 1/8-1/8, 1/16-1/23","$1,060,830"
152,Trey Lyles,PF,SAC,Calf,10,2311/27-12/19,"$1,057,471"
153,Darius Garland,PG,CLE,"Groin, Rest, Hip",4,"511/20-11/20, 1/29-1/29, 2/23-2/25","$1,055,335"
154,Trendon Watford,PF,BKN,"Hamstring, Injury Management",36,"6610/23-11/15, 12/19-1/27, 2/5-2/5, 3/1-3/1","$1,034,220"
155,Myles Turner,C,IND,"Ankle, Calf, Illness, Concussion",7,"910/30-10/30, 11/18-11/18, 1/8-1/8, 2/3-2/3, 2/8-2/12","$1,030,788"
156,Michael Porter Jr.,SF,DEN,Hamstring,3,52/8-2/12,"$1,030,460"
157,Jaren Jackson Jr.,PF,MEM,"Hamstring, Ankle",5,"710/23-10/26, 3/5-3/7","$1,016,120"
158,Luke Kennard,SG,MEM,"Foot, Illness, Hamstring",12,"1910/23-11/5, 12/5-12/8, 1/4-1/4","$1,010,059"
159,Andre Drummond,C,PHI,"Illness, Ankle, Toe, Injury Management",21,"3511/13-11/13, 12/3-12/5, 12/25-12/31, 1/2-1/2, 1/6-1/14, 1/19-1/19, 1/24-2/5","$1,005,760"
160,Jayson Tatum,PF,BOS,"Knee, Illness, Shoulder",4,"512/4-12/5, 12/12-12/12, 12/23-12/23, 3/5-3/5","$1,001,390"
161,De'Aaron Fox,PG,SAC,Glute,3,51/6-1/10,"$1,001,390"
162,Goga Bitadze,C,ORL,"Foot, Ankle, Back",11,"1910/28-11/3, 12/3-12/3, 1/15-1/25","$989,083"
163,Josh Richardson,SG,MIA,"Shoulder, Calf, Illness, Heel",28,"5610/23-10/29, 10/30-10/30, 12/1-12/2, 12/12-1/2, 1/13-2/5","$981,960"
164,Rob Dillingham,PG,MIN,Ankle,13,"2712/2-12/11, 12/29-1/11, 12/29-12/31","$971,838"
165,Tyrese Haliburton,PG,IND,"Hamstring, Hip Flexor",3,"41/14-1/14, 3/6-3/8","$969,572"
166,Kevin Huerter,SG,SAC,"Illness, Ankle, Shoulder, Knee",6,"1011/2-11/5, 12/1-12/2, 12/16-12/16, 3/2-3/4","$967,260"
167,Onyeka Okongwu,C,ATL,"Injury Management, Knee",7,"1210/28-10/28, 11/3-11/3, 12/19-12/28","$965,520"
168,Zach Edey,C,MEM,"Ankle, Concussion",14,"2911/19-12/14, 12/29-12/31","$959,494"
169,Day'Ron Sharpe,C,BKN,"Hamstring, Illness",22,"4110/23-12/1, 1/8-1/8","$939,966"
170,Bobby Portis,PF,MIL,"Elbow, Personal",7,"1311/13-11/15, 1/25-2/3","$939,757"
171,G.G. Jackson,PF,MEM,"Foot, Eye",42,"8610/23-1/15, 2/28-2/28","$935,078"
172,Pat Connaughton,SG,MIL,Calf,9,"172/7-2/9, 2/23-3/8","$920,720"
173,Jordan Hawkins,SG,NOP,"Back, Illness",15,"3411/4-11/5, 11/8-11/21, 11/29-12/15, 1/31-1/31","$884,340"
174,Tobias Harris,PF,DET,"Hip, Hand, Personal",4,"611/27-11/28, 12/16-12/16, 3/3-3/5","$874,686"
175,Zaccharie Risacher,SF,ATL,Adductor,7,"121/15-1/25, 1/28-1/28","$866,832"
176,Nick Richards,C,CHA,"Shoulder, Ankle",16,"3011/2-11/29, 12/6-12/7","$862,080"
177,Isaiah Stewart,C,DET,"Knee, Back",5,"1012/19-12/27, 3/3-3/3","$862,070"
178,Mike Conley,PG,MIN,"Rest, Toe, Thumb, Finger",10,"1511/13-11/13, 11/21-11/26, 1/30-1/30, 2/8-2/13, 3/5-3/5","$859,995"
