Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
29,Gary Harris,SG,DEN,"Shin, Groin, Personal",9,"5412/29-1/1, 1/15-1/23, 1/30-3/11","$5,442,498"
30,Marvin Bagley III,PF,SAC,"Thumb, Foot",51,"11210/25-12/10, 12/28-1/12, 1/22-3/11","$5,414,080"
31,Al-Farouq Aminu,PF,ORL,Knee,47,10112/1-3/11,"$5,282,805"
32,Zion Williamson,PF,NOP,"Knee, Toe",45,"9510/22-1/21, 2/8-2/10","$5,237,065"
33,Kemba Walker,PG,BOS,"Neck, Illness, Knee, Rest",14,"2711/25-11/26, 1/3-1/7, 1/18-1/19, 2/1-2/6, 2/21-3/2, 3/4-3/4","$4,994,541"
34,Clint Capela,C,HOU,"Concussion, Illness, Heel",25,"5711/15-11/17, 11/27-12/2, 12/28-12/30, 1/11-1/13, 1/27-1/28, 1/31-2/4, 2/5-3/11","$4,797,177"
35,Allen Crabbe,SG,ATL,"Knee, Illness, Personal",18,"4510/24-11/13, 12/2-12/3, 12/4-12/7, 1/18-1/19, 1/27-2/4, 2/23-2/29","$4,703,400"
36,Kyle Lowry,PG,TOR,"Thumb, Neck",12,"2511/10-12/2, 2/8-2/9","$4,702,875"
37,Draymond Green,PF,GSW,"Finger, Heel, Rest, Ankle, Illness, Back, Groin, Knee",22,"4111/2-11/10, 11/20-11/26, 12/2-12/2, 12/13-12/13, 1/6-1/7, 1/18-1/19, 1/20-1/21, 2/8-2/9, 2/23-2/26, 2/29-3/11","$4,294,381"
38,Malcolm Brogdon,PG,IND,"Back, Hand, Hamstring, Concussion, Hip, Quad",16,"3611/16-11/24, 12/7-12/8, 12/27-12/30, 1/2-1/12, 1/24-1/28, 3/6-3/7, 3/8-3/11","$4,067,784"
39,Ian Mahinmi,C,WAS,Achilles,20,"4510/23-12/4, 12/6-12/7","$3,927,960"
40,Kevin Love,C,CLE,"Back, Illness, Hip, Rest, Achilles",9,"2411/18-11/19, 11/23-11/26, 12/6-12/6, 12/28-12/30, 1/5-1/5, 1/14-1/14, 2/12-2/23","$3,924,456"
41,Kawhi Leonard,SF,LAC,"Rest, Knee",12,"2110/30-10/30, 11/6-11/6, 11/14-11/14, 11/16-11/19, 11/27-11/27, 12/9-12/10, 12/14-12/14, 12/22-12/24, 1/5-1/9, 1/22-1/22, 2/9-2/9","$3,884,643"
42,Kristaps Porzingis,PF,DAL,"Rest, Knee",15,"2511/9-11/9, 1/2-1/20, 2/1-2/1, 2/8-2/8, 2/22-2/22, 3/2-3/2, 3/11-3/11","$3,853,825"
43,Serge Ibaka,C,TOR,"Ankle, Illness, Knee",14,"2811/10-11/30, 2/10-2/11, 2/29-3/4","$3,681,384"
44,Derrick Favors,C,NOP,"Knee, Back, Personal, Hamstring",19,"4010/28-11/3, 11/17-11/26, 11/27-12/12, 1/11-1/15, 1/20-1/21","$3,615,800"
45,James Johnson,PF,MIA,"Personal, Illness",18,"4110/23-11/2, 11/12-11/21, 12/13-12/15, 12/16-12/26, 12/30-1/4","$3,504,557"
46,Nikola Vucevic,C,ORL,Ankle,11,2211/23-12/14,"$3,480,224"
47,Zach Collins,C,POR,Shoulder,63,13610/28-3/11,"$3,258,016"
48,LaMarcus Aldridge,PF,SAS,"Thigh, Thumb, Shoulder",10,"2212/1-12/5, 1/27-1/31, 2/26-3/9","$3,231,646"
49,Dwight Powell,C,DAL,"Hamstring, Achilles",27,"5510/23-10/28, 1/22-3/11","$3,187,965"
50,Rodney Hood,SF,POR,"Back, Achilles",45,"9711/10-11/12, 12/8-3/11","$3,133,585"
51,Jrue Holiday,PG,NOP,"Knee, Elbow",9,"1910/26-10/30, 1/6-1/19","$2,805,027"
52,Norman Powell,SG,TOR,"Shoulder, Hand",20,"4912/20-1/11, 2/2-2/27","$2,800,644"
53,Damian Lillard,PG,POR,"Back, Groin",8,"1611/19-11/22, 2/21-3/3","$2,694,000"
54,Andrew Wiggins,SF,MIN,"Illness, Thumb, Back",9,"1711/15-11/19, 12/6-12/7, 12/28-1/4, 2/27-2/28","$2,641,681"
55,Goran Dragic,PG,MIA,"Illness, Groin, Calf",11,"2411/16-11/19, 12/3-12/19, 1/24-1/26","$2,605,824"
56,Khris Middleton,SF,MIL,"Thigh, Neck",9,"1511/14-11/26, 2/29-3/1","$2,593,515"
57,Patrick Beverley,PG,LAC,"Calf, Concussion, Wrist, Groin",15,"3711/14-11/17, 12/13-12/16, 12/31-1/4, 1/22-1/29, 2/8-2/23","$2,580,750"
58,Thomas Bryant,C,WAS,"Foot, Rest",26,"5612/3-1/11, 2/7-2/20, 2/24-2/24, 3/4-3/4","$2,531,088"
59,R.J. Barrett,SG,NYK,Illness,10,"5611/24-11/26, 1/18-3/11","$2,480,464"
60,Andre Drummond,C,DET,"Eye, Mouth, Calf",8,"1612/14-12/17, 1/22-1/24, 2/26-2/28, 3/2-3/7","$2,449,088"
61,Anthony Davis,C,LAL,"Shoulder, Ankle, Back, Tailbone, Knee",8,"1611/13-11/14, 12/17-12/18, 1/10-1/14, 1/15-1/19, 3/1-3/2","$2,449,088"
62,DeMarcus Cousins,C,LAL,Knee Acl,53,12310/22-2/21,"$2,432,202"
63,Jonathan Isaac,PF,ORL,"Ankle, Knee",33,"7311/15-11/19, 1/3-3/11","$2,394,765"
64,Russell Westbrook,PG,HOU,"Rest, Thumb",10,"1111/4-11/4, 11/16-11/16, 12/14-12/14, 12/29-12/29, 1/8-1/8, 1/14-1/14, 1/27-1/27, 2/4-2/5, 2/7-2/7, 3/7-3/7","$2,393,061"
65,Mason Plumlee,C,DEN,Foot,12,301/22-2/20,"$2,379,840"
66,Dante Exum,PG,UTA,"Knee, Illness, Ankle",24,"4610/23-11/17, 1/7-1/12, 2/26-3/11","$2,364,952"
67,Jeremy Lamb,SG,IND,"Hip, Ankle, Groin, Knee",19,"3910/26-10/29, 11/6-11/22, 12/20-12/22, 2/25-3/11","$2,313,558"
68,Cristiano Felicio,PF,CHI,"Wrist, Illness",25,"5011/12-12/17, 12/28-1/10","$2,304,100"
69,Michael Kidd-Gilchrist,SF,CHA,"Migraine, Calf, Illness",18,"3410/28-11/17, 12/2-12/7, 1/6-1/9, 3/8-3/11","$2,290,569"
70,John Henson,PF,CLE,"Ankle, Hamstring, Back",21,"4610/23-10/25, 10/27-12/2, 1/18-1/22, 3/11-3/11","$2,269,456"
71,Meyers Leonard,C,MIA,Ankle,16,352/5-3/11,"$2,231,810"
72,Brandon Knight,PG,CLE,"Ankle, Knee, Hamstring",13,"2511/20-11/21, 1/18-2/7, 3/8-3/10","$2,209,575"
73,Kevon Looney,C,GSW,"Hamstring, Illness, Abdominal, Hip",41,"8710/27-10/27, 10/28-11/19, 11/25-12/1, 12/25-1/31, 2/12-2/19, 3/1-3/11","$2,194,314"
74,Giannis Antetokounmpo,PF,MIL,"Quad, Back, Shoulder, Personal, Knee",8,"1512/11-12/12, 12/27-12/29, 1/28-1/30, 2/10-2/13, 3/8-3/11","$2,190,060"
75,Bradley Beal,SG,WAS,Leg,7,"1312/28-12/31, 1/3-1/11","$1,989,884"
76,Elfrid Payton,PG,NYK,"Hamstring, Personal, Ankle",20,"4310/30-12/4, 1/5-1/6, 2/21-2/25","$1,943,514"
77,Josh Richardson,SG,PHI,"Hip Flexor, Hamstring, Concussion",17,"3411/20-11/22, 11/29-12/9, 1/25-2/6, 3/3-3/10","$1,943,304"
78,Jake Layman,SF,MIN,Toe,41,9611/20-2/23,"$1,942,752"
79,Frank Kaminsky,C,PHX,Knee,33,7212/30-3/11,"$1,939,104"
80,Danilo Gallinari,PF,OKC,"Ankle, Calf, Rest, Thumb",8,"1512/9-12/10, 12/26-12/30, 1/7-1/8, 1/18-1/18, 1/25-1/26, 2/29-3/2","$1,916,580"
81,Jabari Parker,PF,ATL,"Shoulder, Throat",22,"5212/27-1/5, 1/6-2/6, 2/10-2/19","$1,909,596"
82,Tristan Thompson,C,CLE,"Rest, Illness, Quad, Knee, Eye",8,"1811/20-11/20, 1/5-1/6, 2/3-2/8, 2/29-3/6, 3/10-3/11","$1,885,338"
83,Luke Kennard,SG,DET,Knee,38,"8212/4-12/5, 12/20-12/20, 12/23-3/11","$1,773,004"
84,Steven Adams,C,OKC,"Knee, Ankle",6,"1210/30-11/4, 11/10-11/11, 1/17-1/17, 1/22-1/24","$1,752,048"
85,Fred VanVleet,PG,TOR,"Knee, Hamstring, Shoulder",16,"3312/9-12/19, 1/7-1/17, 2/29-3/11","$1,742,499"
86,Will Barton,SG,DEN,"Toe, Personal, Knee",7,"2410/31-11/4, 1/8-1/10, 2/5-2/20","$1,732,440"
87,Reggie Bullock,SF,NYK,"Neck, Illness",36,"7610/23-12/31, 1/16-1/17, 2/29-3/3","$1,717,524"
88,Wayne Ellington,SG,NYK,"Achilles, Illness, Ankle",18,"3812/7-1/2, 1/18-1/23, 2/21-2/24, 2/26-2/26","$1,717,524"
89,George Hill,PG,MIL,"Back, Illness, Hamstring, Groin",13,"3311/25-11/28, 1/8-1/9, 1/31-2/19, 3/4-3/7, 3/9-3/11","$1,702,932"
90,Marcus Smart,PG,BOS,"Abdominal, Eye, Thigh",11,"2512/4-12/5, 12/9-12/27, 2/3-2/6","$1,702,475"
91,Eric Bledsoe,PG,MIL,"Shin, Knee",9,"1912/14-12/29, 3/9-3/11","$1,677,263"
92,D.J. Augustin,PG,ORL,Knee,16,"401/10-1/12, 1/15-2/20","$1,638,400"
93,Dylan Windler,SF,CLE,Shin,64,14110/23-3/11,"$1,621,782"
94,Richaun Holmes,C,SAC,Shoulder,25,601/7-3/6,"$1,615,920"
95,Sekou Doumbouya,SF,DET,"Concussion, Illness",8,"8710/23-11/4, 12/28-3/11","$1,614,720"
96,Kelly Oubre Jr.,SF,PHX,"Concussion, Knee",9,"181/16-1/19, 2/26-3/11","$1,588,986"
97,Gerald Green,SG,HOU,Foot,49,"10910/22-2/4, 2/5-2/7","$1,579,410"
98,Aaron Gordon,PF,ORL,"Ankle, Achilles, Calf, Knee",7,"1411/23-11/27, 12/30-1/2, 1/10-1/12, 3/2-3/3","$1,571,136"
99,DeMar DeRozan,SF,SAS,Back,1,102/11-2/20,"$1,567,230"
100,C.J. McCollum,SG,POR,"Illness, Ankle",4,"101/5-1/6, 1/18-1/25","$1,556,890"
101,Hassan Whiteside,C,POR,"Knee, Hip, Illness, Leg",5,"1011/2-11/3, 11/21-11/24, 1/11-1/12, 2/7-2/8","$1,530,680"
102,Wendell Carter Jr.,C,CHI,Ankle,22,521/8-2/28,"$1,528,072"
103,LeBron James,PF,LAL,"Ribs, Illness, Groin",3,"712/22-12/24, 1/11-1/12, 2/27-2/28","$1,480,556"
104,Aron Baynes,C,PHX,"Hip, Calf",22,"4811/19-11/27, 12/2-12/8, 1/20-2/20","$1,478,832"
105,Dennis Smith Jr.,PG,NYK,"Personal, Illness, Oblique, Concussion",29,"5810/28-11/11, 12/11-12/16, 12/26-1/21, 2/29-3/10","$1,462,644"
106,Marcus Morris Sr.,SF,NYK,"Neck, Achilles, Illness",10,"1712/1-12/4, 12/23-12/25, 1/7-1/15, 2/8-2/8","$1,440,682"
107,Ed Davis,C,UTA,"Leg, Back, Ankle",23,"5311/3-11/27, 2/7-2/11, 2/12-3/5","$1,427,396"
108,Tyler Johnson,SG,PHX,"Illness, Knee",7,"1312/16-12/20, 2/3-2/10","$1,413,503"
109,Deandre Ayton,C,PHX,Ankle,10,"2612/20-12/29, 2/10-2/20, 3/6-3/11","$1,404,728"
110,Nene Hilario,C,HOU,Groin,44,"9610/24-1/7, 1/15-1/21, 1/24-2/4, 2/5-2/5","$1,391,040"
111,J.J. Redick,SG,NOP,"Toe, Groin, Hamstring",10,"1811/16-11/16, 12/17-12/17, 1/12-1/17, 3/1-3/11","$1,371,492"
112,De'Aaron Fox,PG,SAC,"Ankle, Back, Shoulder",19,"3711/12-12/16, 12/28-12/28, 2/27-2/27","$1,336,329"
113,Jaylen Brown,SF,BOS,"Illness, Thumb, Ankle, Calf, Hamstring",14,"3610/30-11/6, 12/31-1/2, 1/16-1/19, 1/22-1/25, 2/7-2/8, 2/13-2/20, 3/4-3/11","$1,329,120"
114,Patrick McCaw,SG,TOR,"Knee, Nose, Illness",27,"5810/22-10/27, 11/2-12/10, 1/24-1/29, 2/21-2/27","$1,310,742"
115,Derrick Rose,PG,DET,"Hamstring, Rest, Knee, Groin, Ankle",16,"3011/2-11/10, 11/12-11/12, 12/21-12/22, 1/27-1/28, 2/3-2/11, 3/4-3/11","$1,240,170"
116,Dion Waiters,SG,MIA,Personal,8,1810/26-11/12,"$1,230,516"
117,DeMarre Carroll,SF,SAS,Illness,13,311/20-2/19,"$1,225,988"
118,Larry Nance Jr.,PF,CLE,"Thumb, Knee",9,"1711/17-11/19, 12/23-12/26, 1/4-1/13","$1,222,385"
119,Lauri Markkanen,PF,CHI,Groin,15,401/24-3/3,"$1,197,840"
120,Ricky Rubio,PG,PHX,"Knee, Back, Hamstring, Personal, Ankle",7,"1310/26-10/27, 11/21-11/26, 12/21-12/22, 1/14-1/15, 2/2-2/2","$1,189,825"
121,Rui Hachimura,PF,WAS,Groin,23,4712/18-2/2,"$1,186,703"
122,Jeff Teague,PG,MIN,"Illness, Knee",6,"1111/6-11/12, 1/1-1/4","$1,180,795"
123,Bogdan Bogdanovic,SG,SAC,"Thumb, Hamstring, Ankle",11,"2411/22-11/23, 12/4-12/5, 12/20-12/25, 1/4-1/17","$1,156,536"
124,Kris Dunn,PG,CHI,Knee,14,382/2-3/11,"$1,148,170"
125,Al Horford,C,PHI,"Rest, Hamstring, Knee",5,"711/12-11/12, 11/29-11/29, 12/12-12/14, 1/30-1/31","$1,107,344"
126,Marvin Williams,PF,CHA,"Knee, Nose",7,"1312/8-12/16, 1/6-1/9","$1,102,153"
127,Luka Doncic,PG,DAL,"Ankle, Thumb",13,"2512/16-12/25, 1/31-2/11, 2/22-2/23, 3/1-3/1","$1,085,225"
128,James Harden,SG,HOU,"Toe, Thigh",3,"512/29-12/30, 1/26-1/28","$1,079,070"
129,Cody Zeller,C,CHA,"Personal, Hip, Face, Rest",5,"1310/25-10/25, 11/27-11/29, 2/12-2/19, 2/26-2/26","$1,062,906"
130,Trevor Ariza,SF,SAC,Groin,7,"1511/15-11/16, 11/19-12/1","$1,033,905"
131,Grayson Allen,SG,MEM,"Ankle, Hip",35,"7511/4-11/24, 12/11-12/19, 1/26-3/11","$1,029,375"
132,Terry Rozier,PG,CHA,"Knee, Illness",2,"92/12-2/19, 3/11-3/11","$1,011,600"
133,Ben Simmons,PG,PHI,"Shoulder, Back",11,"2211/8-11/11, 2/20-2/21, 2/24-3/11","$1,008,502"
134,Robert Williams III,C,BOS,"Hip, Ankle, Back",40,"9211/1-11/4, 11/13-11/14, 12/9-1/2, 1/4-3/2, 3/10-3/11","$1,007,032"
135,Zach LaVine,SG,CHI,Quad,5,93/2-3/11,"$991,521"
136,Brandon Ingram,SF,NOP,"Knee, Ankle",8,"2411/11-11/18, 1/13-1/15, 2/8-2/20","$985,152"
137,Chandler Hutchison,SF,CHI,"Hamstring, Shin, Shoulder",36,"7410/23-10/27, 10/30-11/4, 11/20-11/24, 11/29-1/5, 2/20-3/11","$975,098"
138,Skal Labissiere,PF,POR,Knee,33,"7212/30-2/6, 2/7-3/11","$951,408"
139,Devin Booker,SG,PHX,Forearm,3,612/14-12/19,"$924,918"
140,DeAndre Jordan,C,BKN,"Ankle, Finger",8,"1611/8-11/9, 11/25-11/27, 1/18-1/28","$893,248"
141,Udonis Haslem,PF,MIA,"Wrist, Illness",29,"6010/23-11/11, 11/25-12/17, 12/20-1/4, 3/11-3/11","$869,400"
142,Khyri Thomas,SG,DET,Foot,47,10511/11-2/23,"$840,525"
143,Ante Zizic,C,CLE,"Foot, Illness",27,"6510/23-11/16, 1/13-2/21","$837,980"
144,Dewayne Dedmon,C,SAC,"Illness, Elbow",5,"112/1-2/2, 2/26-3/5","$828,630"
145,Tyler Herro,SG,MIA,"Ankle, Knee, Foot",18,"4011/12-11/13, 1/15-1/18, 2/5-2/19, 2/20-3/10","$822,640"
146,Tim Hardaway Jr.,SG,DAL,"Hamstring, Shoulder",4,"812/31-1/5, 3/6-3/7","$820,336"
147,Caris LeVert,SG,BKN,"Thumb, Rest",25,"5411/12-1/3, 1/6-1/6","$801,090"
148,Davis Bertans,PF,WAS,"Quad, Knee",10,"2012/23-1/9, 2/24-2/25","$790,960"
149,Lonzo Ball,PG,NOP,"Thigh, Groin, Personal",8,"1611/9-11/10, 11/11-11/20, 11/27-11/30","$788,192"
150,Avery Bradley,PG,LAL,Leg,14,"2911/5-11/7, 11/15-12/10","$781,028"
151,Alex Len,C,ATL,"Ankle, Back, Hip",14,"3312/27-12/27, 1/14-1/21, 1/26-2/6, 2/10-2/21","$775,599"
152,Tony Snell,SG,DET,"Hip Flexor, Illness",6,"1211/20-11/26, 1/24-1/28","$772,392"
153,Stanley Johnson,SF,TOR,Groin,18,3711/18-12/24,"$757,353"
154,DeAndre' Bembry,SF,ATL,"Personal, Hand, Groin, Abdominal",23,"501/22-1/25, 1/26-2/21, 2/22-3/5, 3/6-3/8, 3/9-3/11","$735,600"
155,Enes Freedom,C,BOS,"Knee, Hip",12,"2710/25-11/10, 1/24-2/2","$727,164"
156,Rajon Rondo,PG,LAL,"Calf, Hamstring, Finger, Thumb",23,"5010/22-11/11, 11/13-11/14, 12/8-12/12, 1/13-1/19, 7/30-8/13","$724,500"
157,Jaren Jackson Jr.,PF,MEM,Knee,10,"1811/4-11/5, 2/24-3/11","$704,484"
158,Cameron Johnson,SF,PHX,"Calf, Hip, Quad, Illness",14,"3010/23-10/25, 12/17-12/19, 1/18-1/31, 2/2-2/6, 3/6-3/11","$683,640"
159,Moritz Wagner,C,WAS,Ankle,27,"5512/1-12/4, 12/14-2/2","$641,190"
160,Trae Young,PG,ATL,"Ankle, Hamstring, Thigh, Illness",7,"1810/31-11/4, 12/28-1/2, 1/13-1/14, 1/22-1/23, 2/7-2/8, 3/6-3/6","$637,938"
161,Frank Ntilikina,PG,NYK,"Back, Groin",7,"2312/2-12/4, 1/12-1/15, 2/1-2/2, 2/24-3/9","$630,982"
162,Romeo Langford,SG,BOS,"Knee, Illness, Ankle",15,"3210/23-10/29, 11/11-11/12, 11/25-12/4, 12/6-12/11, 1/6-1/12","$625,248"
163,Jae Crowder,SF,MEM,"Ankle, Hip, Knee, Concussion",6,"1412/14-12/15, 12/29-1/1, 1/14-1/16, 1/26-1/28, 3/8-3/10","$618,184"
164,Rodney McGruder,SG,LAC,"Ankle, Hamstring",11,"2210/22-10/29, 11/29-12/12","$597,564"
165,Edmond Sumner,SG,IND,"Hand, Knee, Hip",26,"5210/30-12/8, 1/2-1/3, 2/21-3/1","$587,548"
166,Evan Fournier,SG,ORL,"Quad, Elbow",4,"61/15-1/15, 3/6-3/11","$576,270"
167,Kyle Anderson,PF,MEM,Heel,6,"1111/27-11/27, 12/1-12/10","$563,860"
168,Ty Jerome,SG,PHX,"Ankle, Calf",21,"4510/23-12/1, 2/2-2/6","$557,685"
169,Rudy Gobert,C,UTA,Ankle,2,411/23-11/26,"$548,212"
170,Seth Curry,SG,DAL,"Illness, Knee, Back, Ankle",8,"1311/20-11/23, 2/3-2/6, 3/2-3/3, 3/8-3/11","$548,015"
171,Kenrich Williams,PF,NOP,"Ankle, Back",29,"6712/1-12/4, 1/8-3/11","$536,335"
172,Michael Carter-Williams,PG,ORL,"Hip, Nose, Shoulder",23,"4611/1-11/5, 11/20-12/2, 12/4-12/5, 12/23-1/17","$527,206"
173,Sterling Brown,SG,MIL,"Shoulder, Illness",6,"5411/29-12/5, 1/24-3/11","$493,776"
174,Ja Morant,PG,MEM,"Rest, Back",6,"1011/9-11/9, 12/1-12/8, 12/13-12/13","$493,230"
175,JaMychal Green,PF,LAC,Tailbone,9,"1812/3-12/7, 12/9-12/21","$484,776"
176,Kyle Korver,SG,MIL,"Rest, Head, Elbow, Back",14,"3311/1-11/1, 11/10-11/13, 11/29-11/29, 12/13-12/13, 1/11-1/13, 2/12-3/5","$478,170"
177,Jamal Murray,PG,DEN,Ankle,10,191/16-2/3,"$477,128"
178,Jacob Evans,SG,GSW,"Groin, Concussion",23,"4310/30-11/21, 11/25-12/8, 1/16-1/21","$467,883"
179,Jonas Valanciunas,C,MEM,"Illness, Foot",3,"512/1-12/3, 12/21-12/22","$451,975"
180,Mohamed Bamba,C,ORL,"Rest, Ankle, Illness",5,"1411/1-11/1, 11/6-11/6, 12/27-12/29, 2/12-2/20","$450,660"
181,Dewan Hernandez,C,TOR,"Thumb, Ankle",40,"8811/23-11/30, 12/22-3/11","$446,600"
182,Allonzo Trier,SG,NYK,"Concussion, Illness",7,"2212/13-12/19, 2/6-2/20","$441,386"
183,Denzel Valentine,SG,CHI,Hamstring,7,232/6-2/28,"$438,886"
184,Jordan McRae,SG,WAS,"Finger, Illness, Ankle",20,"4710/25-11/5, 11/17-11/19, 12/5-12/25, 1/28-2/7","$436,912"
185,Markieff Morris,PF,DET,"Back, Foot, Hip",12,"2412/6-12/8, 12/28-1/10, 2/3-2/9","$433,896"
186,Terrance Ferguson,SF,OKC,"Personal, Hip, Illness",14,"3111/12-11/14, 12/6-12/15, 1/18-1/19, 1/20-2/4","$433,628"
187,Cam Reddish,SF,ATL,"Wrist, Head, Back",9,"1811/22-11/24, 11/30-12/1, 1/4-1/5, 2/3-2/9, 3/2-3/5","$431,766"
188,Garrett Temple,SG,BKN,"Knee, Ankle",9,"161/2-1/3, 1/10-1/11, 1/14-1/19, 3/5-3/11","$430,912"
189,T.J. Warren,SF,IND,"Concussion, Leg",4,"72/3-2/7, 3/6-3/7","$427,511"
190,Pau Gasol,C,POR,Foot,15,2910/23-11/20,"$420,210"
191,TJ Leaf,PF,IND,"Knee, Illness",8,"261/24-2/2, 2/5-2/20","$413,244"
192,Julius Randle,PF,NYK,Personal,2,41/8-1/11,"$406,780"
193,Michael Porter Jr.,SF,DEN,"Back, Ankle",7,"211/22-1/23, 2/2-2/20","$402,129"
194,De'Andre Hunter,SF,ATL,"Finger, Ankle, Personal",4,"1012/4-12/7, 2/1-2/4, 2/22-2/23","$399,340"
195,Daniel Theis,C,BOS,"Ankle, Finger, Illness, Knee",6,"1410/26-10/29, 11/13-11/14, 11/25-11/26, 1/13-1/14, 2/5-2/8","$395,486"
196,Rudy Gay,PF,SAS,Illness,3,51/17-1/21,"$395,480"
197,Brandon Clarke,PF,MEM,"Rest, Hip, Oblique",16,"2811/9-11/9, 12/2-12/3, 12/4-12/10, 12/13-12/13, 1/31-2/2, 2/26-3/11","$392,140"
198,Bruno Caboclo,SF,MEM,Knee,14,"371/14-2/6, 2/7-2/19","$385,725"
199,Darius Bazley,PF,OKC,Knee,11,292/11-3/11,"$374,332"
200,Dario Saric,PF,PHX,Ankle,7,192/2-2/20,"$373,768"
201,Maurice Harkless,SF,LAC,"Back, Illness",2,"61/18-1/20, 2/9-2/11","$373,260"
202,Thabo Sefolosha,SF,HOU,Illness,10,"2512/23-1/8, 2/26-3/4","$362,250"
203,Darius Garland,PG,CLE,"Rest, Groin",6,"101/28-1/28, 3/2-3/11","$361,630"
204,Louis Williams,SG,LAC,"Calf, Personal",4,"812/13-12/16, 12/31-1/1, 3/10-3/11","$361,584"
205,Kyle O'Quinn,C,PHI,"Calf, Illness, Personal",15,"3111/25-12/6, 1/3-1/16, 2/6-2/10","$355,291"
206,Vincent Poirier,C,BOS,Finger,13,2512/19-1/12,"$353,925"
207,Jayson Tatum,PF,BOS,"Knee, Groin, Illness",5,"81/15-1/15, 1/24-1/29, 3/3-3/3","$353,896"
208,Landry Shamet,SG,LAC,Ankle,17,3111/13-12/13,"$349,432"
209,Jose Barea,PG,DAL,"Achilles, Illness, Ankle",12,"2410/23-11/5, 1/10-1/13, 2/5-2/9, 3/5-3/5","$347,760"
