PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Andre Ingram,LAL,4,1,3,3.7,1442.8,0.27,0.15,0.13,4.14,4.73,3.59
Andrew Bogut,GSW,11,8,3,12.2,3772.3,0.71,0.38,0.33,3.96,4.33,3.61
Andrew Harrison,NOP,17,6,11,10.9,4165.9,0.79,0.43,0.36,4.03,4.25,3.8
Andrew Wiggins,MIN,73,31,42,34.8,13270.6,2.51,1.35,1.17,4.04,4.29,3.78
Anfernee Simons,POR,20,17,3,7,2896.8,0.55,0.31,0.24,4.35,4.55,4.12
Angel Delgado,LAC,2,0,2,7.4,2960,0.56,0.27,0.29,4.13,4.14,4.13
Ante Zizic,CLE,59,13,46,18.3,6771.4,1.28,0.68,0.61,4,4.06,3.92
Anthony Davis,NOP,56,25,31,33,12059.4,2.28,1.19,1.09,3.9,4.24,3.57
Anthony Tolliver,MIN,65,27,38,16.6,6817.6,1.29,0.73,0.56,4.32,4.8,3.82
Antonio Blakeney,CHI,57,14,43,14.5,5917.5,1.12,0.59,0.53,4.33,4.61,4.05
Aron Baynes,BOS,51,32,19,16.1,6047.4,1.15,0.59,0.56,4.02,4.18,3.86
Austin Rivers,HOU,76,45,31,26.7,10166.3,1.93,1,0.92,4.05,4.22,3.89
Avery Bradley,MEM,63,31,32,30.3,12314,2.33,1.2,1.13,4.32,4.43,4.23
BJ Johnson,SAC,7,2,5,7,2871,0.54,0.3,0.24,4.28,4.83,3.75
Bam Adebayo,MIA,82,39,43,23.3,9076.6,1.72,0.92,0.8,4.11,4.34,3.88
Ben McLemore,SAC,19,7,12,8.3,3751.1,0.71,0.37,0.34,4.74,5.01,4.48
Ben Simmons,PHI,78,50,28,34.1,13380.6,2.53,1.4,1.13,4.17,4.7,3.66
Billy Garrett,NYK,4,1,3,15.9,5875.3,1.11,0.61,0.5,4.07,4.48,3.51
Bismack Biyombo,CHA,54,24,30,14.5,5660.2,1.07,0.58,0.49,4.21,4.5,3.9
Blake Griffin,DET,75,39,36,35,12099.4,2.29,1.3,0.99,3.71,3.97,3.42
Boban Marjanović,PHI,58,31,27,11.7,4503.6,0.85,0.45,0.4,4.08,4.34,3.83
Bobby Portis,WAS,49,14,35,26,9972.4,1.89,0.99,0.9,4.09,4.4,3.79
Bogdan Bogdanović,SAC,70,32,38,27.8,11317.6,2.14,1.17,0.98,4.31,4.84,3.81
Bojan Bogdanović,IND,81,47,34,31.8,12348.7,2.34,1.25,1.09,4.13,4.39,3.87
Bonzie Colson,MIL,8,6,2,12.3,5040.9,0.95,0.53,0.43,4.46,4.6,4.31
Brad Wanamaker,BOS,36,27,9,9.5,3845.7,0.73,0.38,0.35,4.27,4.58,3.97
Bradley Beal,WAS,81,31,50,36.9,14517.1,2.75,1.46,1.29,4.19,4.53,3.85
Brandon Goodwin,DEN,16,10,6,3.6,1477.1,0.28,0.15,0.13,4.38,4.57,4.01
Brandon Ingram,LAL,52,25,27,33.9,13732.2,2.6,1.39,1.21,4.31,4.73,3.91
Brandon Knight,CLE,39,17,22,18.9,7153.9,1.35,0.74,0.62,4.23,4.48,3.98
Brandon Sampson,CHI,14,3,11,15.3,6074.2,1.15,0.58,0.57,4.26,4.39,4.14
Brook Lopez,MIL,81,60,21,28.7,10537,2,1.07,0.93,3.93,4.33,3.55
Bruce Brown,DET,74,35,39,19.6,8082.4,1.53,0.82,0.71,4.46,4.6,4.31
Bruno Caboclo,MEM,34,14,20,23.5,9764,1.85,1.01,0.84,4.41,4.72,4.09
Bryn Forbes,SAS,82,48,34,28,11210.3,2.12,1.18,0.94,4.3,4.7,3.88
Buddy Hield,SAC,82,39,43,31.9,14093.1,2.67,1.41,1.26,4.71,5.18,4.27
C.J. Williams,MIN,15,4,11,8.5,3511.5,0.67,0.36,0.31,4.33,4.78,3.83
CJ McCollum,POR,70,43,27,33.9,14106.9,2.67,1.52,1.15,4.42,4.89,3.93
CJ Miles,MEM,53,33,20,16.2,6237.2,1.18,0.65,0.53,4.07,4.39,3.73
Caleb Swanigan,SAC,21,10,11,8.5,3411.2,0.65,0.35,0.29,4.24,4.47,3.99
Cam Reynolds,MIN,19,6,13,13.7,5820.4,1.1,0.59,0.51,4.49,4.87,4.12
Cameron Payne,CLE,40,7,33,17.8,7211.5,1.37,0.74,0.63,4.29,4.67,3.93
Caris LeVert,BKN,40,19,21,26.6,10636,2.01,1.1,0.91,4.23,4.57,3.88
Carmelo Anthony,HOU,10,4,6,29.4,10379.7,1.97,1.03,0.94,3.72,3.86,3.59
Cedi Osman,CLE,76,17,59,32.2,12289.3,2.33,1.29,1.04,4.13,4.37,3.86
Chandler Hutchison,CHI,44,10,34,20.3,8531.5,1.62,0.89,0.73,4.49,4.96,4.03
Chandler Parsons,MEM,25,11,14,19.8,7547.2,1.43,0.81,0.62,4.04,4.43,3.63
Channing Frye,CLE,36,7,29,9.5,3285.8,0.62,0.34,0.28,3.7,3.88,3.5
Chasson Randle,WAS,48,18,30,15,6454.4,1.22,0.65,0.57,4.56,5.02,4.13
Cheick Diallo,NOP,64,27,37,14,5853.8,1.11,0.61,0.5,4.44,4.91,3.99
Chimezie Metu,SAS,29,14,15,5,1990.6,0.38,0.2,0.17,4.25,4.44,4.04
Chris Boucher,TOR,28,21,7,5.8,2400.8,0.45,0.24,0.21,4.27,4.55,4
Chris Chiozza,HOU,7,6,1,4.7,1902.7,0.36,0.2,0.16,4.28,4.49,4.05
Chris Paul,HOU,58,39,19,32,11348,2.15,1.2,0.95,3.78,4.14,3.41
Christian Wood,NOP,21,13,8,11.9,4770.2,0.9,0.49,0.41,4.31,4.59,4.03
Clint Capela,HOU,67,44,23,33.6,12760.7,2.42,1.3,1.12,4.07,4.34,3.79
Cody Zeller,CHA,49,22,27,25.4,10495.6,1.99,1.12,0.87,4.44,5.07,3.82
Collin Sexton,CLE,82,19,63,31.8,12195.1,2.31,1.32,0.99,4.14,4.5,3.75
Corey Brewer,SAC,31,13,18,15.9,6445.8,1.22,0.64,0.58,4.31,4.49,4.14
Cory Joseph,IND,82,48,34,25.2,10698.7,2.03,1.08,0.94,4.49,4.81,4.18
Courtney Lee,DAL,34,6,28,12.6,5065.3,0.96,0.51,0.45,4.28,4.6,3.99
Cristiano Felicio,CHI,60,16,44,12.4,4988,0.94,0.5,0.45,4.26,4.52,4.01
D'Angelo Russell,BKN,81,42,39,30.2,11751.8,2.23,1.23,0.99,4.14,4.54,3.73
D.J. Augustin,ORL,79,40,39,27.9,10827.5,2.05,1.15,0.9,4.17,4.56,3.76
D.J. Wilson,MIL,48,37,11,18.4,7822.3,1.48,0.8,0.68,4.51,4.84,4.18
DJ Stephens,MEM,1,0,1,6.7,2877,0.54,0.29,0.26,4.14,4.75,5.21
Dairis Bertans,NOP,12,3,9,13.9,6137.8,1.16,0.65,0.51,4.68,5.19,4.15
Damian Jones,GSW,24,15,9,17.1,6837.3,1.29,0.66,0.64,4.33,4.68,4.03
Damian Lillard,POR,80,51,29,35.5,13330.4,2.52,1.45,1.08,3.99,4.4,3.54
Damion Lee,GSW,32,18,14,11.7,5168.6,0.98,0.54,0.44,4.71,5.3,4.14
Damyean Dotson,NYK,72,12,60,27.5,11031.1,2.09,1.13,0.96,4.27,4.58,3.95
Daniel Hamilton,ATL,19,7,12,10.8,4736.4,0.9,0.44,0.45,4.63,4.82,4.47
Daniel Theis,BOS,66,38,28,13.8,5439.4,1.03,0.53,0.5,4.19,4.43,3.96
Danilo Gallinari,LAC,68,40,28,30.3,11632.5,2.2,1.24,0.97,4.08,4.53,3.62
Danny Green,TOR,80,56,24,27.7,11704.1,2.22,1.16,1.06,4.5,4.78,4.22
Dante Cunningham,SAS,64,36,28,14.5,6305.4,1.19,0.67,0.53,4.67,5.05,4.26
Danté Exum,UTA,41,21,20,15.8,6899.1,1.31,0.7,0.6,4.62,5.06,4.19
Danuel House Jr.,HOU,39,27,12,25.1,9985.1,1.89,0.99,0.9,4.24,4.46,4
Dario Šarić,MIN,81,39,42,25,10139.3,1.92,1.03,0.89,4.31,4.61,4.01
Darius Miller,NOP,69,31,38,25.5,9524,1.8,0.96,0.84,3.96,4.34,3.61
Darren Collison,IND,76,45,31,28.2,11039,2.09,1.12,0.97,4.17,4.41,3.93
Daryl Macon,DAL,8,4,4,11.2,4401.4,0.83,0.46,0.38,4.16,4.44,3.85
David Nwaba,CLE,51,14,37,19.3,7616,1.44,0.77,0.67,4.28,4.46,4.09
Davon Reed,IND,10,4,6,4.7,2056.3,0.39,0.21,0.18,4.51,4.84,4.19
De'Aaron Fox,SAC,81,39,42,31.4,13032.6,2.47,1.31,1.15,4.41,4.94,3.94
De'Anthony Melton,PHX,50,13,37,19.7,8173.2,1.55,0.83,0.72,4.42,4.79,4.06
DeAndre Jordan,NYK,69,25,44,29.7,10375,1.96,1.06,0.91,3.73,3.89,3.57
DeAndre' Bembry,ATL,82,29,53,23.6,9672.4,1.83,0.97,0.86,4.32,4.63,4.01
DeMar DeRozan,SAS,77,44,33,34.9,13518,2.56,1.44,1.12,4.18,4.59,3.76
DeMarcus Cousins,GSW,30,23,7,25.7,8661,1.64,0.83,0.81,3.65,3.81,3.49
DeMarre Carroll,BKN,67,36,31,25.4,9705.1,1.84,1,0.83,4.04,4.41,3.67
DeVaughn Akoon-Purcell,DEN,7,7,0,3.1,1266,0.24,0.14,0.1,4.3,4.35,4.22
Deandre Ayton,PHX,71,17,54,30.7,11408.9,2.16,1.16,1,3.96,4.19,3.73
Delon Wright,MEM,75,45,30,22.6,9623.8,1.82,0.99,0.83,4.5,4.84,4.14
Demetrius Jackson,PHI,6,5,1,6.6,2897.2,0.55,0.31,0.24,4.69,5.09,4.29
Deng Adel,CLE,19,4,15,10.2,4061.9,0.77,0.42,0.35,4.23,4.37,4.07
Dennis Schröder,OKC,78,46,32,29.3,11705.3,2.22,1.13,1.09,4.21,4.54,3.91
Dennis Smith Jr.,NYK,53,21,32,28.5,11346,2.15,1.18,0.97,4.24,4.58,3.89
Deonte Burton,OKC,32,21,11,7.5,3014.7,0.57,0.3,0.27,4.22,4.51,3.94
Derrick Favors,UTA,75,46,29,23.2,9398.9,1.78,0.96,0.82,4.34,4.7,3.97
Derrick Jones Jr.,MIA,60,31,29,19.2,7703.3,1.46,0.77,0.69,4.24,4.41,4.07
Derrick Rose,MIN,51,24,27,27.3,10805.2,2.05,1.1,0.95,4.18,4.51,3.85
Derrick White,SAS,67,41,26,25.8,10442.5,1.98,1.1,0.88,4.4,4.84,3.94
Devin Booker,PHX,64,15,49,35,13550.8,2.57,1.45,1.11,4.11,4.57,3.63
Devin Harris,DAL,68,28,40,15.7,5947.5,1.13,0.64,0.49,3.98,4.41,3.53
Devin Robinson,WAS,7,1,6,13.5,5537.6,1.05,0.56,0.49,4.34,4.82,3.89
Devonte' Graham,CHA,46,18,28,14.7,5985.7,1.13,0.62,0.52,4.32,4.76,3.88
Dewayne Dedmon,ATL,64,24,40,25.1,9900.7,1.88,1.02,0.86,4.19,4.55,3.82
Deyonta Davis,ATL,9,3,6,13.2,5517.7,1.05,0.54,0.5,4.4,4.69,4.12
Dillon Brooks,MEM,18,9,9,18.3,7284.4,1.38,0.73,0.65,4.18,4.34,4.01
Dion Waiters,MIA,44,20,24,25.9,9467,1.79,1.01,0.78,3.88,4.23,3.51
Dirk Nowitzki,DAL,51,17,34,15.6,5172,0.98,0.55,0.43,3.54,3.81,3.25
Domantas Sabonis,IND,74,43,31,24.8,9923.8,1.88,1,0.88,4.23,4.55,3.91
Donatas Motiejunas,SAS,3,3,0,4.3,1714.3,0.32,0.16,0.16,4.23,4.31,4.15
Donovan Mitchell,UTA,76,49,27,33.7,12886.8,2.44,1.36,1.08,4.08,4.56,3.6
Donte DiVincenzo,MIL,27,20,7,15.2,6440.9,1.22,0.65,0.57,4.45,4.86,4.07
Donte Grantham,OKC,3,2,1,0.8,307.3,0.06,0.03,0.03,4.53,4.03,5.16
Dorian Finney-Smith,DAL,81,33,48,24.5,10064.9,1.91,1.02,0.88,4.34,4.6,4.08
Doug McDermott,IND,77,43,34,17.4,7506.9,1.42,0.76,0.66,4.56,4.92,4.2
Dragan Bender,PHX,46,9,37,18,6999.7,1.33,0.73,0.6,4.17,4.56,3.77
Draymond Green,GSW,66,48,18,31.3,10985,2.08,1.07,1.01,3.82,4.25,3.46
Drew Eubanks,SAS,23,13,10,4.9,1977.2,0.37,0.21,0.17,4.17,4.4,3.91
Duncan Robinson,MIA,15,7,8,10.7,4516.9,0.86,0.47,0.39,4.47,4.85,4.16
Dusty Hannahs,MEM,2,0,2,13,5105.5,0.97,0.5,0.46,4.05,4.53,3.61
Dwayne Bacon,CHA,43,20,23,17.6,6764.9,1.28,0.68,0.6,4.06,4.32,3.79
Dwight Howard,WAS,9,4,5,25.5,9339.8,1.77,0.95,0.82,3.9,4.31,3.55
Dwight Powell,DAL,77,31,46,21.6,8728.3,1.65,0.91,0.75,4.26,4.63,3.89
Dwyane Wade,MIA,72,35,37,26.2,9752.7,1.85,1.03,0.82,3.92,4.28,3.54
Dzanan Musa,BKN,9,4,5,4.4,1736.4,0.33,0.19,0.14,4.23,4.54,3.89
Dāvis Bertāns,SAS,76,44,32,21.5,9055.1,1.71,0.99,0.73,4.51,5.17,3.84
E'Twaun Moore,NOP,53,21,32,27.6,11471.2,2.17,1.15,1.02,4.42,4.88,4
Ed Davis,BKN,81,42,39,17.9,7072,1.34,0.74,0.6,4.19,4.55,3.8
Edmond Sumner,IND,23,14,9,9.1,3874,0.73,0.39,0.34,4.42,4.62,4.22
Ekpe Udoh,UTA,51,35,16,6.3,2500.1,0.47,0.26,0.22,4.18,4.52,3.84
Elfrid Payton,NOP,42,18,24,29.8,12116.2,2.29,1.24,1.05,4.35,4.81,3.92
Elie Okobo,PHX,53,7,46,18.1,7763.9,1.47,0.8,0.67,4.57,4.99,4.15
Emanuel Terry,MIA,3,0,3,7.6,3317.7,0.63,0.35,0.28,4.53,5.25,3.8
Emmanuel Mudiay,NYK,58,13,45,27.2,11315.8,2.14,1.22,0.92,4.45,4.98,3.9
Enes Freedom,POR,67,28,39,24.5,9351.9,1.77,0.95,0.82,4.08,4.2,3.94
Eric Bledsoe,MIL,78,59,19,29.1,11629.7,2.2,1.17,1.04,4.26,4.7,3.86
Eric Gordon,HOU,68,44,24,31.7,11148,2.11,1.12,0.99,3.75,3.98,3.52
Eric Moreland,TOR,5,3,2,8.6,3424.2,0.65,0.35,0.3,4.13,4.54,3.96
Ersan Ilyasova,MIL,67,49,18,18.4,7295.1,1.38,0.74,0.65,4.2,4.54,3.87
Evan Fournier,ORL,79,40,39,31.5,12726,2.41,1.32,1.09,4.34,4.65,4.02
Evan Turner,POR,73,47,26,22,8367.7,1.58,0.87,0.71,4.02,4.2,3.82
Frank Jackson,NOP,61,22,39,19.2,8038.5,1.52,0.82,0.71,4.46,4.85,4.08
Frank Kaminsky,CHA,47,22,25,16.1,6380.2,1.21,0.68,0.53,4.22,4.63,3.79
Frank Mason III,SAC,38,16,22,11.5,4510.2,0.85,0.46,0.4,4.16,4.48,3.83
Frank Ntilikina,NYK,42,9,33,21.1,8407.2,1.59,0.84,0.75,4.23,4.52,3.94
Fred VanVleet,TOR,64,46,18,27.5,11292.2,2.14,1.16,0.98,4.36,4.76,3.96
Furkan Korkmaz,PHI,48,30,18,14.2,6017.1,1.14,0.62,0.52,4.54,5,4.09
Garrett Temple,LAC,75,37,38,27.2,10941.7,2.07,1.12,0.96,4.27,4.47,4.06
Gary Clark,HOU,51,33,18,12.6,4795.9,0.91,0.47,0.44,4.05,4.17,3.94
Gary Harris,DEN,57,38,19,28.8,11271,2.13,1.14,0.99,4.18,4.42,3.93
Gary Payton II,WAS,3,2,1,5.3,2532.7,0.48,0.23,0.25,4.78,5.51,4.82
Gary Trent Jr.,POR,15,14,1,7.4,2838.1,0.54,0.3,0.24,4.1,4.19,3.88
George Hill,MIL,60,39,21,21.7,8725.2,1.65,0.89,0.77,4.25,4.53,3.97
George King,PHX,1,0,1,5.9,2499,0.47,0.25,0.23,4.58,3.65,3.69
Georges Niang,UTA,59,41,18,8.8,3665.8,0.69,0.38,0.32,4.43,4.87,3.99
Gerald Green,HOU,73,47,26,20.2,7984.4,1.51,0.8,0.71,4.21,4.43,3.98
Giannis Antetokounmpo,MIL,72,56,16,32.8,12878.4,2.44,1.35,1.09,4.17,4.77,3.62
Glenn Robinson III,DET,47,24,23,13,5712.9,1.08,0.6,0.48,4.66,4.98,4.3
Goran Dragic,MIA,36,16,20,27.5,11368.7,2.15,1.21,0.94,4.35,4.89,3.82
Gordon Hayward,BOS,72,44,28,25.9,10767.2,2.04,1.11,0.93,4.42,4.94,3.93
Gorgui Dieng,MIN,76,33,43,13.6,5372.3,1.02,0.55,0.47,4.18,4.46,3.89
Grayson Allen,UTA,38,22,16,11,4550.1,0.86,0.48,0.38,4.38,4.91,3.87
Greg Monroe,PHI,43,28,15,11.2,4295.9,0.81,0.44,0.38,4.06,4.24,3.87
Guerschon Yabusele,BOS,41,27,14,6.1,2440.3,0.46,0.24,0.22,4.2,4.56,3.89
Hamidou Diallo,OKC,50,28,22,10.4,4366.3,0.83,0.42,0.4,4.39,4.57,4.23
Harrison Barnes,SAC,77,34,43,32.9,13371.7,2.53,1.38,1.15,4.32,4.69,3.95
Harry Giles III,SAC,58,26,32,14.1,5651.2,1.07,0.56,0.51,4.22,4.54,3.91
Hassan Whiteside,MIA,72,33,39,23.3,8535.6,1.62,0.86,0.76,3.91,4.08,3.73
Haywood Highsmith,PHI,5,2,3,8,3459,0.66,0.38,0.28,4.59,4.99,4.13
Henry Ellenson,NYK,19,4,15,13.6,6021,1.14,0.65,0.49,4.71,5.23,4.16
Ian Clark,NOP,60,24,36,16.2,6666.1,1.26,0.68,0.59,4.36,4.68,4.05
Ian Mahinmi,WAS,33,11,22,14.8,5862.6,1.11,0.58,0.53,4.18,4.44,3.95
Ike Anigbogu,IND,3,2,1,2,817.3,0.15,0.08,0.07,4.38,3.86,3.21
Iman Shumpert,HOU,62,39,23,23.9,9693.3,1.84,0.96,0.87,4.32,4.67,3.99
Isaac Bonga,LAL,22,7,15,5.5,2314.1,0.44,0.23,0.21,4.42,4.81,4.15
Isaac Humphries,ATL,5,1,4,11.3,5004.4,0.95,0.51,0.43,4.66,4.94,4.55
Isaiah Briscoe,ORL,39,17,22,14.3,5829.4,1.1,0.6,0.51,4.32,4.65,3.99
Isaiah Canaan,MIL,30,10,20,20.9,8448.4,1.6,0.9,0.7,4.3,4.63,3.95
Isaiah Hartenstein,HOU,28,15,13,7.9,3390.7,0.64,0.34,0.3,4.47,4.7,4.23
Isaiah Hicks,NYK,3,1,2,10.8,4348,0.82,0.45,0.38,4.37,4.59,3.8
Isaiah Thomas,DEN,12,6,6,15.1,5766.8,1.09,0.6,0.49,4.02,4.48,3.57
Ish Smith,DET,56,33,23,22.3,9440.9,1.79,1.05,0.74,4.52,5.13,3.86
Ivan Rabb,MEM,49,20,29,14.7,5943.1,1.13,0.61,0.52,4.3,4.58,4.01
Ivica Zubac,LAC,59,32,27,17.6,6991.7,1.32,0.72,0.61,4.24,4.59,3.89
J.J. Barea,DAL,38,20,18,19.8,8015.4,1.52,0.88,0.64,4.25,4.8,3.66
J.P. Macura,CHA,2,1,1,8.4,3568,0.68,0.35,0.32,4.61,5.06,3.63
JJ Redick,PHI,75,49,26,31.3,13166,2.49,1.39,1.11,4.46,4.98,3.94
JR Smith,CLE,11,1,10,20.2,7695.4,1.46,0.81,0.65,4.02,4.38,3.65
JaKarr Sampson,CHI,4,1,3,31.8,12937.3,2.45,1.31,1.14,4.31,4.84,3.83
JaMychal Green,LAC,65,31,34,21.1,8529.1,1.62,0.87,0.75,4.26,4.5,4.02
JaVale McGee,LAL,75,35,40,22.3,8571.1,1.62,0.84,0.78,4.12,4.39,3.87
Jabari Parker,WAS,63,18,45,27.3,11093.3,2.1,1.15,0.96,4.32,4.84,3.83
Jacob Evans,GSW,30,21,9,6.8,2884.5,0.55,0.3,0.25,4.51,4.98,4.04
Jae Crowder,UTA,79,48,31,27.1,10613.9,2.01,1.1,0.91,4.15,4.59,3.71
Jahlil Okafor,NOP,59,23,36,15.8,6350.8,1.2,0.65,0.56,4.3,4.61,3.99
Jake Layman,POR,71,46,25,18.7,7860.7,1.49,0.84,0.65,4.48,4.86,4.07
Jakob Poeltl,SAS,77,43,34,16.5,6790.4,1.29,0.69,0.6,4.48,4.75,4.21
Jalen Brunson,DAL,73,27,46,21.8,9122.5,1.73,0.95,0.77,4.44,4.78,4.09
Jalen Jones,CLE,16,3,13,13.4,5529.9,1.05,0.55,0.5,4.39,4.57,4.16
Jamal Crawford,PHX,64,13,51,18.9,6937.3,1.31,0.74,0.57,3.87,4.32,3.39
Jamal Murray,DEN,75,49,26,32.6,13481.8,2.55,1.46,1.09,4.4,4.97,3.82
James Ennis III,PHI,58,35,23,21.2,8662.5,1.64,0.86,0.78,4.34,4.62,4.07
James Harden,HOU,78,51,27,36.8,12494.7,2.37,1.31,1.06,3.63,3.96,3.29
James Johnson,MIA,55,27,28,21.2,8106.6,1.54,0.84,0.69,4.06,4.39,3.72
James Nunnally,HOU,15,8,7,6.8,2824.1,0.53,0.28,0.26,4.36,4.51,4.21
Jared Dudley,BKN,59,28,31,20.7,8009,1.52,0.86,0.65,4.09,4.53,3.63
Jared Terrell,MIN,14,4,10,7.9,3104.6,0.59,0.33,0.26,4.1,4.61,3.69
Jarell Martin,ORL,41,19,22,7.9,3352.3,0.63,0.36,0.28,4.47,5.03,3.9
Jaren Jackson Jr.,MEM,58,23,35,26.1,10302.2,1.95,1.05,0.9,4.22,4.38,4.04
Jaron Blossomgame,CLE,27,4,23,16.3,6621.4,1.25,0.7,0.55,4.38,4.73,3.99
Jarred Vanderbilt,DEN,17,10,7,4.1,1725.2,0.33,0.18,0.15,4.5,4.83,4.18
Jarrett Allen,BKN,80,42,38,26.2,10391.5,1.97,1.1,0.87,4.23,4.7,3.75
Jason Smith,NOP,20,10,10,9.5,3986.4,0.76,0.41,0.34,4.44,4.94,3.95
Jawun Evans,OKC,8,4,4,8.1,3426.5,0.65,0.35,0.3,4.5,4.79,4.21
Jaylen Adams,ATL,34,13,21,12.6,5258.1,1,0.54,0.46,4.41,4.84,4
Jaylen Brown,BOS,74,41,33,25.9,10450.4,1.98,1,0.98,4.3,4.52,4.08
Jaylen Morris,MIL,4,4,0,7.1,3047.3,0.58,0.33,0.25,4.51,4.97,4.02
Jayson Tatum,BOS,79,48,31,31.1,12037.4,2.28,1.21,1.07,4.14,4.48,3.81
Jeff Green,WAS,76,28,48,27.3,9805.4,1.86,0.97,0.89,3.81,4.06,3.57
Jeff Teague,MIN,42,23,19,30.1,10416.2,1.97,1.07,0.9,3.67,3.95,3.39
Jemerrio Jones,LAL,6,3,3,23.9,10527,1.99,1.08,0.92,4.72,5.11,4.32
Jerami Grant,OKC,79,47,32,32.6,13191.2,2.5,1.32,1.17,4.31,4.93,3.77
Jeremy Lamb,CHA,79,38,41,28.5,11593.9,2.2,1.21,0.99,4.35,4.74,3.96
Jeremy Lin,TOR,74,31,43,19.4,8185.4,1.55,0.84,0.71,4.44,4.95,3.97
Jerian Grant,ORL,58,26,32,15.7,6111.9,1.16,0.62,0.54,4.12,4.37,3.86
Jerome Robinson,LAC,33,18,15,9.7,4174.4,0.79,0.42,0.37,4.5,4.96,4.09
Jerryd Bayless,MIN,34,15,19,19.3,7210.1,1.37,0.76,0.61,3.93,4.21,3.63
Jevon Carter,MEM,39,9,30,14.8,6185.9,1.17,0.62,0.55,4.43,4.62,4.23
Jimmer Fredette,PHX,6,1,5,10.8,4523.8,0.86,0.47,0.39,4.37,4.93,3.84
Jimmy Butler III,PHI,64,38,26,33.5,13558.1,2.57,1.38,1.19,4.32,4.65,3.99
Joakim Noah,MEM,42,14,28,16.5,6643.1,1.26,0.68,0.58,4.25,4.52,3.97
Jodie Meeks,TOR,8,7,1,13,5357.5,1.01,0.53,0.49,4.38,4.64,4.13
Joe Chealey,CHA,1,0,1,7.8,3141,0.59,0.35,0.24,4.34,5.52,3.03
Joe Harris,BKN,76,41,35,30.2,12924.6,2.45,1.4,1.04,4.55,5.17,3.92
Joe Ingles,UTA,81,50,31,31.3,12478.6,2.36,1.3,1.06,4.25,4.67,3.83
Joel Embiid,PHI,63,43,20,33.7,12364.2,2.34,1.28,1.07,3.89,4.26,3.52
John Collins,ATL,61,24,37,30,12141.2,2.3,1.25,1.05,4.3,4.66,3.93
John Henson,CLE,14,10,4,13.5,5433.5,1.03,0.55,0.47,4.27,4.76,3.81
John Holland,CLE,1,0,1,0.7,130,0.02,0.02,0.01,0,0,0
John Jenkins,NYK,26,8,18,12.8,5090.8,0.96,0.53,0.43,4.23,4.53,3.92
John Wall,WAS,32,11,21,34.5,11826.5,2.24,1.17,1.07,3.64,3.87,3.41
Johnathan Motley,LAC,22,12,10,7.1,2918,0.55,0.29,0.26,4.34,4.74,3.91
Johnathan Williams,LAL,24,10,14,15.5,6265.4,1.19,0.62,0.57,4.28,4.53,4.04
Jon Leuer,DET,41,16,25,9.8,4149.9,0.79,0.44,0.34,4.46,4.76,4.14
Jonah Bolden,PHI,43,24,19,14.6,6082.5,1.15,0.63,0.52,4.45,4.84,4.05
Jonas Jerebko,GSW,73,52,21,16.7,6835.6,1.29,0.7,0.6,4.42,4.88,3.97
Jonas Valančiūnas,MEM,49,31,18,22.3,8424.1,1.6,0.86,0.74,4.02,4.28,3.75
Jonathan Isaac,ORL,73,35,38,26.5,10913.8,2.07,1.15,0.92,4.43,4.83,4.02
