Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
17,Kristaps Porzingis,PF,DAL,"Back, Ankle, Toe, Rest, Health Protocols, Knee, Injury Management",31,"6610/28-11/5, 12/3-12/6, 12/21-12/24, 1/2-1/2, 1/3-1/14, 1/30-2/10, 2/12-3/5, 4/8-4/8, 4/10-4/10","$12,005,400"
18,James Harden,SG,BKN,"Rest, Health Protocols, Knee, Hamstring, Hand, Injury Management",16,"4412/12-12/12, 12/14-12/24, 1/10-1/11, 1/26-1/28, 1/29-1/31, 2/4-2/10, 2/11-2/24, 3/5-3/5, 3/21-3/21, 4/10-4/10","$11,205,040"
19,LeBron James,PF,LAL,"Ankle, Abdominal, Health Protocols, Knee",25,"4710/26-10/28, 11/4-11/18, 11/30-12/2, 1/27-2/4, 3/7-3/8, 3/23-3/26, 3/29-3/31, 4/3-4/10","$11,123,490"
20,Brook Lopez,C,MIL,"Back, Injury Management",68,"14510/21-3/13, 4/10-4/10","$11,085,250"
21,Draymond Green,PF,GSW,"Thigh, Hip, Health Protocols, Calf, Back, Rest, Injury Management",36,"7811/19-11/20, 12/18-12/19, 12/28-1/2, 1/6-1/8, 1/11-2/6, 2/7-3/13, 3/23-3/24, 3/28-3/28","$10,770,630"
22,Zion Williamson,PF,NOP,Foot,82,17310/20-4/10,"$10,671,678"
23,Tim Hardaway Jr.,SG,DAL,"Health Protocols, Foot",40,"8612/21-1/1, 1/26-4/10","$10,530,958"
24,Ricky Rubio,PG,CLE,Knee Acl,47,"10212/29-2/6, 2/7-4/10","$10,434,498"
25,Malcolm Brogdon,PG,IND,"Hamstring, Illness, Achilles, Health Protocols, Concussion, Rest, Back",38,"8010/29-11/2, 11/5-11/9, 12/16-12/20, 12/23-12/30, 12/31-1/4, 1/8-1/11, 1/15-1/18, 1/20-2/24, 2/28-3/1, 3/12-3/14, 3/20-3/20, 3/23-3/23, 3/24-3/24, 4/10-4/10","$9,977,040"
26,Lonzo Ball,PG,CHI,"Health Protocols, Knee",47,"9312/26-1/2, 1/15-4/10","$9,943,839"
27,Goran Dragic,PG,TOR,"Personal, Knee, Health Protocols",41,"10011/28-12/8, 12/10-2/10, 2/11-2/24, 3/23-3/25, 4/2-4/10","$9,881,968"
28,Derrick Rose,PG,NYK,Ankle,56,"12011/23-11/29, 12/18-4/10","$9,272,520"
29,James Wiseman,C,GSW,Knee,82,17410/19-4/10,"$9,166,842"
30,Bam Adebayo,C,MIA,"Knee, Thumb, Health Protocols",26,"5410/30-11/1, 11/15-11/17, 12/1-1/16, 4/10-4/10","$8,721,756"
31,Stephen Curry,PG,GSW,"Hip, Rest, Quad, Hand, Toe, Foot",18,"3311/19-11/20, 12/18-12/18, 1/6-1/8, 1/16-1/17, 2/1-2/2, 3/7-3/7, 3/20-4/10","$8,682,597"
32,Myles Turner,C,IND,"Illness, Foot",40,"8511/29-11/30, 1/17-4/10","$8,548,875"
33,Brandon Ingram,SF,NOP,"Hip, Achilles, Ankle, Hamstring",27,"5010/30-11/12, 12/28-1/2, 1/24-1/31, 3/8-3/26, 4/7-4/10","$8,467,750"
34,Dario Saric,PF,PHX,Knee,82,17310/20-4/10,"$8,461,084"
35,De'Aaron Fox,PG,SAC,"Health Protocols, Ankle, Hand",23,"5012/17-12/25, 1/22-2/7, 3/18-4/10","$8,075,700"
36,Jerami Grant,PF,DET,"Elbow, Thumb, Knee, Calf",33,"6910/25-10/27, 12/12-1/27, 3/17-3/18, 3/21-3/22, 3/27-4/10","$7,932,033"
37,C.J. McCollum,SG,POR,"Lung, Health Protocols",20,"4412/6-1/16, 3/12-3/14","$7,804,720"
38,John Collins,PF,ATL,"Health Protocols, Foot",27,"5612/27-1/4, 2/13-3/3, 3/13-4/10","$7,402,304"
39,Rudy Gobert,C,UTA,"Shoulder, Health Protocols, Calf, Foot, Leg",16,"361/5-1/6, 1/7-1/15, 1/24-2/13, 3/12-3/13, 3/27-3/28","$7,312,716"
40,Dillon Brooks,SF,MEM,"Hand, Hamstring, Health Protocols, Ankle, Injury Management, Hip",48,"10310/20-11/9, 11/12-11/12, 11/20-11/23, 12/9-12/10, 12/29-1/5, 1/9-3/12, 3/24-3/24, 4/5-4/6, 4/10-4/10","$7,221,845"
41,Giannis Antetokounmpo,PF,MIL,"Ankle, Calf, Health Protocols, Illness, Knee",15,"3111/12-11/13, 12/2-12/5, 12/15-12/24, 1/5-1/6, 1/22-1/25, 2/14-2/14, 3/19-3/21, 3/24-3/25, 4/1-4/2, 4/10-4/10","$7,009,720"
42,Norman Powell,SG,POR,"Knee, Quad, Health Protocols, Personal, Toe, Rest",34,"7610/25-10/28, 11/29-12/1, 1/9-1/18, 1/19-1/24, 2/12-4/5, 4/10-4/10","$6,777,680"
43,Khris Middleton,SF,MIL,"Health Protocols, Knee, Personal, Wrist",16,"3310/31-11/16, 12/15-12/21, 1/1-1/2, 3/22-3/25, 4/1-4/2, 4/10-4/10","$6,732,759"
44,Eric Bledsoe,PG,POR,Achilles,28,612/8-4/10,"$6,354,187"
45,OG Anunoby,SF,TOR,"Hip, Health Protocols, Finger, Quad",34,"6811/18-12/17, 12/26-12/30, 2/25-3/23, 4/3-4/9","$6,280,820"
46,Patrick Williams,PF,CHI,Wrist,65,14310/29-3/20,"$6,099,665"
47,Pascal Siakam,PF,TOR,"Shoulder, Health Protocols, Rest",14,"3110/20-11/6, 11/11-11/12, 12/18-12/27, 4/10-4/10","$5,880,018"
48,Jarrett Allen,C,CLE,"Illness, Health Protocols, Finger",26,"5111/15-11/21, 12/22-12/30, 1/24-1/25, 3/8-4/10","$5,862,093"
49,Eric Gordon,SG,HOU,"Groin, Hamstring, Knee, Rest",24,"5511/7-11/9, 11/15-11/16, 12/11-12/12, 12/16-12/15, 1/1-1/2, 1/10-1/11, 2/6-2/13, 2/17-2/24, 3/2-3/3, 3/7-3/8, 3/13-3/20, 3/26-3/26, 3/28-4/10","$5,758,830"
50,Nerlens Noel,C,NYK,"Knee, Back, Health Protocols, Foot",50,"11310/20-11/2, 11/10-11/19, 11/27-11/29, 12/2-12/3, 12/8-12/9, 12/23-1/3, 1/15-1/22, 1/26-1/27, 2/8-3/5, 3/7-4/10","$5,714,975"
51,D'Angelo Russell,PG,MIN,"Ankle, Health Protocols, Shin, Hamstring",16,"3311/3-11/7, 12/6-12/11, 12/27-1/2, 1/28-2/5, 3/7-3/8, 4/7-4/10","$5,692,203"
52,Collin Sexton,PG,CLE,Knee,71,15111/10-4/10,"$5,510,292"
53,Joe Ingles,SF,UTA,"Back, Health Protocols, Ankle, Knee Acl",35,"7712/31-12/31, 1/5-1/9, 1/24-1/25, 1/31-2/8, 2/9-4/10","$5,503,421"
54,Kelly Olynyk,PF,DET,"Knee, Health Protocols, Rest",38,"7711/12-1/18, 1/23-1/29, 4/1-4/1, 4/6-4/6","$5,396,699"
55,Kyle Lowry,PG,MIA,"Ankle, Rest, Health Protocols, Personal, Soreness",19,"3410/23-10/24, 11/17-11/17, 12/26-12/30, 1/17-2/2, 2/28-3/6, 4/5-4/5, 4/10-4/10","$5,272,754"
56,T.J. McConnell,PG,IND,Wrist,55,12212/3-4/4,"$5,258,566"
57,Jrue Holiday,PG,MIL,"Heel, Ankle, Health Protocols",14,"3010/21-10/22, 10/25-11/4, 1/7-1/7, 1/8-1/18, 3/26-3/28, 4/1-4/2","$5,195,400"
58,Chris Paul,PG,PHX,"Thumb, Injury Management, Rest",17,"292/24-3/23, 4/6-4/6, 4/10-4/10","$5,133,319"
59,Devin Booker,SG,PHX,"Hamstring, Health Protocols, Rest, Back",14,"2812/2-12/18, 3/2-3/8, 4/3-4/3, 4/6-4/7, 4/10-4/10","$5,093,200"
60,Kendrick Nunn,PG,LAL,"Ankle, Knee, Health Protocols",64,"17310/19-10/21, 10/22-12/16, 12/17-12/19, 12/20-4/10","$4,971,328"
61,Larry Nance Jr.,PF,POR,Knee,36,"771/7-2/8, 2/10-3/23, 3/27-3/29","$4,731,034"
62,Joel Embiid,C,PHI,"Rest, Health Protocols, Ribs, Back, Knee",14,"2611/1-11/1, 11/8-11/26, 12/13-12/14, 1/31-1/31, 3/21-3/22, 4/10-4/10","$4,718,766"
63,Lauri Markkanen,PF,CLE,"Health Protocols, Ankle",21,"5211/3-11/21, 1/24-2/23, 3/12-3/13","$4,689,256"
64,Bogdan Bogdanovic,SG,ATL,"Ankle, Health Protocols, Knee",18,"4511/9-11/11, 12/1-12/21, 12/29-1/4, 1/15-1/25, 3/25-3/27","$4,655,160"
65,Michael Porter Jr.,SF,DEN,Back,73,15311/8-4/10,"$4,624,119"
66,Doug McDermott,SF,SAS,"Knee, Teeth, Health Protocols, Ankle, Illness",30,"5810/28-11/2, 11/22-12/1, 12/19-12/19, 1/1-1/13, 2/3-2/3, 3/11-3/11, 3/16-4/10","$4,583,334"
67,Marcus Morris Sr.,SF,LAC,"Knee, Rest, Health Protocols, Personal",27,"5110/25-11/23, 11/29-11/29, 12/18-12/26, 1/19-1/20, 1/25-1/29, 3/14-3/14, 4/1-4/2, 4/10-4/10","$4,580,616"
68,Jaylen Brown,SF,BOS,"Knee, Hamstring, Ankle",16,"3210/24-10/24, 11/6-11/21, 12/3-12/12, 3/3-3/5, 3/28-3/29","$4,566,496"
69,Caris LeVert,SG,IND,"Back, Health Protocols, Calf, Foot",24,"4410/20-10/29, 11/10-11/12, 1/2-1/11, 1/20-1/23, 2/25-3/13","$4,425,300"
70,Thomas Bryant,C,WAS,"Knee, Health Protocols, Ankle, Back",43,"8810/20-12/27, 12/28-1/2, 1/3-1/11, 2/2-2/4, 4/10-4/10","$4,383,104"
71,Donovan Mitchell,SG,UTA,"Ankle, Back, Concussion, Calf, Rest, Illness",15,"2711/4-11/5, 12/27-12/30, 1/7-1/7, 1/19-2/3, 3/18-3/19, 4/6-4/6, 4/10-4/10","$4,360,878"
72,Alex Caruso,SG,CHI,"Wrist, Hamstring, Foot, Health Protocols, Back",41,"8411/22-11/23, 12/6-12/10, 12/26-1/6, 1/7-1/16, 1/17-1/18, 1/23-3/11, 4/6-4/10","$4,151,700"
73,Domantas Sabonis,PF,IND,"Calf, Ankle, Health Protocols, Personal, Knee",18,"3812/23-12/25, 1/20-1/27, 1/31-2/5, 3/12-3/13, 3/23-4/10","$4,040,236"
74,Zach LaVine,SG,CHI,"Health Protocols, Knee, Back, Rest",15,"3512/19-12/25, 1/15-1/23, 2/4-2/6, 2/12-2/23, 3/12-3/13, 4/5-4/5, 4/10-4/10","$3,922,415"
75,Zach Collins,C,SAS,Ankle,46,"9710/20-1/22, 2/12-2/13","$3,902,310"
76,Richaun Holmes,C,SAC,"Eye, Health Protocols, Personal, Back",34,"6511/24-11/29, 12/10-12/21, 1/2-1/11, 2/8-2/8, 2/24-3/4, 3/9-3/11, 3/18-4/10","$3,879,265"
77,Derrick Favors,C,OKC,"Rest, Illness, Health Protocols, Back",38,"6910/26-10/26, 11/15-11/15, 11/17-11/17, 11/19-11/19, 11/29-12/5, 12/23-12/23, 12/26-12/26, 12/28-12/28, 1/5-1/8, 1/19-1/22, 1/24-1/30, 2/12-2/12, 3/2-4/10","$3,854,823"
78,Fred VanVleet,PG,TOR,"Groin, Health Protocols, Knee, Injury Management, Rest",15,"3311/13-11/14, 12/26-12/30, 1/25-1/25, 2/10-2/11, 2/16-2/24, 3/1-3/8, 3/12-3/13, 3/20-3/20, 4/7-4/7, 4/8-4/8, 4/10-4/10","$3,731,640"
79,Tobias Harris,PF,PHI,"Health Protocols, Hip, Illness",9,"1811/1-11/10, 11/22-11/26, 12/3-12/5","$3,723,714"
80,Patrick Beverley,PG,MIN,"Calf, Adductor, Health Protocols, Groin, Ankle, Ear",22,"4511/1-11/2, 11/26-12/7, 12/21-12/27, 1/7-1/10, 1/23-1/31, 2/9-2/10, 3/5-3/5, 3/9-3/10, 3/12-3/13, 4/3-4/6","$3,703,725"
81,Andrew Wiggins,SF,GSW,"Knee, Health Protocols, Rest, Illness, Back",9,"2012/18-12/19, 12/20-12/27, 2/1-2/2, 3/7-3/7, 3/14-3/19, 4/10-4/10","$3,629,820"
82,Jusuf Nurkic,C,POR,"Health Protocols, Foot",26,"5212/27-1/2, 2/24-4/10","$3,586,232"
83,Al Horford,C,BOS,"Health Protocols, Leg, Back, Personal",11,"2310/20-10/21, 10/25-10/26, 11/13-11/14, 12/4-12/6, 12/17-12/24, 3/27-3/29, 4/7-4/9","$3,568,956"
84,Danilo Gallinari,PF,ATL,"Shoulder, Health Protocols, Ankle, Hamstring, Achilles, Elbow, Knee",16,"3010/21-10/26, 12/22-1/2, 1/21-1/22, 2/4-2/5, 3/14-3/15, 3/23-3/24, 3/28-3/30, 4/5-4/5","$3,530,160"
85,Bojan Bogdanovic,SF,UTA,"Finger, Knee, Leg, Calf",13,"321/7-1/7, 1/24-1/25, 3/11-3/11, 3/14-4/10","$3,402,656"
86,Josh Hart,SG,NOP,"Quad, Knee, Ankle, Rest",25,"4910/22-10/28, 12/1-12/7, 12/28-12/31, 1/25-1/27, 2/1-2/5, 2/9-2/9, 3/5-3/5, 3/21-4/10","$3,379,334"
87,Kemba Walker,PG,NYK,"Rest, Knee, Personal",36,"6611/7-11/7, 11/27-11/27, 12/31-1/17, 1/23-1/23, 2/7-2/7, 2/25-4/10","$3,311,022"
88,Davis Bertans,PF,WAS,"Ankle, Illness, Foot, Knee",17,"3611/3-11/23, 12/30-1/2, 1/7-1/8, 1/15-1/17, 3/21-3/26","$3,310,344"
89,Deandre Ayton,C,PHX,"Leg, Illness, Health Protocols, Ankle, Rest",23,"4411/2-11/3, 11/6-11/14, 12/10-12/13, 12/27-1/5, 1/17-1/31, 4/3-4/3, 4/6-4/7, 4/10-4/10","$3,194,532"
90,De'Andre Hunter,SF,ATL,"Illness, Wrist, Knee",29,"6610/25-10/26, 11/9-11/11, 11/14-1/11, 3/28-3/29","$2,949,276"
91,Kevin Love,C,CLE,Health Protocols,8,1611/1-11/16,"$2,874,320"
92,Marvin Bagley III,PF,SAC,"Illness, Health Protocols, Shoulder, Ankle, Hip",23,"4411/30-12/3, 12/15-12/25, 1/16-1/18, 1/31-2/10, 2/27-3/3, 4/1-4/10","$2,860,528"
93,Jeremy Lamb,SG,IND,"Ankle, Wrist, Health Protocols, Knee, Hip, Personal",19,"4611/1-11/6, 12/26-12/28, 12/29-1/4, 1/14-1/18, 2/12-2/23, 3/5-3/11, 3/14-3/19","$2,775,870"
94,Onyeka Okongwu,C,ATL,"Shoulder, Health Protocols, Concussion",32,"7810/21-12/24, 12/25-1/2, 3/3-3/6","$2,736,396"
95,Karl-Anthony Towns,C,MIN,"Tailbone, Health Protocols, Rest",7,"1512/3-12/5, 12/23-1/2, 4/10-4/10","$2,728,500"
96,Jalen Suggs,SG,ORL,"Ankle, Thumb",34,"7211/15-11/16, 12/1-1/13, 3/5-3/8, 3/15-4/4, 4/10-4/10","$2,728,126"
97,Jimmy Butler,SF,MIA,"Toe, Illness, Rest",7,"132/1-1/31, 3/3-3/4, 3/9-3/10, 3/12-3/14, 3/18-3/20, 4/3-4/3, 4/10-4/10","$2,690,870"
98,Kira Lewis Jr.,PG,NOP,Knee Acl,55,12112/10-4/10,"$2,658,007"
99,Ja Morant,PG,MEM,"Knee, Thigh, Ankle, Back",25,"4811/28-12/19, 1/8-1/8, 2/15-2/15, 3/15-3/17, 3/20-4/8, 4/10-4/10","$2,649,216"
100,Nikola Jokic,C,DEN,"Wrist, Toe, Illness, Rest",7,"1511/19-11/28, 2/2-2/3, 3/4-3/5, 4/10-4/10","$2,630,205"
101,Gary Harris,SG,ORL,"Hamstring, Ankle, Hand, Back, Personal",10,"2210/20-10/24, 11/1-11/4, 11/22-11/23, 12/15-12/16, 1/23-1/25, 4/5-4/10","$2,589,686"
102,Derrick Jones Jr.,SF,CHI,"Health Protocols, Hamstring, Knee",21,"4612/11-12/18, 12/20-12/28, 1/14-2/11","$2,569,882"
103,DeMar DeRozan,SF,CHI,"Health Protocols, Rest, Adductor",6,"1712/6-12/18, 1/24-1/24, 3/24-3/25, 4/10-4/10","$2,540,225"
104,Maxi Kleber,PF,DAL,"Back, Health Protocols, Knee, Ankle",23,"4711/2-11/20, 12/21-1/1, 2/4-2/7, 3/3-3/6, 4/3-4/10","$2,363,489"
105,Talen Horton-Tucker,SG,LAL,"Thumb, Health Protocols, Ankle",21,"4310/19-11/13, 12/15-12/20, 3/3-3/4, 3/9-3/10, 3/18-3/18, 3/21-3/26","$2,347,714"
106,Khem Birch,C,TOR,"Knee, Nose",27,"6411/7-11/12, 11/24-12/30, 1/15-2/2, 3/28-3/29","$2,335,616"
107,Rui Hachimura,PF,WAS,"Health Protocols, Personal, Ankle",40,"8210/20-11/2, 11/3-12/27, 12/28-1/8, 2/16-2/16","$2,316,828"
108,Jayson Tatum,PF,BOS,"Health Protocols, Knee",6,"1412/27-1/4, 3/28-3/29, 4/7-4/9","$2,261,196"
109,Terence Davis,SG,SAC,"Ankle, Health Protocols, Wrist",44,"9611/10-11/11, 12/15-12/25, 12/31-1/8, 1/26-4/10","$2,206,944"
110,Cade Cunningham,PG,DET,"Abdominal, Rest, Health Protocols, Hip, Illness",18,"3810/20-10/29, 10/31-10/31, 12/23-1/2, 2/3-2/10, 3/15-3/18, 4/3-4/5, 4/10-4/10","$2,194,842"
111,Danny Green,SF,PHI,"Hamstring, Health Protocols, Hip, Finger",19,"3811/3-11/7, 11/16-11/23, 12/23-1/2, 1/14-1/26, 3/13-3/13","$2,183,898"
112,Michael Carter-Williams,PG,ORL,Ankle,56,11410/20-2/10,"$2,162,124"
113,Marcus Smart,PG,BOS,"Illness, Hand, Thigh, Health Protocols, Ankle",11,"2710/30-10/31, 12/27-12/30, 1/12-1/13, 1/14-1/22, 2/16-2/23, 3/21-3/22","$2,147,472"
114,Cameron Payne,PG,PHX,"Hamstring, Wrist, Illness, Knee",24,"5710/23-11/5, 1/24-3/1, 3/20-3/22, 4/8-4/10","$2,129,292"
115,Gary Trent Jr.,SG,TOR,"Calf, Health Protocols, Ankle, Toe",11,"2311/28-12/1, 12/26-12/27, 1/11-1/20, 3/21-3/27","$2,114,942"
116,Luka Doncic,PG,DAL,"Ankle, Health Protocols, Toe",17,"3611/17-11/22, 12/4-12/6, 12/12-12/23, 12/24-1/1, 1/7-1/8, 3/5-3/6, 3/23-3/24","$2,105,064"
117,Kyle Kuzma,PF,WAS,"Health Protocols, Neck, Knee",16,"2812/12-12/14, 1/21-1/22, 3/19-4/10","$2,091,964"
118,Josh Richardson,SG,BOS,"Migraine, Foot, Knee, Illness, Health Protocols, Shoulder, Calf",14,"3110/20-10/21, 11/4-11/5, 11/13-11/14, 11/22-11/27, 12/10-12/16, 12/20-12/28, 2/25-2/25, 3/18-3/19","$2,069,405"
119,Nikola Vucevic,C,CHI,"Health Protocols, Hamstring, Rest",9,"1511/12-11/23, 3/7-3/8, 4/10-4/10","$2,068,965"
120,Julius Randle,PF,NYK,"Health Protocols, Quad",10,"1812/31-1/3, 3/22-3/26, 4/2-4/10","$2,048,274"
121,Donte DiVincenzo,SG,MIL,"Foot, Ankle, Health Protocols",39,"7610/19-10/20, 10/21-12/14, 12/15-12/24, 1/1-1/9","$2,042,348"
122,Rudy Gay,PF,UTA,"Heel, Health Protocols, Knee, Illness",24,"5810/20-11/17, 1/7-1/7, 1/10-1/15, 1/19-1/20, 2/7-2/24, 2/25-2/26","$1,963,358"
123,Dejounte Murray,PG,SAS,"Health Protocols, Knee, Wrist, Calf, Illness",12,"2212/26-12/31, 1/30-1/31, 2/3-2/3, 2/26-2/27, 3/12-3/13, 4/1-4/9","$1,950,784"
124,Victor Oladipo,SG,MIA,"Knee, Injury Management, Back",68,"14110/21-3/6, 3/12-3/12, 3/21-3/22, 3/25-3/25","$1,936,494"
125,Christian Wood,C,HOU,"Knee, Illness, Hamstring",13,"2412/15-12/17, 2/16-2/16, 3/7-3/12, 3/28-4/10","$1,885,056"
126,Josh Giddey,SG,OKC,"Illness, Health Protocols, Hip",28,"5412/1-12/5, 12/28-1/1, 2/25-4/10","$1,858,356"
127,Serge Ibaka,C,LAC,"Back, Personal, Illness",16,"3310/21-11/6, 11/14-11/20, 12/15-12/19, 3/26-3/28, 4/10-4/10","$1,843,611"
128,Reggie Bullock,SF,DAL,"Illness, Knee, Hip, Personal",13,"3311/23-11/26, 12/19-12/28, 1/17-1/18, 2/15-2/24, 3/13-3/20","$1,808,565"
129,Shai Gilgeous-Alexander,PG,OKC,"Ankle, Concussion, Health Protocols",26,"5711/22-11/25, 12/2-12/5, 12/29-12/30, 1/2-1/4, 1/31-2/23, 3/20-3/20, 3/23-4/10","$1,800,288"
130,Russell Westbrook,PG,LAL,"Back, Shoulder",4,"72/9-2/11, 4/7-4/10","$1,778,609"
131,Luke Kennard,SG,LAC,"Hip, Health Protocols, Ankle, Hamstring",11,"2412/22-12/25, 1/1-1/16, 2/14-2/14, 4/6-4/8","$1,755,480"
132,Terry Rozier,PG,CHA,"Ankle, Health Protocols",9,"1710/20-10/21, 10/24-10/30, 12/5-12/12","$1,749,368"
133,E'Twaun Moore,SG,ORL,Knee,56,11310/20-2/9,"$1,715,566"
134,Frank Kaminsky,C,PHX,Knee,67,14111/17-4/7,"$1,693,128"
135,Wendell Carter Jr.,C,ORL,"Leg, Hamstring, Illness, Ankle, Wrist",20,"4112/18-12/22, 1/9-1/11, 1/12-1/20, 3/4-3/7, 3/17-3/19, 3/23-3/25, 3/26-3/27, 3/30-4/10","$1,630,570"
136,Will Barton,SG,DEN,"Back, Illness, Health Protocols, Hamstring, Ankle, Knee",10,"1811/15-11/17, 12/11-12/14, 1/11-1/12, 1/25-1/25, 1/28-1/29, 3/7-3/11, 4/10-4/10","$1,616,382"
137,Coby White,PG,CHI,"Ankle, Health Protocols, Adductor, Toe",21,"4710/20-11/14, 12/2-12/18, 2/4-2/6, 4/10-4/10","$1,576,850"
138,Andre Iguodala,SF,GSW,"Hip, Rest, Knee, Back, Injury Management",50,"10010/24-10/25, 11/7-11/7, 11/18-11/18, 11/19-11/19, 11/21-11/21, 11/24-12/13, 12/18-12/19, 12/23-12/27, 1/3-1/5, 1/18-1/19, 1/21-1/21, 1/23-1/23, 1/25-1/25, 1/27-2/6, 2/9-3/27, 4/3-4/3, 4/7-4/7","$1,518,200"
139,Aaron Gordon,PF,DEN,"Hamstring, Foot",7,"1612/23-12/31, 2/2-2/5, 3/12-3/13, 4/10-4/10","$1,508,880"
140,Terrence Ross,SF,ORL,"Back, Health Protocols, Knee",9,"2111/24-11/25, 12/17-1/1, 1/23-1/25","$1,508,619"
141,Evan Mobley,PF,CLE,"Elbow, Hip, Health Protocols, Ankle",13,"3211/17-11/26, 12/15-12/17, 12/18-12/27, 3/30-4/7","$1,485,088"
142,Isaiah Jackson,PF,IND,"Knee, Health Protocols, Ankle, Concussion",26,"10510/29-12/30, 12/31-1/9, 2/4-2/10, 2/13-2/24, 3/18-3/22, 3/24-3/31","$1,479,167"
143,Spencer Dinwiddie,PG,WAS,"Rest, Knee, Health Protocols, Injury Management",10,"1510/28-10/28, 11/18-11/19, 11/27-11/27, 12/6-12/6, 12/16-12/16, 12/30-1/4, 3/19-3/20, 3/30-3/30","$1,477,830"
144,Clint Capela,C,ATL,"Health Protocols, Ankle",9,"1512/22-12/24, 1/9-1/20","$1,474,440"
145,George Hill,PG,MIL,"Back, Knee, Health Protocols, Neck, Abdominal",28,"6411/14-11/16, 12/4-12/10, 12/13-12/14, 1/5-1/12, 1/30-3/13, 4/10-4/10","$1,471,296"
146,Jae Crowder,SF,PHX,"Health Protocols, Wrist, Groin, Rest, Ankle",14,"2612/27-1/5, 1/24-1/31, 3/16-3/19, 4/3-4/3, 4/6-4/7, 4/10-4/10","$1,452,542"
147,R.J. Barrett,SG,NYK,"Illness, Health Protocols, Ankle, Knee",11,"2912/2-12/3, 12/12-12/22, 2/10-2/24, 4/10-4/10","$1,437,327"
148,Cam Reddish,SF,ATL,"Wrist, Ankle, Shoulder",27,"5312/1-12/9, 1/3-1/4, 1/12-1/13, 1/15-1/22, 3/9-4/10","$1,422,520"
149,Seth Curry,SG,PHI,"Foot, Back, Shoulder, Ankle",16,"3011/9-11/10, 11/22-11/23, 12/13-12/14, 1/10-1/11, 1/21-1/28, 2/2-2/3, 3/13-3/17, 3/23-3/25, 4/2-4/5, 4/10-4/10","$1,415,100"
150,Harrison Barnes,PF,SAC,Foot,5,1211/26-12/7,"$1,398,900"
151,Jakob Poeltl,C,SAS,"Health Protocols, Back, Concussion",14,"2711/3-11/17, 1/15-1/16, 1/30-1/31, 2/3-2/3, 2/26-2/27, 3/12-3/13, 4/3-4/4, 4/9-4/9","$1,357,749"
152,Mike Muscala,C,OKC,"Rest, Ankle",35,"6710/27-10/27, 11/14-11/14, 11/20-11/20, 12/1-12/1, 12/22-12/22, 2/7-4/10","$1,347,705"
153,Jalen Green,SG,HOU,Hamstring,14,2611/27-12/22,"$1,343,654"
