Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
21,Derrick Rose,PG,NYK,"Back, Undisclosed, Ankle, Foot, Knee",17,"3612/7-12/10, 12/15-12/19, 1/9-1/10, 1/29-2/5, 3/23-3/24, 3/29-4/12","$4,515,516"
22,Blake Griffin,C,LAC,Knee,19,"3712/10-12/11, 12/20-1/23","$4,383,612"
23,Andrew Bogut,C,DAL,"Personal, Rest, Calf, Knee, Hamstring, Shin",34,"7011/4-11/5, 11/9-11/13, 11/21-11/22, 12/7-12/26, 12/30-1/2, 1/12-1/24, 1/30-2/14, 2/24-2/27, 3/9-3/13","$4,317,598"
24,Evan Turner,SF,POR,"Foot, Ankle, Hand",17,"4312/20-12/21, 12/21-12/25, 2/9-3/17","$4,146,576"
25,Tyreke Evans,SG,NOP,"Knee, Ankle, Rest, Toe",35,"6510/26-12/14, 2/8-2/11, 3/13-3/14, 3/18-3/21, 3/27-3/28, 4/11-4/11, 4/12-4/12, 4/12-4/12","$4,076,345"
26,Josh McRoberts,PF,MIA,Foot,58,"11910/26-10/30, 11/4-11/11, 12/27-4/12","$4,047,666"
27,Derrick Favors,C,UTA,"Knee, Rest",30,"6210/25-10/27, 11/17-12/13, 12/20-12/20, 3/8-4/6, 4/10-4/11","$4,030,000"
28,Tony Parker,PG,SAS,"Knee, Rest, Foot, Quad, Back",15,"4611/4-11/10, 11/21-11/22, 12/6-12/7, 12/23-12/7, 1/19-1/26, 3/1-3/2, 3/9-3/17","$3,908,712"
29,Al Horford,C,BOS,"Concussion, Personal, Groin, Elbow",14,"2511/2-11/18, 11/28-11/29, 1/27-1/29, 3/5-3/7","$3,902,950"
30,Jodie Meeks,SG,ORL,"Foot, Personal, Thumb",46,"9610/26-12/1, 12/22-12/22, 1/20-3/19","$3,693,216"
31,Danilo Gallinari,PF,DEN,"Thigh, Ankle, Groin, Illness, Knee, Rest",18,"4111/23-11/29, 1/19-1/20, 2/3-2/22, 3/8-3/9, 3/16-3/23, 4/11-4/12","$3,629,689"
32,Quincy Pondexter,SG,NOP,Knee,82,16910/26-4/12,"$3,596,658"
33,Pau Gasol,C,SAS,"Rest, Finger",16,"3812/23-12/24, 1/19-2/23","$3,464,688"
34,Brandan Wright,PF,MEM,"Ankle, Personal",53,"10310/26-1/29, 2/24-2/27, 3/3-3/5","$3,459,564"
35,Mike Conley,PG,MEM,"Back, Toe, Eye",12,"2211/30-12/15, 12/27-12/30, 4/5-4/6","$3,434,596"
36,Miles Plumlee,C,MIL,"Finger, Calf",19,"431/2-1/3, 1/6-1/9, 2/15-3/24","$3,161,747"
37,George Hill,PG,UTA,"Hand, Thumb, Toe, Concussion, Groin",32,"6711/7-11/9, 11/9-11/22, 12/1-12/28, 1/2-1/6, 3/6-3/10, 3/29-4/9","$3,152,953"
38,Avery Bradley,PG,BOS,"Illness, Achilles, Hamstring",27,"6112/30-1/2, 1/7-1/15, 1/18-2/26, 3/5-3/5, 3/24-3/25, 3/31-4/4","$2,967,345"
39,Rodney Stuckey,PG,IND,"Hamstring, Ankle, Knee",33,"7110/29-11/17, 12/15-12/25, 12/28-1/31, 2/3-2/5, 3/28-3/29","$2,923,496"
40,Evan Fournier,SG,ORL,"Shin, Heel, Foot, Wrist",13,"2912/23-1/1, 1/1-1/3, 1/14-1/15, 1/18-1/29, 4/6-4/7","$2,900,000"
41,Omer Asik,C,NOP,Illness,24,"482/23-3/8, 3/8-3/25, 3/27-4/12","$2,796,576"
42,Jared Sullinger,PF,TOR,Foot,41,8410/26-1/17,"$2,780,904"
43,Kyle Lowry,PG,TOR,Wrist,21,392/24-4/4,"$2,752,932"
44,Enes Freedom,C,OKC,Forearm,10,261/29-2/23,"$2,622,308"
45,Lance Thomas,SF,NYK,"Ankle, Foot, Head, Face, Concussion, Hip",34,"7111/4-11/5, 11/14-11/20, 11/20-12/1, 1/16-1/18, 1/18-2/8, 2/8-2/11, 3/23-4/12","$2,585,678"
46,Brandon Knight,PG,PHX,"Wrist, Back",17,"341/3-1/4, 1/16-1/18, 3/15-4/12","$2,521,236"
47,Paul Millsap,PF,ATL,"Hip, Knee",11,"2011/30-12/4, 3/18-4/1","$2,361,420"
48,Ramon Sessions,PG,CHA,Knee,31,662/4-4/11,"$2,329,404"
49,Joel Embiid,C,PHI,"Elbow, Knee",40,"8212/11-12/13, 1/21-1/26, 1/29-4/12","$2,327,898"
50,Jose Barea,PG,DAL,"Calf, Achilles",44,"9311/18-12/18, 12/23-1/6, 1/22-3/9","$2,241,300"
51,Ed Davis,C,POR,"Ankle, Wrist, Shoulder",29,"571/18-1/19, 1/21-1/27, 1/27-2/2, 3/2-4/12","$2,235,312"
52,Arron Afflalo,SG,SAC,"Elbow, Illness, Hamstring, Rest, Personal, Back",15,"3012/26-1/2, 2/3-2/3, 2/23-2/28, 3/13-3/14, 3/18-3/21, 3/27-3/31, 4/4-4/6, 4/11-4/11","$2,205,870"
53,Carmelo Anthony,PF,NYK,"Shoulder, Knee, Back",7,"1512/15-12/16, 3/6-3/7, 3/23-3/26, 3/31-4/3, 4/9-4/11","$2,167,005"
54,Al-Farouq Aminu,PF,POR,"Calf, Back, Knee, Rest",20,"4711/9-12/4, 12/10-12/11, 12/13-12/19, 2/15-2/25, 4/12-4/12","$2,123,554"
55,Jeff Green,PF,ORL,"Back, Personal",12,"2411/27-11/28, 2/7-2/8, 3/22-4/10","$2,117,640"
56,Ryan Anderson,PF,HOU,"Illness, Back, Ankle",10,"191/17-1/19, 1/21-1/22, 3/8-3/9, 3/26-4/6","$2,093,952"
57,Justise Winslow,SF,MIA,"Wrist, Shoulder",64,"13011/15-12/13, 1/1-4/12","$1,983,280"
58,Tyson Chandler,C,PHX,"Personal, Illness, Ankle",13,"2711/8-11/15, 11/18-11/24, 1/16-1/18, 2/11-2/12, 3/12-3/19","$1,971,783"
59,Jabari Parker,PF,MIL,Knee Acl,31,612/10-4/12,"$1,928,454"
60,Jrue Holiday,PG,NOP,"Personal, Toe",15,"2910/26-11/17, 12/5-12/10","$1,925,339"
61,DeMar DeRozan,SF,TOR,"Ankle, Illness",8,"121/24-1/28, 1/31-2/5, 4/12-4/12","$1,873,416"
62,Damian Lillard,PG,POR,"Ankle, Foot",7,"1312/26-1/4, 4/10-4/12","$1,860,404"
63,Rajon Rondo,PG,CHI,"Ankle, Wrist",7,"2211/15-11/18, 12/5-12/14, 3/6-3/7, 4/6-4/11","$1,811,766"
64,Darrell Arthur,PF,DEN,"Knee, Illness, Leg, Rest",14,"3810/26-11/2, 11/30-12/1, 12/15-12/16, 1/12-1/20, 2/13-2/23, 3/13-3/16, 3/24-3/25","$1,803,936"
65,Wilson Chandler,SF,DEN,"Hamstring, Hip, Personal, Illness, Groin",10,"2711/8-11/11, 12/10-12/11, 1/19-1/20, 2/13-2/22, 3/13-3/21","$1,784,079"
66,Deron Williams,PG,DAL,"Calf, Toe",16,"3311/6-11/15, 11/18-11/24, 1/26-2/10","$1,747,053"
67,John Henson,PF,MIL,Thumb,10,193/22-4/9,"$1,706,371"
68,Gordon Hayward,SF,UTA,"Finger, Quad",9,"1810/25-11/5, 12/8-12/9, 3/27-3/28, 4/10-4/11","$1,701,864"
69,Thaddeus Young,PF,IND,Wrist,8,202/4-2/23,"$1,665,140"
70,Dragan Bender,PF,PHX,Ankle,32,"651/24-1/31, 2/3-4/1","$1,635,075"
71,Paul George,SG,IND,"Thumb, Ankle",6,"1411/12-11/13, 11/18-11/22, 11/27-12/3","$1,508,262"
72,Dwight Howard,C,ATL,"Quad, Back, Rest",5,"1111/16-11/17, 12/19-12/25, 3/11-3/12","$1,499,905"
73,Goran Dragic,PG,MIA,"Ankle, Elbow, Back, Eye",9,"1611/12-11/16, 11/25-11/27, 12/27-12/28, 12/30-1/2, 3/12-3/14","$1,495,696"
74,Jeremy Lamb,SG,CHA,"Hamstring, Foot",19,"3911/2-11/22, 1/13-1/30","$1,493,856"
75,Wayne Ellington,SG,MIA,"Quad, Hamstring",20,"4210/26-11/27, 12/18-12/26","$1,482,348"
76,Garrett Temple,SG,SAC,"Hamstring, Rest",13,"312/3-3/4, 4/12-4/12","$1,458,829"
77,Nerlens Noel,C,PHI,"Knee, Ankle, Illness",29,"5610/26-12/10, 12/14-12/15, 1/16-1/17, 2/2-2/3, 3/10-3/14","$1,444,296"
78,Al Jefferson,C,IND,"Teeth, Ankle",12,"242/25-3/4, 3/28-4/12","$1,444,272"
79,Cody Zeller,C,CHA,"Shoulder, Concussion, Illness, Quad",20,"4611/19-11/24, 1/2-1/6, 1/10-1/12, 1/25-2/8, 2/11-2/27","$1,439,064"
80,Anthony Davis,C,NOP,"Back, Hip, Thigh, Knee",6,"1111/16-11/17, 1/12-1/13, 1/23-1/24, 4/8-4/12","$1,431,089"
81,Kent Bazemore,SG,ATL,Knee,7,"1512/7-12/12, 3/20-3/28","$1,387,965"
82,Danny Green,SF,SAS,Quad,12,"2310/25-11/8, 4/2-4/9","$1,352,952"
83,LaMarcus Aldridge,PF,SAS,"Rest, Illness, Knee, Heart, Thumb",6,"1112/14-12/15, 1/10-1/11, 2/2-2/3, 3/11-3/14, 4/2-4/3","$1,331,319"
84,Sergio Rodriguez,SG,PHI,"Illness, Ankle, Hamstring",13,"2812/11-12/13, 12/30-1/7, 3/28-4/12","$1,317,652"
85,Patrick Patterson,PF,TOR,Knee,16,"371/1-1/7, 1/13-1/23, 2/5-2/23","$1,316,756"
86,Jose Calderon,PG,LAL,"Calf, Hamstring",15,"2810/26-10/28, 12/5-12/16, 12/20-1/1","$1,269,632"
87,Kawhi Leonard,SF,SAS,"Stomach, Hand, Quad, Concussion",6,"1212/28-12/31, 1/23-1/26, 2/6-2/7, 3/11-3/12","$1,245,036"
88,Jahlil Okafor,C,PHI,"Illness, Ankle, Knee",24,"4412/5-12/10, 1/18-1/20, 1/24-1/29, 2/4-2/5, 3/4-3/8, 3/20-3/21, 3/24-4/12","$1,239,480"
89,Austin Rivers,SG,LAC,"Concussion, Illness, Hamstring",8,"1912/12-12/13, 1/8-1/10, 3/30-4/12","$1,229,414"
90,Nick Young,SG,LAL,"Toe, Calf, Illness",20,"3811/25-11/26, 11/30-12/10, 3/19-4/12","$1,216,874"
91,Michael Carter-Williams,PG,CHI,Knee,31,"6311/2-12/25, 2/25-3/5","$1,179,801"
92,Dion Waiters,SG,MIA,"Groin, Ankle",36,"6711/28-1/3, 2/8-2/12, 3/19-4/12","$1,142,149"
93,Marc Gasol,C,MEM,Foot,5,93/26-4/3,"$1,120,536"
94,Victor Oladipo,SG,OKC,"Wrist, Back",15,"2912/13-12/30, 2/24-3/6","$1,117,863"
95,Thabo Sefolosha,SF,ATL,"Knee, Groin",20,"4811/16-11/21, 1/29-2/23, 3/26-4/10","$1,087,056"
96,DeMarre Carroll,SF,TOR,"Knee, Rest, Ankle, Back",7,"1311/15-11/15, 11/21-11/22, 3/8-3/9, 3/11-3/15, 3/25-3/28","$1,085,877"
97,Reggie Bullock,SF,DET,"Back, Knee, Illness, Foot",41,"8110/28-11/17, 11/25-1/12, 2/6-2/7, 3/27-4/4","$1,074,708"
98,Cameron Payne,PG,OKC,"Foot, Illness, Undisclosed",42,"8410/26-1/2, 2/24-2/24, 3/15-3/25, 4/2-4/4","$1,043,784"
99,Hassan Whiteside,C,MIA,"Eye, Ankle",5,"81/1-1/7, 1/27-1/27","$1,040,792"
100,Ricky Rubio,PG,MIN,"Elbow, Personal",6,"1311/1-11/11, 1/22-1/23","$1,038,089"
101,Tarik Black,PF,LAL,"Ankle, Illness, Knee",14,"2812/7-12/15, 12/20-12/31, 3/17-3/20, 4/2-4/4","$1,019,704"
102,Monta Ellis,SG,IND,Groin,8,1612/12-12/27,"$1,013,040"
103,Wesley Matthews,SG,DAL,"Hip, Calf",5,"101/25-1/28, 3/1-3/4, 3/15-3/16","$1,008,580"
104,D'Angelo Russell,PG,LAL,"Knee, Personal",17,"3211/22-12/10, 1/22-1/30, 4/5-4/6, 4/11-4/12","$1,003,808"
105,Roy Hibbert,C,CHA,Knee,11,"3410/29-11/10, 2/4-2/24","$1,000,008"
106,Patrick Beverley,PG,HOU,"Knee, Thigh, Wrist",13,"2810/26-11/16, 12/27-12/29, 1/2-1/4","$988,232"
107,Jared Dudley,SF,PHX,"Foot, Head, Illness",8,"1611/27-11/29, 1/16-1/25, 2/1-2/3","$985,408"
108,Nicolas Batum,SF,CHA,"Eye, Knee",3,"811/26-11/27, 1/7-1/12","$982,096"
109,Mike Dunleavy,SF,CLE,"Concussion, Ankle",17,"3412/1-12/4, 1/2-1/6, 2/27-3/21, 3/29-3/31","$967,504"
110,Zach LaVine,SG,MIN,"Knee, Hip",35,"7311/13-11/14, 1/11-1/14, 2/4-4/12","$962,286"
111,Eric Gordon,SG,HOU,"Toe, Back",6,"131/10-1/12, 1/25-1/28, 2/9-2/14","$947,115"
112,Devin Harris,PG,DAL,"Toe, Illness",17,"3810/26-11/29, 2/3-2/5","$945,098"
113,Brice Johnson,PF,LAC,Back,56,11910/27-2/22,"$891,786"
114,Will Barton,SG,DEN,"Ankle, Personal, Foot",22,"4111/3-11/19, 11/25-11/27, 11/27-12/1, 1/31-2/2, 3/31-4/12","$852,144"
115,Jon Leuer,PF,DET,"Back, Knee",6,"1312/17-12/18, 1/10-1/20","$840,567"
116,Kyrie Irving,PG,CLE,"Hamstring, Quad",4,"812/31-1/5, 2/4-2/5","$830,024"
117,Nikola Vucevic,C,ORL,"Back, Achilles",7,"1212/10-12/15, 3/5-3/10","$829,416"
118,Delon Wright,PG,TOR,Shoulder,43,8910/26-1/22,"$825,742"
119,Draymond Green,PF,GSW,"Ankle, Personal, Shoulder, Rest",7,"911/26-11/27, 12/22-12/22, 2/2-2/3, 4/5-4/7, 4/12-4/12","$811,611"
120,Gerald Henderson,SG,PHI,"Illness, Hip",8,"1511/23-11/24, 12/29-1/5, 3/3-3/5, 3/11-3/11, 3/28-3/28","$794,115"
121,Marvin Williams,PF,CHA,Knee,6,1111/26-12/6,"$792,649"
122,Zach Randolph,PF,MEM,"Personal, Foot",8,"1311/25-12/5, 2/8-2/9","$792,350"
123,E'Twaun Moore,SG,NOP,"Toe, Personal, Ankle",9,"1611/14-11/15, 12/5-12/10, 2/10-2/12, 2/25-2/25, 4/8-4/11","$760,592"
124,Kristaps Porzingis,PF,NYK,"Achilles, Illness, Ankle, Thigh, Back",14,"291/2-1/5, 1/12-1/18, 1/31-1/31, 2/25-2/28, 3/16-3/19, 4/4-4/12","$736,542"
125,Omri Casspi,SF,SAC,"Illness, Calf",23,"4010/31-11/2, 12/18-12/25, 1/18-2/15","$697,360"
126,Bradley Beal,SG,WAS,"Hamstring, Ankle",3,"511/11-11/11, 11/16-11/16, 12/30-1/1","$650,495"
127,Kyle Korver,SG,ATL,"Personal, Foot",12,"2111/8-11/8, 3/9-3/21, 3/27-4/3","$647,220"
128,Nikola Mirotic,PF,CHI,"Illness, Back",7,"191/10-1/16, 2/12-2/23","$646,266"
129,Channing Frye,PF,CLE,Personal,7,"1410/28-10/31, 11/25-11/30, 12/9-12/12","$642,922"
130,Luol Deng,SF,LAL,"Biceps, Wrist",3,"61/5-1/5, 1/17-1/21","$635,292"
131,Tristan Thompson,C,CLE,Thumb,4,74/5-4/11,"$631,253"
132,Adreian Payne,PF,MIN,Illness,24,"532/3-3/24, 3/28-3/31","$630,488"
133,Quincy Acy,PF,DAL,"Eye, Ankle",10,"2711/16-11/17, 2/7-2/28, 3/30-4/1","$625,414"
134,Tony Allen,SG,MEM,"Knee, Hip, Eye",9,"1910/26-10/31, 11/8-11/17, 3/21-3/22, 4/4-4/4","$615,334"
135,DeMarcus Cousins,C,NOP,"Knee, Ankle, Achilles",7,"183/17-3/18, 3/26-3/28, 3/31-4/12","$612,594"
136,Emmanuel Mudiay,PG,DEN,"Ankle, Back",15,"3212/8-12/9, 1/22-1/31, 2/6-2/23, 4/11-4/12","$610,208"
137,Nemanja Bjelica,PF,MIN,Foot,15,273/17-4/12,"$603,531"
138,Courtney Lee,SG,NYK,"Ankle, Wrist",5,"912/2-12/5, 12/28-1/1","$595,161"
139,DeAndre Jordan,C,LAC,Illness,0,51/13-1/17,"$579,090"
140,Dante Cunningham,PF,NOP,"Knee, Personal",14,"3311/25-12/17, 2/13-2/22","$578,127"
141,Kosta Koufos,C,SAC,Rest,6,"123/13-3/14, 3/22-3/23, 4/4-4/9, 4/11-4/12","$567,984"
142,T.J. Warren,SF,PHX,"Illness, Head, Foot",16,"4511/19-11/23, 11/23-12/16, 3/12-3/25, 4/2-4/4","$563,535"
143,Boris Diaw,C,UTA,Leg,8,1311/1-11/13,"$535,288"
144,Chris Andersen,PF,CHA,Knee,29,5812/17-2/12,"$529,366"
145,Anthony Tolliver,PF,SAC,"Knee, Rest",5,"1111/6-11/9, 3/15-3/17, 4/4-4/6, 4/12-4/12","$517,649"
146,Leandro Barbosa,SG,PHX,"Illness, Hamstring",11,"223/17-3/20, 3/26-4/12","$517,638"
147,Matthew Dellavedova,PG,MIL,Hamstring,5,912/30-1/7,"$508,635"
148,Gary Harris,SG,DEN,"Groin, Ankle",24,"5210/26-11/4, 11/13-12/14, 1/7-1/11, 1/17-1/21","$506,480"
149,Maurice Harkless,SF,POR,"Ankle, Calf",4,"912/8-12/9, 1/13-1/15, 1/25-1/28","$502,344"
150,Zaza Pachulia,C,GSW,"Wrist, Shoulder",12,"2912/10-12/16, 2/1-2/22","$494,363"
151,Taj Gibson,C,CHI,"Ankle, Illness, Knee",4,"91/17-1/19, 1/29-1/31, 3/31-4/1, 4/11-4/11","$473,823"
152,James Harden,SG,HOU,Wrist,1,34/2-4/4,"$468,354"
153,Tyler Johnson,SG,MIA,"Teeth, Illness, Migraine, Shoulder, Neck",8,"1411/28-11/29, 12/16-12/17, 1/3-1/3, 1/23-1/29, 3/6-3/7","$463,484"
154,Andre Iguodala,SF,GSW,"Hip, Rest",3,"73/21-3/23, 4/5-4/7, 4/12-4/12","$458,353"
155,Paul Pierce,SF,LAC,Ankle,12,2210/27-11/17,"$456,544"
156,Iman Shumpert,SG,CLE,"Hamstring, Ankle",4,"811/27-11/28, 2/8-2/13","$454,728"
157,Doug McDermott,SF,CHI,"Head, Concussion, Shin, Knee",16,"3111/2-11/3, 11/15-12/7, 12/26-12/27, 4/9-4/12","$452,786"
158,Caris LeVert,SG,BKN,"Foot, Knee, Illness",23,"4910/26-12/6, 2/5-2/7, 2/25-2/28","$450,310"
159,LaVoy Allen,PF,IND,Knee,7,"192/13-2/23, 3/5-3/7, 3/14-3/18","$447,051"
160,Alexis Ajinca,C,NOP,"Shoulder, Personal, Hip",9,"1611/18-11/26, 2/10-2/12, 3/31-4/3","$443,600"
161,James Ennis III,SF,MEM,"Calf, Knee",15,"2611/23-12/17, 4/12-4/12","$443,222"
162,Rodney Hood,SF,UTA,"Illness, Hamstring, Knee",22,"5311/14-11/16, 12/1-12/2, 12/8-12/13, 12/21-12/22, 1/16-1/25, 2/4-2/23, 3/1-3/4, 3/16-3/19, 4/10-4/11","$438,522"
163,Mirza Teletovic,PF,MIL,"Illness, Hamstring",4,"712/26-12/29, 3/10-3/12","$432,355"
164,C.J. Miles,SF,IND,"Illness, Knee",6,"163/15-3/16, 11/20-12/3","$429,150"
165,Alex Abrines,SG,OKC,"Back, Knee",7,"121/31-2/5, 4/5-4/10","$423,156"
166,Jonas Valanciunas,C,TOR,Knee,2,511/6-11/10,"$423,000"
167,Malachi Richardson,SG,SAC,Hamstring,25,482/23-4/12,"$406,560"
168,Wesley Johnson,SF,LAC,"Heel, Personal",6,"1211/12-11/20, 1/16-1/18","$397,272"
169,Klay Thompson,SG,GSW,"Rest, Heel",2,"41/10-1/11, 2/13-2/14","$392,084"
170,Brandon Rush,SG,MIN,"Toe, Illness",10,"1911/13-11/20, 11/30-12/8, 3/8-3/9","$391,172"
171,Brook Lopez,C,BKN,"Rest, Ankle",2,"311/14-11/14, 3/10-3/11","$373,512"
172,Julius Randle,PF,LAL,"Hip, Personal, Illness",8,"1911/23-11/28, 12/22-12/24, 1/26-2/1, 2/3-2/5","$365,142"
173,Jaylen Brown,SF,BOS,"Ankle, Hip",4,"131/11-1/12, 2/13-2/23","$362,700"
174,Seth Curry,SG,DAL,"Knee, Shoulder",12,"2112/1-12/8, 3/27-3/28, 4/2-4/12","$357,987"
175,Stephen Curry,PG,GSW,"Illness, Knee",2,"51/29-1/31, 4/8-4/9","$356,245"
176,Markieff Morris,PF,WAS,"Foot, Calf, Illness, Ankle",4,"812/14-12/15, 2/8-2/9, 3/18-3/19, 4/6-4/7","$348,232"
177,Dante Exum,PG,UTA,Knee,7,1512/21-1/4,"$347,670"
178,Ryan Kelly,PF,ATL,Personal,4,5712/30-2/24,"$340,575"
179,Josh Richardson,SG,MIA,"Knee, Ankle, Foot",29,"6610/26-11/3, 11/30-12/9, 1/8-2/23","$339,570"
180,Marco Belinelli,SG,CHA,Ankle,5,912/26-1/3,"$335,295"
181,Michael Beasley,SF,MIL,"Foot, Knee",22,"4012/15-12/25, 3/1-3/30","$330,280"
182,Deyonta Davis,C,MEM,"Foot, Personal",20,"4112/14-1/19, 1/28-1/31","$330,214"
183,Allen Crabbe,SG,POR,Foot,2,34/10-4/12,"$326,472"
184,Vince Carter,SG,MEM,Hip,7,1311/30-12/12,"$326,079"
185,Joe Johnson,SG,UTA,Groin,3,53/3-3/7,"$323,530"
186,Jameer Nelson,PG,DEN,"Illness, Calf",7,"123/1-3/3, 4/2-4/4, 4/7-4/12","$320,508"
187,Damian Jones,C,GSW,Pectoral,23,4610/25-12/9,"$317,032"
188,David West,PF,GSW,Thumb,14,341/20-2/22,"$310,318"
189,J.J. Redick,SG,LAC,"Hamstring, Ankle",3,"712/26-12/29, 3/26-3/28","$303,779"
190,Shelvin Mack,PG,UTA,Ankle,11,213/5-3/26,"$300,594"
191,Kelly Olynyk,PF,BOS,Shoulder,7,"1610/26-11/8, 2/1-2/2","$291,200"
192,Mike Miller,SG,DEN,Personal,7,1411/18-12/1,"$288,232"
193,C.J. Wilcox,SG,ORL,"Hand, Knee, Achilles",16,"4010/26-10/27, 1/20-1/24, 1/24-2/1, 2/1-2/24","$284,600"
194,Amir Johnson,C,BOS,"Ankle, Illness",2,"41/11-1/12, 4/8-4/9","$282,352"
195,Kentavious Caldwell-Pope,SG,DET,"Knee, Shoulder",5,"1312/11-12/13, 1/13-1/22","$281,281"
196,Trevor Booker,PF,BKN,"Illness, Hip",3,"512/3-12/4, 1/10-1/11, 1/27-1/27","$272,060"
197,Rashad Vaughn,SG,MIL,"Ankle, Foot",12,"2512/23-1/13, 3/15-3/17","$266,325"
198,Beno Udrih,PG,DET,"Ankle, Knee",16,"292/23-3/21, 4/10-4/12","$264,683"
199,Solomon Hill,SF,NOP,Personal,2,412/16-12/19,"$264,500"
200,Larry Nance Jr.,PF,LAL,"Concussion, Knee",19,"3711/8-11/9, 12/3-12/6, 12/22-1/21","$262,848"
201,Andre Drummond,C,DET,Ankle,1,211/14-11/15,"$260,198"
202,Lance Stephenson,SG,MIN,Ankle,2,"362/15-3/7, 3/17-3/31","$259,884"
203,Eric Bledsoe,PG,PHX,Undisclosed,1,33/15-3/17,"$247,059"
204,Darren Collison,PG,SAC,"Rest, Migraine",4,"83/15-3/17, 4/4-4/6, 4/11-4/12","$246,088"
205,Dejounte Murray,PG,SAS,"Ankle, Groin",18,"351/14-1/18, 3/11-3/12, 3/15-4/11","$242,970"
206,C.J. Watson,PG,ORL,Achilles,3,82/23-3/2,"$235,296"
207,Brandon Jennings,PG,NYK,Achilles,1,82/15-2/22,"$223,256"
208,Dewayne Dedmon,C,SAS,Knee,6,1311/16-11/28,"$221,611"
209,Ivica Zubac,C,LAL,"Back, Ankle, Quad",21,"3611/10-11/12, 11/20-12/6, 3/5-3/8, 4/1-4/12","$219,168"
210,Michael Gbinije,SG,DET,"Forearm, Ankle, Illness",26,"571/3-1/28, 3/14-4/7, 4/7-4/12","$217,968"
211,James Young,SG,BOS,Tailbone,10,203/8-3/28,"$214,720"
212,Clint Capela,C,HOU,Leg,15,2812/20-1/16,"$213,500"
213,James Johnson,PF,MIA,"Shoulder, Illness, Elbow",6,"912/6-12/11, 1/3-1/3, 3/6-3/7","$211,761"
214,Kevin Seraphin,PF,IND,Knee,9,"2011/20-11/20, 11/23-12/4, 1/26-2/1","$211,760"
215,Ty Lawson,PG,SAC,"Face, Ankle, Groin, Rest, Knee",12,"271/3-1/3, 1/18-1/19, 2/10-2/22, 3/13-3/14, 3/22-3/23, 3/26-3/26, 4/4-4/8, 4/12-4/12","$208,926"
216,Trey Burke,PG,WAS,"Personal, Illness",5,"103/1-3/3, 3/17-3/23","$199,210"
217,Alex Len,C,PHX,Hip,4,"712/13-12/16, 3/11-3/14","$198,618"
218,Frank Kaminsky,C,CHA,"Foot, Shoulder",7,"1210/26-10/28, 3/4-3/12","$192,708"
219,Randy Foye,SG,BKN,Hamstring,6,1310/26-11/7,"$191,178"
220,Aron Baynes,C,DET,Ankle,2,51/3-1/7,"$191,175"
