Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
16,Otto Porter Jr.,SF,WAS,"Toe, Personal, Knee, Leg, Rest, Shoulder",25,"5111/4-11/5, 11/30-11/30, 12/12-1/1, 2/25-2/26, 3/3-3/3, 3/18-4/10","$7,494,960"
17,Anthony Davis,C,NOP,"Elbow, Hip, Illness, Finger, Rest, Personal, Back",25,"5110/27-10/30, 11/1-11/2, 11/24-11/25, 12/31-1/1, 1/21-2/7, 2/23-2/23, 3/2-3/2, 3/15-3/15, 3/20-3/23, 3/26-4/10","$7,328,496"
18,Brandon Knight,PG,HOU,Knee,38,"8110/17-11/29, 12/3-12/12, 1/13-2/6, 2/7-2/8","$6,695,622"
19,Markelle Fultz,PG,PHI,Shoulder,62,"14011/21-2/7, 2/8-4/10","$6,596,520"
20,Jonas Valanciunas,C,TOR,"Thumb, Personal, Ankle",32,"6912/14-2/7, 2/8-2/11, 2/22-2/22, 4/3-4/10","$6,447,567"
21,Nikola Mirotic,PF,NOP,"Ankle, Illness, Calf, Thumb",39,"8711/10-11/13, 12/3-12/6, 12/12-1/8, 1/24-2/7, 2/8-2/21, 3/20-4/10","$6,144,027"
22,Robert Covington,PF,MIN,"Knee, Ankle",46,"10012/8-12/9, 1/2-1/5, 1/6-4/10","$5,911,900"
23,Gary Harris,SG,DEN,"Achilles, Ankle, Hip, Hamstring, Groin",25,"6311/24-11/26, 11/27-11/29, 12/5-12/31, 1/8-1/16, 2/1-2/21","$5,879,223"
24,T.J. Warren,SF,PHX,"Back, Ankle",39,"8811/4-11/5, 11/30-12/9, 1/24-4/10","$5,841,792"
25,Kristaps Porzingis,PF,NYK,Knee Acl,82,"17510/17-1/31, 2/1-4/10","$5,632,725"
26,Kyle Lowry,PG,TOR,"Back, Thigh, Ankle, Rest",17,"3212/1-12/2, 12/14-12/15, 12/16-12/21, 12/26-1/5, 2/3-2/4, 3/14-3/17, 3/20-3/23, 4/9-4/9","$5,630,502"
27,Will Barton,SG,DEN,"Hip, Personal",38,"8310/23-1/11, 1/17-1/18","$5,547,554"
28,Zach LaVine,SG,CHI,"Illness, Ankle, Knee, Thigh",19,"4911/17-11/20, 12/15-12/25, 1/30-2/1, 3/10-3/19, 3/20-4/10","$5,398,281"
29,Cody Zeller,C,CHA,"Ribs, Hand, Knee",33,"6812/2-12/4, 1/2-2/4, 3/11-4/10","$5,197,240"
30,Tyler Johnson,SG,MIA,"Hamstring, Hip, Calf, Knee",21,"4611/20-12/3, 12/10-12/11, 1/27-1/29, 3/15-4/10","$5,001,626"
31,Stephen Curry,PG,GSW,"Groin, Rest, Ankle",13,"2311/10-11/30, 3/23-3/23, 4/10-4/10","$4,867,306"
32,Wilson Chandler,SF,PHI,"Hamstring, Quad, Illness",29,"6710/16-11/2, 12/2-12/4, 12/22-12/24, 1/2-1/7, 1/26-1/28, 2/2-2/5, 2/6-3/7","$4,845,440"
33,Dion Waiters,SG,MIA,"Ankle, Migraine",34,"7410/17-12/27, 1/25-1/26","$4,828,796"
34,Paul Millsap,PF,DEN,"Foot, Ankle, Rest",11,"2912/8-12/28, 2/4-2/10, 4/7-4/7","$4,789,234"
35,Dante Exum,PG,UTA,"Ankle, Knee",39,"891/7-3/10, 3/16-4/10","$4,753,643"
36,Jrue Holiday,PG,NOP,Abdominal,15,333/8-4/10,"$4,734,873"
37,Dwight Howard,C,WAS,"Buttocks, Back",73,"15610/18-11/1, 11/20-12/2, 12/3-4/10","$4,703,868"
38,George Hill,PG,CLE,"Shoulder, Groin",21,"4311/7-11/30, 2/25-3/14, 3/20-3/19","$4,615,835"
39,James Johnson,PF,MIA,"Hernia, Illness, Shoulder",27,"5610/17-11/17, 12/30-1/1, 2/23-3/16","$4,609,465"
40,Kyle Anderson,PF,MEM,"Ankle, Shoulder",39,"8412/15-12/16, 1/14-1/27, 2/1-4/10","$4,100,796"
41,Kyrie Irving,PG,BOS,"Personal, Shoulder, Eye, Quad, Illness, Hip, Knee, Thigh, Rest",15,"3611/9-11/10, 12/10-12/11, 1/2-1/6, 1/14-1/15, 1/23-1/25, 1/28-1/31, 2/5-2/6, 2/12-2/20, 3/6-3/8, 3/26-3/26, 3/30-3/31, 4/10-4/10","$4,087,980"
42,Luc Richard Mbah a Moute,PF,LAC,Knee,76,16410/26-4/7,"$4,003,240"
43,Jabari Parker,PF,CHI,"Illness, Knee, Personal",14,"3412/17-1/5, 1/23-1/24, 2/2-2/7, 4/5-4/10","$3,841,796"
44,Mike Conley,PG,MEM,"Hamstring, Knee, Illness, Undisclosed, Thigh, Ankle",12,"2112/17-12/18, 2/1-2/2, 2/12-2/12, 3/3-3/4, 3/22-3/22, 3/25-3/26, 3/31-4/10","$3,621,156"
45,Andrew Wiggins,SF,MIN,"Quad, Illness",9,"2510/24-10/30, 11/9-11/11, 2/11-2/21, 3/9-3/13","$3,597,075"
46,Al Horford,C,BOS,"Knee, Ankle",12,"2211/23-11/23, 12/8-12/22, 3/23-3/25, 3/30-3/31, 4/10-4/10","$3,595,658"
47,Jerryd Bayless,PG,PHI,"Knee, Toe, Ankle",36,"7310/16-11/11, 11/12-12/20, 2/8-2/10, 4/7-4/10","$3,536,996"
48,Joel Embiid,C,PHI,"Ankle, Knee, Rest",14,"241/11-1/12, 2/21-3/9, 3/19-3/19, 3/30-3/30, 4/1-4/3","$3,453,192"
49,Russell Westbrook,PG,OKC,"Knee, Ankle",8,"1710/16-10/20, 11/7-11/18","$3,424,412"
50,Gordon Hayward,SF,BOS,"Ankle, Illness, Personal, Concussion",10,"1910/20-10/21, 11/24-11/25, 12/10-12/13, 1/19-1/20, 2/21-2/22, 3/18-3/23, 4/10-4/10","$3,350,688"
51,C.J. McCollum,SG,POR,"Ankle, Knee, Rest",12,"2312/6-12/7, 3/18-4/6, 4/10-4/10","$3,347,305"
52,Lonzo Ball,PG,LAL,Ankle,35,791/21-4/10,"$3,330,482"
53,Clint Capela,C,HOU,Thumb,15,381/14-2/20,"$3,283,276"
54,Kent Bazemore,SG,ATL,"Ankle, Groin",15,"3212/31-1/29, 4/5-4/6","$3,270,496"
55,Courtney Lee,SG,NYK,Neck,24,4710/17-12/2,"$3,253,810"
56,Rajon Rondo,PG,LAL,"Hand, Finger, Rest",32,"6311/17-12/20, 12/27-1/23, 4/10-4/10","$3,203,361"
57,DeMarcus Cousins,C,GSW,"Achilles, Rest, Ankle",52,"10210/16-1/17, 2/13-2/13, 2/27-2/27, 3/18-3/20, 3/24-3/24, 4/5-4/5, 4/10-4/10","$3,075,606"
58,Tim Hardaway Jr.,SG,NYK,"Back, Heel, Illness, Hamstring, Shin",15,"3111/5-11/6, 12/17-12/18, 12/27-12/28, 1/13-1/16, 3/21-4/10","$3,034,311"
59,Danilo Gallinari,PF,LAC,"Illness, Back, Rest, Ankle",14,"2411/19-11/19, 1/20-2/6, 3/12-3/12, 3/30-3/30, 4/7-4/9","$2,927,136"
60,Michael Porter Jr.,SF,DEN,Back,82,17610/17-4/10,"$2,877,776"
61,Kawhi Leonard,SF,TOR,"Ankle, Hip, Rest, Knee, Personal",13,"2511/4-11/6, 12/11-12/13, 1/19-1/22, 2/13-2/21, 2/24-2/24, 3/3-3/3, 3/10-3/10, 3/18-3/18, 3/28-3/28, 3/30-3/30","$2,838,875"
62,E'Twaun Moore,SG,NOP,"Calf, Leg, Quad, Rest",27,"5712/2-12/2, 12/10-12/15, 1/7-1/11, 1/29-2/1, 2/2-2/8, 2/23-2/23, 3/8-4/10","$2,836,719"
63,Draymond Green,PF,GSW,"Toe, Knee",14,"2811/8-11/11, 11/17-12/9, 4/10-4/10","$2,763,544"
64,Giannis Antetokounmpo,PF,MIL,"Concussion, Neck, Quad, Knee, Ankle, Calf, Rest",10,"2010/29-10/31, 12/10-12/11, 1/11-1/12, 2/9-2/10, 2/25-2/26, 3/19-3/21, 3/31-4/3, 4/6-4/6, 4/10-4/10","$2,729,640"
65,DeMarre Carroll,SF,BKN,"Ankle, Knee, Wrist",15,"3110/17-11/8, 1/7-1/8, 2/11-2/12, 3/13-3/15, 4/10-4/10","$2,697,186"
66,Hassan Whiteside,C,MIA,"Knee, Personal, Illness, Hip",9,"1711/5-11/6, 12/7-12/13, 1/12-1/14, 2/27-3/3","$2,442,832"
67,Avery Bradley,PG,LAC,"Ankle, Shin",18,"3611/5-11/18, 3/20-4/10","$2,440,692"
68,Fred VanVleet,PG,TOR,"Toe, Back, Thigh, Thumb",18,"4810/24-11/1, 12/16-12/18, 1/13-1/15, 2/11-3/16","$2,346,816"
69,Norman Powell,SG,TOR,"Shoulder, Personal",22,"4411/7-12/18, 12/28-12/29","$2,328,568"
70,Michael Kidd-Gilchrist,SF,CHA,"Ankle, Personal, Knee, Concussion",14,"3111/13-11/25, 12/12-12/13, 3/9-3/14, 3/21-3/28, 4/7-4/9","$2,276,826"
71,Zhaire Smith,SG,PHI,Foot,70,15410/16-3/18,"$2,272,424"
72,Denzel Valentine,SG,CHI,Ankle,82,17510/18-4/10,"$2,254,875"
73,Justin Patton,C,MIN,Foot,66,"14910/17-11/11, 11/12-1/20, 1/26-3/4, 3/20-4/3","$2,245,579"
74,Matthew Dellavedova,PG,MIL,"Illness, Knee, Foot, Concussion",21,"4110/24-10/25, 12/19-12/20, 1/4-1/7, 3/8-4/10","$2,225,480"
75,Eric Gordon,SG,HOU,"Leg, Groin, Knee, Rest",14,"2911/3-11/4, 11/5-11/9, 12/31-1/15, 2/4-2/5, 2/28-3/2, 3/20-3/20","$2,211,917"
76,Jared Dudley,SF,BKN,Hamstring,16,411/11-2/20,"$2,207,522"
77,Markieff Morris,PF,WAS,"Concussion, Back, Neck",21,"4610/30-11/1, 12/28-2/6, 2/7-2/7, 3/13-3/13","$2,197,926"
78,Maurice Harkless,SF,POR,Knee,19,"3510/29-11/20, 12/30-12/31, 1/9-1/17, 3/15-3/15","$2,142,910"
79,Trevor Ariza,SF,PHX,"Personal, Groin",11,"2511/14-11/18, 3/21-3/25, 3/27-4/10","$2,118,650"
80,Ricky Rubio,PG,UTA,"Back, Hamstring, Groin, Hip, Quad",13,"2512/29-12/31, 1/9-1/10, 1/11-1/15, 1/16-1/20, 2/28-3/1, 3/8-3/12, 4/7-4/10","$2,107,213"
81,Wendell Carter Jr.,C,CHI,Thumb,38,831/17-4/10,"$2,082,636"
82,C.J. Miles,SF,TOR,"Hip, Groin, Foot",22,"4311/7-11/9, 11/14-11/22, 1/8-1/10, 1/13-1/16, 2/25-2/26, 3/20-4/10","$2,024,483"
83,Jose Barea,PG,DAL,"Groin, Ankle, Achilles",44,"9611/19-11/20, 12/13-12/17, 1/5-1/6, 1/13-4/10","$2,012,640"
84,Mohamed Bamba,C,ORL,"Foot, Leg",33,"731/9-1/17, 2/5-4/10","$2,006,478"
85,Aron Baynes,C,BOS,"Hamstring, Ankle, Hand, Foot",31,"6810/22-10/29, 12/8-12/11, 12/21-1/15, 2/3-3/2, 3/23-3/23, 4/10-4/10","$1,995,256"
86,Ishmael Smith,PG,DET,"Groin, Thigh, Rest",26,"5512/7-1/13, 1/19-1/20, 1/21-2/1, 2/5-2/7","$1,864,390"
87,Kris Dunn,PG,CHI,"Personal, Knee Mcl, Back, Migraine",36,"7810/18-10/21, 10/24-12/9, 2/13-2/21, 2/25-2/26, 3/26-4/10","$1,860,066"
88,Taj Gibson,C,MIN,"Personal, Calf",12,"2312/15-12/16, 3/21-4/10","$1,819,208"
89,Andre Iguodala,SF,GSW,"Calf, Hip, Hamstring, Rest, Illness, Teeth, Toe",11,"2010/19-10/20, 12/12-12/16, 2/10-2/11, 2/13-2/13, 2/28-3/1, 3/18-3/18, 3/24-3/24, 4/4-4/9","$1,807,900"
90,Tyreke Evans,SG,IND,"Personal, Knee, Back, Illness, Undisclosed",12,"2510/27-10/28, 12/16-12/17, 12/21-12/25, 1/28-2/1, 2/27-3/1, 3/10-3/15, 4/7-4/9","$1,746,888"
91,Marvin Bagley III,PF,SAC,"Back, Knee, Illness",19,"4212/1-12/6, 12/16-1/6, 3/1-3/13, 3/31-4/1","$1,733,550"
92,Kosta Koufos,C,SAC,"Hamstring, Calf",16,"3510/17-10/28, 11/12-11/30, 4/7-4/10","$1,728,160"
93,James Harden,SG,HOU,"Hamstring, Neck",3,"1010/26-11/2, 2/23-2/24","$1,718,750"
94,Frank Ntilikina,PG,NYK,"Ankle, Groin",35,"721/7-1/12, 1/28-3/21, 3/28-4/10","$1,690,488"
95,Lance Thomas,SF,NYK,"Knee, Personal",22,"4211/7-12/16, 4/9-4/10","$1,689,408"
96,Dirk Nowitzki,PF,DAL,"Ankle, Illness",28,"5910/17-12/12, 1/9-1/10","$1,666,691"
97,Brandon Ingram,SF,LAL,"Ankle, Shoulder",26,"5112/7-12/20, 3/4-4/10","$1,658,826"
98,Jaren Jackson Jr.,PF,MEM,Quad,24,"492/1-2/2, 2/22-4/10","$1,637,482"
99,Evan Turner,SF,POR,"Achilles, Knee, Personal",7,"1612/2-12/3, 2/23-3/4, 3/7-3/11","$1,615,264"
100,Rudy Gay,PF,SAS,"Heel, Wrist, Ankle, Illness",12,"2711/4-11/11, 12/31-1/2, 1/7-1/15, 2/9-2/11, 3/10-3/14","$1,538,730"
101,Lauri Markkanen,PF,CHI,"Elbow, Illness",30,"6010/18-12/1, 3/27-4/10","$1,537,680"
102,Dejounte Murray,PG,SAS,Knee Acl,82,17610/17-4/10,"$1,536,304"
103,Iman Shumpert,SG,SAC,"Hip, Personal, Finger, Knee, Calf, Rest",13,"2410/24-10/25, 12/16-12/16, 12/17-12/18, 1/5-1/9, 2/21-2/24, 2/28-3/7, 3/19-3/19, 4/3-4/3","$1,493,040"
104,Isaiah Thomas,PG,DEN,Hip,56,12810/17-2/21,"$1,467,648"
105,Elfrid Payton,PG,NOP,"Ankle, Finger",41,"8610/29-11/15, 11/17-12/30, 1/29-2/21","$1,457,614"
106,Blake Griffin,C,DET,"Rest, Knee",5,"81/10-1/11, 3/18-3/18, 4/1-4/4, 4/10-4/10","$1,443,060"
107,JaMychal Green,PF,MEM,"Face Jaw, Knee",14,"3310/22-11/17, 1/28-1/29, 2/5-2/8","$1,429,395"
108,DeAndre Jordan,C,NYK,"Ankle, Rest",6,"112/24-3/5, 4/3-4/3","$1,422,993"
109,Dewayne Dedmon,C,ATL,"Ankle, Personal, Knee",18,"3710/17-10/23, 11/11-11/16, 12/29-1/1, 1/13-1/18, 3/6-3/9, 4/1-4/10","$1,398,301"
110,Paul George,SG,OKC,"Quad, Shoulder",5,"812/28-12/29, 2/28-3/4, 4/10-4/10","$1,381,272"
111,Shaun Livingston,PG,GSW,"Knee, Foot, Groin, Rest",16,"2910/21-10/23, 10/28-11/11, 12/14-12/16, 1/8-1/10, 2/13-2/13, 3/19-3/19, 3/23-3/23, 4/4-4/4, 4/10-4/10","$1,361,144"
112,Alex Abrines,SG,OKC,"Illness, Personal",20,"4311/17-11/22, 12/25-1/27, 2/7-2/9","$1,325,303"
113,Wesley Matthews,SG,DAL,"Hamstring, Foot, Toe",8,"1711/12-11/13, 11/17-11/23, 12/28-12/30, 4/1-4/4, 4/10-4/10","$1,315,892"
114,Lonnie Walker IV,SG,SAS,"Knee, Ankle",42,"9610/17-1/2, 2/7-2/24","$1,278,432"
115,Ersan Ilyasova,PF,MIL,"Knee, Concussion, Nose, Illness, Back",14,"3211/24-11/27, 12/1-12/6, 12/17-1/3, 3/19-3/19, 4/1-4/3","$1,265,536"
116,Donte DiVincenzo,SG,MIL,"Quad, Ankle, Heel",43,"9011/16-11/25, 1/7-1/8, 1/9-1/15, 1/20-3/6, 3/17-4/10","$1,261,530"
117,DeMar DeRozan,SF,SAS,"Undisclosed, Knee, Rest",5,"81/18-1/19, 1/26-1/30, 2/6-2/6","$1,253,784"
118,Dennis Smith Jr.,PG,DAL,"Ankle, Wrist, Back, Illness",27,"5810/26-10/27, 11/24-11/27, 12/5-12/12, 12/16-12/27, 1/9-1/15, 1/16-1/21, 3/15-3/27, 4/1-4/6","$1,251,756"
119,Tony Parker,PG,CHA,"Hand, Ribs, Ankle, Back, Rest, Personal",20,"4410/27-10/29, 11/23-11/25, 1/30-1/31, 2/6-2/21, 3/9-3/9, 3/19-3/19, 3/24-4/10","$1,242,956"
120,Harrison Barnes,PF,DAL,Hamstring,4,910/17-10/25,"$1,225,791"
121,Serge Ibaka,C,TOR,"Knee, Rest",5,"1011/14-11/15, 12/19-12/25, 4/10-4/10","$1,224,110"
122,Kevin Durant,SF,GSW,"Rest, Ankle",3,"72/28-2/28, 3/13-3/18","$1,186,444"
123,Mario Hezonja,SG,NYK,"Illness, Leg",13,"3211/18-11/19, 2/14-3/16","$1,175,136"
124,Jason Smith,PF,CLE,"Neck, Knee",18,"3812/9-12/9, 2/2-3/11","$1,170,058"
125,Bogdan Bogdanovic,SG,SAC,"Knee, Foot",11,"2310/17-11/6, 12/19-12/20","$1,169,481"
126,Jeremy Lin,PG,ATL,"Ankle, Back",5,"1511/28-12/2, 12/8-12/13, 1/15-1/18","$1,166,820"
127,Emmanuel Mudiay,PG,NYK,"Ankle, Shoulder",23,"4810/17-10/28, 10/31-11/1, 1/25-2/21, 4/5-4/10","$1,164,624"
128,Damian Jones,C,GSW,Pectoral,58,12812/3-4/10,"$1,117,312"
129,Marvin Williams,PF,CHA,"Shoulder, Illness, Foot",7,"1412/5-12/6, 3/11-3/14, 4/3-4/10","$1,114,260"
130,Derrick Favors,C,UTA,"Knee, Back, Rest",6,"1210/28-10/30, 4/1-4/8, 4/10-4/10","$1,099,995"
131,Nicolas Batum,SF,CHA,Illness,4,83/23-3/30,"$1,084,744"
132,Enes Freedom,C,NYK,"Illness, Personal",4,"121/11-1/16, 1/17-1/20, 3/1-3/2","$1,075,052"
133,Milos Teodosic,PG,LAC,Knee,16,301/6-2/4,"$1,067,790"
134,Deandre Ayton,C,PHX,Ankle,11,"231/20-2/1, 4/1-4/10","$1,061,013"
135,Dillon Brooks,SF,MEM,"Knee, Toe",64,"13411/12-12/22, 1/7-4/10","$1,043,458"
136,Raul Neto,PG,UTA,"Hamstring, Thigh, Groin, Ankle",42,"8610/17-11/18, 12/12-12/20, 1/11-2/5, 2/28-3/12, 4/5-4/10","$1,042,944"
137,Pau Gasol,C,SAS,"Foot, Ankle",40,"7711/7-12/30, 3/19-4/10","$1,041,425"
138,Thabo Sefolosha,SF,UTA,"Hamstring, Groin",16,"351/7-1/10, 1/11-1/15, 1/16-2/8, 3/16-3/17","$1,038,135"
139,Nene Hilario,C,HOU,"Calf, Rest",24,"5010/17-10/20, 10/21-11/30, 2/25-2/27, 3/13-3/13, 3/19-3/19","$1,031,500"
140,Klay Thompson,SG,GSW,"Illness, Knee",4,"91/31-2/1, 3/2-3/7, 4/9-4/9","$965,529"
141,Dennis Schröder,PG,OKC,Personal,2,112/11-2/21,"$963,281"
142,Mike Muscala,C,PHI,"Ankle, Face, Illness",14,"3410/16-10/22, 11/7-11/11, 12/12-12/13, 2/12-2/24, 3/24-3/30","$960,466"
143,Tony Snell,SG,MIL,Ankle,8,163/26-4/10,"$958,832"
144,Jon Leuer,PF,DET,"Knee, Illness",7,"1610/17-10/26, 1/18-1/18, 3/6-3/10","$904,192"
145,Bobby Portis,PF,CHI,"Knee, Ankle, Elbow",31,"6410/26-12/9, 12/21-1/5, 1/12-1/14","$901,888"
146,Chandler Hutchison,SF,CHI,"Back, Illness, Toe",37,"8011/21-11/25, 12/13-12/14, 1/27-4/10","$900,160"
147,Michael Beasley,SF,LAL,Personal,20,"4510/29-11/9, 11/11-11/16, 12/8-1/3","$889,830"
148,Derrick Rose,PG,MIN,"Ankle, Knee, Elbow",31,"6511/4-11/4, 11/14-11/15, 12/23-12/25, 12/30-1/10, 1/12-1/14, 1/25-2/1, 2/5-2/10, 3/12-4/10","$879,125"
149,Julius Randle,PF,NOP,"Ankle, Rest",10,"1812/19-12/20, 1/24-2/5, 4/7-4/7, 4/9-4/10","$878,742"
150,Jabari Bird,SG,BOS,Personal,54,11510/16-2/7,"$876,760"
151,Andre Drummond,C,DET,Concussion,3,61/19-1/24,"$862,176"
152,Caris LeVert,SG,BKN,Foot,42,8611/14-2/7,"$827,320"
153,Marc Gasol,C,MEM,"Back, Undisclosed",2,"61/19-1/20, 2/5-2/8","$817,596"
154,Treveon Graham,SF,BKN,"Hamstring, Back, Personal",43,"9410/20-1/1, 1/28-1/28, 2/13-2/20, 3/4-3/15","$803,324"
155,Darren Collison,PG,IND,"Quad, Groin",6,"143/19-3/26, 4/1-4/6","$790,958"
156,Damian Lillard,PG,POR,Rest,2,"51/26-1/29, 4/10-4/10","$790,330"
157,Henry Ellenson,C,DET,"Nose, Ankle",35,"7411/19-12/7, 12/12-2/4","$776,556"
158,Gorgui Dieng,C,MIN,Personal,5,92/22-3/2,"$771,399"
159,Taurean Prince,PF,ATL,"Ankle, Achilles, Personal, Foot",27,"5411/6-11/6, 11/15-11/18, 12/5-1/12, 2/25-2/26, 3/3-3/5, 3/29-4/2","$770,904"
160,Carmelo Anthony,PF,HOU,Illness,26,5511/10-1/3,"$743,875"
161,Khris Middleton,SF,MIL,"Personal, Finger, Rest, Groin",5,"1012/5-12/6, 12/14-12/16, 2/8-2/8, 3/31-4/3","$734,460"
162,Allonzo Trier,SG,NYK,"Hamstring, Calf",18,"3812/9-12/24, 3/20-4/10","$726,066"
163,Luke Kennard,SG,DET,"Shoulder, Foot",16,"3810/27-12/1, 4/1-4/2","$703,152"
164,Ryan Anderson,PF,PHX,"Back, Personal",3,"611/12-11/13, 4/5-4/8","$692,256"
165,Josh Richardson,SG,MIA,"Illness, Heel, Hip",8,"131/18-1/18, 3/28-4/2, 4/5-4/10","$687,986"
166,Kyle Korver,SG,CLE,"Foot, Knee",8,"1611/13-11/18, 4/1-4/10","$683,392"
167,Steven Adams,C,OKC,"Calf, Ankle",2,"510/28-10/29, 1/29-1/31","$682,410"
168,Jonathon Simmons,SF,ORL,"Personal, Wrist, Ankle, Abdominal",8,"2010/20-10/21, 11/2-11/3, 12/21-12/22, 12/31-1/3, 1/31-2/7, 2/8-2/9","$677,960"
169,Luka Doncic,PG,DAL,"Hip, Ankle, Knee, Thigh",10,"1812/2-12/3, 1/31-2/1, 2/22-2/24, 3/16-3/17, 3/31-4/2, 4/5-4/10","$667,188"
170,Justise Winslow,SF,MIA,"Hamstring, Ankle, Knee, Thigh",16,"3310/17-10/26, 12/20-12/21, 2/23-2/26, 3/17-4/2","$643,005"
171,Kenneth Faried,PF,BKN,"Ankle, Hip, Groin, Knee",14,"2710/17-10/19, 1/9-1/10, 2/28-3/7, 3/8-3/10, 3/20-3/23, 3/26-4/1","$641,067"
172,Devin Booker,SG,PHX,"Hamstring, Back, Ankle",17,"3410/27-11/1, 12/4-12/14, 1/8-1/14, 2/6-2/9, 4/5-4/10","$636,650"
173,Garrett Temple,SG,MEM,Shoulder,8,"141/26-2/7, 2/8-2/8","$632,772"
174,Louis Williams,SG,LAC,"Hamstring, Rest",7,"1412/11-12/19, 1/18-1/21, 3/28-3/28","$632,772"
175,Tyson Chandler,C,LAL,"Back, Rest, Toe, Neck, Illness",20,"4612/23-12/24, 2/2-2/4, 2/12-2/20, 3/4-3/21, 3/26-4/8, 4/9-4/9","$620,545"
176,Aaron Gordon,PF,ORL,"Ankle, Back",3,"511/11-11/11, 1/19-1/22","$609,915"
177,Ante Zizic,C,CLE,"Knee, Back, Concussion",12,"5512/1-12/6, 12/28-1/7, 2/11-2/12, 3/2-4/7","$606,815"
178,Wayne Ellington,SG,MIA,"Ankle, Personal, Illness",8,"1710/17-10/20, 10/24-10/28, 12/7-12/11, 1/2-1/4","$602,208"
179,Tony Bradley,C,UTA,Knee,26,"631/9-2/27, 3/4-3/17","$597,807"
180,Jaylen Brown,SF,BOS,"Foot, Back, Illness",8,"2011/1-11/2, 11/26-12/5, 12/12-12/13, 4/1-4/6","$584,180"
181,Omari Spellman,PF,ATL,"Ankle, Hip",29,"6310/19-10/20, 11/21-11/22, 12/5-12/25, 3/3-4/10","$576,765"
182,Trey Lyles,PF,DEN,"Wrist, Hamstring",15,"301/12-1/14, 2/22-3/21","$570,210"
183,Jerome Robinson,SG,LAC,Foot,17,3311/30-1/1,"$567,930"
184,DJ Wilson,PF,MIL,"Hamstring, Hip",19,"3910/22-11/25, 1/7-1/10","$558,402"
185,Luol Deng,SF,MIN,Achilles,21,412/28-4/10,"$554,525"
186,J.J. Redick,SG,PHI,"Back, Rest",5,"81/8-1/10, 2/2-2/4, 4/9-4/10","$553,672"
187,Sam Dekker,SF,CLE,"Ankle, Back",17,"3511/7-12/6, 12/7-12/9, 1/27-1/28","$545,790"
188,Dwight Powell,C,DAL,"Knee, Rest",4,"1011/19-11/27, 4/5-4/5","$544,140"
189,Jerami Grant,PF,OKC,Ankle,2,112/11-2/21,"$537,812"
190,John Collins,PF,ATL,"Ankle, Illness, Rest",21,"4110/17-11/16, 12/23-12/25, 3/1-3/5, 4/2-4/2, 4/7-4/7","$532,549"
191,Furkan Korkmaz,SG,PHI,Knee,23,542/13-4/8,"$530,874"
192,Alec Burks,SG,UTA,Hand,4,810/28-11/4,"$521,424"
193,Tyus Jones,PG,MIN,"Foot, Ankle",14,"3710/31-11/1, 1/18-2/21","$510,896"
194,Lance Stephenson,SG,LAL,"Toe, Foot",11,"203/1-3/5, 3/9-3/23, 4/10-4/10","$502,720"
195,Jarred Vanderbilt,PF,DEN,Foot,46,10010/17-1/24,"$473,700"
196,Joe Harris,SG,BKN,"Groin, Ankle, Hip, Foot",6,"1011/30-12/4, 1/7-1/8, 2/4-2/5, 4/10-4/10","$470,810"
