PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Brandon Ingram,NOP,61,29,32,34.3,13369,2.53,1.41,1.12,4.16,4.65,3.68
Brian Bowen II,IND,6,1,5,2.5,1115,0.21,0.11,0.1,4.66,5.69,3.85
Brodric Thomas,CLE,32,6,26,12.5,4991,0.95,0.51,0.44,4.23,4.37,4.11
Brook Lopez,MIL,70,46,24,27.2,10045.7,1.9,1,0.91,3.96,4.33,3.62
Bruce Brown,BKN,65,45,20,22.3,8977.1,1.7,0.88,0.82,4.3,4.62,4
Bruno Caboclo,HOU,6,1,5,6.1,2511.5,0.48,0.25,0.22,4.36,4.83,3.66
Bruno Fernando,ATL,33,20,13,6.8,2683.3,0.51,0.28,0.23,4.15,4.37,3.92
Bryn Forbes,MIL,70,45,25,19.4,7885.3,1.49,0.8,0.69,4.34,4.82,3.88
Buddy Hield,SAC,71,31,40,34.3,13552.5,2.57,1.37,1.2,4.27,4.58,3.97
CJ Elleby,POR,30,19,11,6.4,2658.9,0.5,0.28,0.23,4.38,4.66,4.08
CJ McCollum,POR,47,28,19,34,13541.5,2.56,1.44,1.13,4.26,4.72,3.8
Caleb Martin,CHA,53,23,30,15.4,6648.1,1.26,0.66,0.6,4.57,4.99,4.18
Cam Reddish,ATL,26,10,16,28.9,11792,2.23,1.17,1.06,4.35,4.59,4.09
Cam Reynolds,HOU,5,3,2,8.1,3373,0.64,0.35,0.29,4.39,4.87,3.88
Cameron Johnson,PHX,60,43,17,24,9737.8,1.84,1.02,0.83,4.39,4.8,3.95
Cameron Oliver,HOU,4,1,3,21.9,8353.8,1.58,0.85,0.73,4.07,4.5,3.66
Cameron Payne,PHX,60,42,18,18,7156.9,1.36,0.74,0.61,4.28,4.66,3.89
Caris LeVert,IND,47,24,23,31.6,12410.6,2.35,1.28,1.07,4.19,4.75,3.67
Carmelo Anthony,POR,69,39,30,24.5,8195.7,1.55,0.84,0.71,3.61,3.75,3.46
Carsen Edwards,BOS,31,14,17,8.9,3526,0.67,0.35,0.32,4.2,4.45,3.96
Cassius Stanley,IND,24,10,14,3.9,1683.5,0.32,0.17,0.15,4.5,5.09,3.95
Cassius Winston,WAS,22,10,12,4.5,1777.5,0.34,0.19,0.15,4.34,4.89,3.81
Cedi Osman,CLE,59,17,42,25.6,10085.5,1.91,1.05,0.86,4.2,4.5,3.88
Chandler Hutchison,WAS,25,11,14,13.8,5865.5,1.11,0.59,0.52,4.48,4.86,4.11
Charlie Brown Jr.,OKC,9,1,8,16.9,6482.6,1.23,0.66,0.57,4.71,5.15,4.29
Chasson Randle,ORL,41,10,31,20.4,8266.4,1.57,0.88,0.68,4.34,4.77,3.89
Chimezie Metu,SAC,36,14,22,13.6,5324.6,1.01,0.54,0.47,4.18,4.48,3.88
Chris Boucher,TOR,60,25,35,24.2,9764.4,1.85,0.97,0.88,4.26,4.55,3.96
Chris Chiozza,BKN,22,12,10,10.6,4138.9,0.78,0.42,0.37,4.16,4.63,3.78
Chris Paul,PHX,70,49,21,31.4,10861.4,2.06,1.15,0.91,3.73,4.19,3.27
Chris Silva,SAC,15,8,7,6.2,2624.4,0.5,0.26,0.24,4.52,4.72,4.32
Christian Wood,HOU,41,12,29,32.3,11856.5,2.25,1.19,1.05,3.94,4.16,3.7
Chuma Okeke,ORL,45,15,30,25.2,10167.7,1.93,1.04,0.88,4.31,4.6,4.01
Clint Capela,ATL,63,34,29,30.1,11490.6,2.18,1.16,1.02,4.09,4.33,3.85
Coby White,CHI,69,30,39,31.2,12395,2.35,1.28,1.07,4.23,4.57,3.89
Cody Martin,CHA,52,26,26,16.3,6961.1,1.32,0.69,0.63,4.55,4.83,4.28
Cody Zeller,CHA,48,21,27,20.9,8505.9,1.61,0.88,0.73,4.33,4.77,3.9
Cole Anthony,ORL,47,13,34,27.1,11390.2,2.16,1.21,0.95,4.5,4.93,4.05
Collin Sexton,CLE,60,18,42,35.3,13572.2,2.57,1.45,1.12,4.1,4.51,3.67
Cory Joseph,DET,63,25,38,22.9,9368.4,1.77,0.95,0.83,4.42,4.73,4.11
Cristiano Felicio,CHI,18,6,12,4.6,1821.1,0.34,0.18,0.16,4.11,4.35,3.86
D'Angelo Russell,MIN,42,16,26,28.5,10791,2.04,1.13,0.92,4.02,4.48,3.58
D.J. Augustin,HOU,57,28,29,19.8,7631.5,1.45,0.81,0.64,4.11,4.55,3.66
D.J. Wilson,HOU,35,13,22,12.4,5011.1,0.95,0.5,0.45,4.31,4.59,4.04
DaQuan Jeffries,SAS,31,6,25,15.9,6301.1,1.19,0.62,0.57,4.28,4.7,3.9
Dakota Mathias,PHI,8,4,4,15.4,6411.4,1.21,0.69,0.52,4.44,4.88,3.97
Damian Jones,SAC,39,24,15,14,5467.5,1.04,0.54,0.49,4.21,4.35,4.06
Damian Lillard,POR,67,39,28,35.8,12992.4,2.46,1.4,1.06,3.94,4.34,3.51
Damion Lee,GSW,57,28,29,18.9,8112,1.54,0.83,0.7,4.58,5.09,4.1
Damyean Dotson,CLE,46,14,32,19.7,7539.6,1.43,0.78,0.64,4.17,4.44,3.88
Daniel Gafford,WAS,54,31,23,14.7,5974.1,1.13,0.59,0.54,4.33,4.68,4
Daniel Oturu,LAC,30,21,9,5.4,1737.1,0.33,0.18,0.15,4,4.07,3.92
Daniel Theis,CHI,65,28,37,24.6,9502.7,1.8,0.97,0.83,4.13,4.39,3.85
Danilo Gallinari,ATL,51,29,22,24,8745.3,1.66,0.93,0.73,3.87,4.21,3.52
Danny Green,PHI,69,46,23,28,11756.1,2.23,1.16,1.07,4.49,4.67,4.32
Danté Exum,HOU,6,3,3,19.4,6972.7,1.32,0.72,0.6,4.44,4.63,4.24
Danuel House Jr.,HOU,36,8,28,25.9,10479.7,1.98,1.07,0.91,4.32,4.62,4
Dario Šarić,PHX,50,37,13,17.4,6722.9,1.27,0.69,0.59,4.11,4.41,3.8
Darius Bazley,OKC,55,16,39,31.2,12494.1,2.37,1.31,1.05,4.3,4.69,3.9
Darius Garland,CLE,54,18,36,33.1,13659.4,2.59,1.43,1.15,4.39,4.77,3.99
Darius Miller,OKC,18,5,13,10.9,4039.1,0.76,0.4,0.36,3.93,4.24,3.59
David Nwaba,HOU,30,8,22,22.6,8950.2,1.7,0.87,0.82,4.33,4.56,4.1
De'Aaron Fox,SAC,58,24,34,35.1,13510.7,2.56,1.38,1.17,4.16,4.57,3.75
De'Andre Hunter,ATL,23,12,11,29.5,11469.4,2.17,1.18,0.99,4.16,4.51,3.78
De'Anthony Melton,MEM,52,27,25,20.1,8049,1.52,0.81,0.72,4.3,4.65,3.98
DeAndre Jordan,BKN,57,37,20,21.9,7454.2,1.41,0.76,0.66,3.69,4.01,3.37
DeAndre' Bembry,TOR,51,23,28,19.1,7694,1.46,0.78,0.67,4.26,4.59,3.94
DeMar DeRozan,SAS,61,27,34,33.7,12561.5,2.38,1.31,1.07,4.05,4.41,3.69
DeMarcus Cousins,LAC,41,22,19,17.4,5794.3,1.1,0.58,0.52,3.69,3.77,3.6
Dean Wade,CLE,63,19,44,19.2,7711.9,1.46,0.8,0.66,4.29,4.56,3.99
Deandre Ayton,PHX,69,48,21,30.6,11121.9,2.11,1.13,0.98,3.93,4.21,3.65
Deividas Sirvydis,DET,20,8,12,6.7,2807.3,0.53,0.3,0.23,4.44,4.71,4.14
Dejounte Murray,SAS,67,32,35,31.9,12833.1,2.43,1.31,1.12,4.38,4.7,4.05
Delon Wright,SAC,63,21,42,27.7,11285.5,2.14,1.18,0.96,4.38,4.65,4.09
Deni Avdija,WAS,54,25,29,23.3,9343.5,1.77,0.93,0.84,4.38,4.69,4.08
Dennis Schröder,LAL,61,38,23,32.1,12996.5,2.46,1.32,1.14,4.31,4.58,4.02
Dennis Smith Jr.,DET,23,7,16,18.3,7200.1,1.36,0.72,0.64,4.2,4.39,4.02
Denzel Valentine,CHI,62,26,36,16.7,6720.9,1.27,0.69,0.59,4.28,4.57,3.99
Derrick Favors,UTA,68,49,19,15.3,5971.2,1.13,0.6,0.53,4.21,4.41,4
Derrick Jones Jr.,POR,58,32,26,22.7,8981.4,1.7,0.91,0.79,4.34,4.55,4.12
Derrick Rose,NYK,50,28,22,25.6,9922.3,1.88,1.03,0.85,4.16,4.47,3.83
Derrick White,SAS,36,18,18,29.5,11315.2,2.14,1.16,0.99,4.19,4.57,3.83
Desmond Bane,MEM,68,36,32,22.3,9013.1,1.71,0.92,0.79,4.37,4.71,4.03
Devin Booker,PHX,67,48,19,33.9,13016.7,2.47,1.38,1.08,4.14,4.64,3.63
Devin Cannady,ORL,8,0,8,9.3,4024.8,0.76,0.41,0.35,4.57,4.97,4.17
Devin Vassell,SAS,62,30,32,17,7313.4,1.39,0.74,0.65,4.55,4.83,4.26
Devon Dotson,CHI,11,4,7,4.6,1954,0.37,0.2,0.17,4.45,4.7,4.19
Devontae Cacok,LAL,20,8,12,4.9,1962.8,0.37,0.19,0.18,4.26,4.35,4.17
Devonte' Graham,CHA,55,23,32,30.2,11728.2,2.22,1.23,0.99,4.14,4.58,3.7
Dewayne Dedmon,MIA,16,11,5,13.2,5127.1,0.97,0.52,0.46,4.14,4.31,3.96
Didi Louzada,NOP,3,0,3,18.8,8149.7,1.54,0.82,0.73,4.59,5.2,4.07
Dillon Brooks,MEM,67,36,31,29.8,11536.6,2.18,1.09,1.1,4.19,4.29,4.1
Domantas Sabonis,IND,62,29,33,36,14235.6,2.7,1.43,1.26,4.21,4.58,3.85
Donovan Mitchell,UTA,53,39,14,33.4,12363.8,2.34,1.31,1.04,3.97,4.46,3.49
Donta Hall,ORL,13,3,10,13.8,5765.9,1.09,0.58,0.52,4.43,4.7,4.16
Donte DiVincenzo,MIL,66,44,22,27.5,11405.3,2.16,1.14,1.02,4.44,4.93,3.99
Dorian Finney-Smith,DAL,60,36,24,32,12456.5,2.36,1.26,1.1,4.23,4.39,4.04
Doug McDermott,IND,66,32,34,24.5,10860.2,2.06,1.13,0.92,4.7,5.33,4.11
Draymond Green,GSW,63,35,28,31.5,11068.6,2.1,1.1,0.99,3.77,4.19,3.39
Drew Eubanks,SAS,54,21,33,14,5715.3,1.08,0.58,0.5,4.35,4.62,4.07
Duncan Robinson,MIA,72,40,32,31.4,12622.4,2.39,1.33,1.06,4.29,4.81,3.79
Dwayne Bacon,ORL,72,21,51,25.7,9796.3,1.86,1,0.85,4.09,4.31,3.85
Dwight Howard,PHI,69,46,23,17.3,6472.6,1.23,0.67,0.56,3.97,4.21,3.71
Dwight Powell,DAL,58,36,22,16.6,6637.4,1.26,0.68,0.57,4.22,4.5,3.93
Dylan Windler,CLE,31,11,20,16.5,7135.7,1.35,0.73,0.62,4.58,4.92,4.22
Dāvis Bertāns,WAS,57,29,28,25.7,10062.6,1.91,1.04,0.86,4.21,4.82,3.66
E'Twaun Moore,PHX,27,20,7,14.4,6011.6,1.14,0.62,0.52,4.43,4.82,4.04
Ed Davis,MIN,23,5,18,13,5126.3,0.97,0.54,0.43,4.19,4.5,3.9
Edmond Sumner,IND,53,23,30,16.3,6945.1,1.32,0.69,0.62,4.54,5.01,4.1
Elfrid Payton,NYK,63,36,27,23.6,9309.6,1.76,0.95,0.81,4.31,4.54,4.06
Elijah Bryant,MIL,1,0,1,31.6,12494,2.37,1.23,1.13,4.25,4.67,3.57
Elijah Hughes,UTA,18,14,4,3.5,1403.6,0.27,0.15,0.12,4.15,4.38,3.91
Enes Freedom,POR,72,42,30,24.4,8919.9,1.69,0.9,0.79,4.01,4.1,3.91
Eric Bledsoe,NOP,71,31,40,29.7,11401.6,2.16,1.17,0.99,4.1,4.47,3.73
Eric Gordon,HOU,27,10,17,29.2,9756.9,1.85,1,0.85,3.68,4.02,3.35
Eric Paschall,GSW,40,20,20,17.4,6884.6,1.3,0.69,0.62,4.3,4.71,3.92
Ersan Ilyasova,UTA,17,14,3,8.7,3379.6,0.64,0.35,0.29,4.2,4.47,3.91
Evan Fournier,BOS,42,18,24,30,11990,2.27,1.23,1.04,4.29,4.67,3.91
Facundo Campazzo,DEN,65,43,22,21.9,9022.3,1.71,0.93,0.78,4.39,4.68,4.09
Frank Jackson,DET,40,13,27,18.5,7531.5,1.43,0.77,0.65,4.32,4.63,4
Frank Kaminsky,PHX,47,33,14,15.2,5917,1.12,0.62,0.5,4.21,4.62,3.8
Frank Mason III,ORL,4,1,3,19.8,7653,1.45,0.8,0.65,4.13,4.55,3.71
Frank Ntilikina,NYK,33,23,10,9.8,3861.4,0.73,0.38,0.35,4.19,4.41,4.02
Fred VanVleet,TOR,52,22,30,36.5,14597.2,2.76,1.53,1.23,4.24,4.77,3.71
Freddie Gillespie,TOR,20,7,13,19.6,8300,1.57,0.84,0.73,4.48,4.72,4.22
Furkan Korkmaz,PHI,55,39,16,19.3,7964.3,1.51,0.83,0.68,4.39,4.77,3.99
Gabe Vincent,MIA,50,27,23,13.1,5318.1,1.01,0.52,0.48,4.33,4.65,4.01
Gabriel Deck,OKC,10,1,9,21.2,7968.8,1.51,0.81,0.7,4.2,4.57,3.84
Garrett Temple,CHI,56,25,31,27.3,10836.5,2.05,1.09,0.96,4.23,4.48,3.97
Garrison Mathews,WAS,64,32,32,16.2,6559.9,1.24,0.63,0.61,4.36,4.57,4.17
Gary Clark,PHI,39,12,27,16.8,6762.3,1.28,0.7,0.58,4.29,4.54,4.04
Gary Harris,ORL,39,15,24,27.7,10843.3,2.05,1.07,0.98,4.26,4.36,4.15
Gary Payton II,GSW,10,7,3,4,1869.5,0.35,0.17,0.18,4.88,5.11,4.69
Gary Trent Jr.,TOR,58,29,29,31.1,11468.2,2.17,1.14,1.04,4.02,4.11,3.92
George Hill,PHI,30,16,14,22.4,8726.4,1.65,0.91,0.75,4.16,4.46,3.85
Georges Niang,UTA,72,52,20,16,6549.2,1.24,0.68,0.56,4.37,4.84,3.9
Giannis Antetokounmpo,MIL,61,40,21,33,12453.7,2.36,1.27,1.08,4.04,4.6,3.53
Glenn Robinson III,SAC,23,9,14,16.1,6950.6,1.32,0.7,0.62,4.58,4.91,4.26
Goga Bitadze,IND,45,19,26,12.5,4979.2,0.94,0.49,0.45,4.21,4.55,3.92
Goran Dragic,MIA,50,30,20,26.7,10683.5,2.02,1.13,0.89,4.25,4.76,3.74
Gordon Hayward,CHA,44,24,20,34,13938.2,2.64,1.46,1.18,4.39,4.91,3.88
Gorgui Dieng,SAS,38,14,24,14.6,5611.3,1.06,0.58,0.49,4.09,4.32,3.85
Grant Riller,CHA,7,2,5,3.9,1545.1,0.29,0.16,0.13,4.02,4.48,3.57
Grant Williams,BOS,63,30,33,18.1,7154.5,1.36,0.71,0.64,4.2,4.46,3.94
Grayson Allen,MEM,50,26,24,25.2,10326.9,1.96,1.05,0.91,4.38,4.7,4.04
Greg Whittington,DEN,4,3,1,3,1271.8,0.24,0.15,0.1,4.56,5.13,3.91
Hamidou Diallo,DET,52,18,34,23.6,9578.8,1.81,0.98,0.84,4.31,4.63,4
Harrison Barnes,SAC,58,25,33,36.3,14593.8,2.76,1.51,1.26,4.35,4.8,3.91
Harry Giles III,POR,38,23,15,9.2,3617.3,0.69,0.36,0.32,4.2,4.36,4.04
Hassan Whiteside,SAC,36,16,20,15.2,5679.6,1.08,0.57,0.51,3.96,4.16,3.76
Henry Ellenson,TOR,2,0,2,19.2,8101.5,1.53,0.81,0.73,4.52,4.6,4.44
Ignas Brazdeikis,ORL,13,3,10,19.1,7697.5,1.46,0.82,0.64,4.46,4.94,3.93
Iman Shumpert,BKN,2,1,1,5.5,2187.5,0.41,0.22,0.2,4.12,4.06,4.18
Immanuel Quickley,NYK,64,37,27,19.4,7943.6,1.5,0.83,0.68,4.35,4.66,4.03
Isaac Bonga,WAS,40,16,24,10.8,4386.6,0.83,0.42,0.41,4.33,4.55,4.12
Isaac Okoro,CLE,67,20,47,32.4,12762.5,2.42,1.27,1.15,4.21,4.32,4.1
Isaiah Hartenstein,CLE,46,20,26,12.2,4943.5,0.94,0.5,0.44,4.31,4.56,4.02
Isaiah Joe,PHI,41,22,19,9.3,3941.8,0.75,0.4,0.34,4.45,4.76,4.13
Isaiah Roby,OKC,61,19,42,23.4,9541.4,1.81,1.01,0.8,4.38,4.85,3.89
Isaiah Stewart,DET,68,20,48,21.4,8579.4,1.62,0.86,0.77,4.3,4.53,4.07
Isaiah Thomas,NOP,3,1,2,16.1,5997,1.14,0.62,0.52,3.93,4.74,3.24
Ish Smith,WAS,44,23,21,21,8788.1,1.66,0.9,0.77,4.44,4.97,3.95
Ivica Zubac,LAC,72,47,25,22.3,8747,1.66,0.9,0.75,4.17,4.46,3.87
JJ Redick,DAL,44,22,22,16.4,6980.2,1.32,0.73,0.59,4.49,4.97,4
Ja Morant,MEM,63,33,30,32.6,12621.1,2.39,1.3,1.1,4.18,4.6,3.77
JaKarr Sampson,IND,29,14,15,10.9,4583.3,0.87,0.45,0.42,4.43,4.82,4.08
JaMychal Green,DEN,58,38,20,19.3,7413.1,1.4,0.76,0.64,4.1,4.33,3.86
JaVale McGee,DEN,46,21,25,14.8,5565.6,1.05,0.57,0.48,4,4.22,3.78
Jabari Parker,BOS,13,4,9,12.7,5235.8,0.99,0.55,0.44,4.36,4.78,3.93
Jaden McDaniels,MIN,63,18,45,24,10196,1.93,1.04,0.89,4.52,4.88,4.16
Jae Crowder,PHX,60,42,18,27.5,10670.8,2.02,1.12,0.9,4.17,4.64,3.71
Jae'Sean Tate,HOU,70,17,53,29.2,11203.9,2.12,1.14,0.99,4.17,4.49,3.85
Jahlil Okafor,DET,27,5,22,12.9,4988.1,0.94,0.5,0.44,4.13,4.25,4
Jahmi'us Ramsey,SAC,13,5,8,7.3,2931.1,0.56,0.3,0.26,4.4,4.77,4.16
Jake Layman,MIN,45,12,33,13.9,5828.1,1.1,0.61,0.49,4.46,4.98,3.94
Jakob Poeltl,SAS,69,32,37,26.7,10761.8,2.04,1.09,0.95,4.39,4.67,4.1
Jalen Brunson,DAL,68,40,28,25,9994.7,1.89,1.05,0.85,4.29,4.61,3.96
Jalen Harris,TOR,13,3,10,13.2,5658.9,1.07,0.6,0.47,4.49,5.07,3.92
Jalen Lecque,IND,4,2,2,3,1320.3,0.25,0.15,0.1,4.29,4.81,3.71
Jalen McDaniels,CHA,47,18,29,19.2,8105.3,1.54,0.84,0.69,4.5,4.99,4.02
Jalen Smith,PHX,27,19,8,5.8,2415.9,0.46,0.25,0.21,4.46,4.81,4.03
Jamal Murray,DEN,48,31,17,35.5,13897.4,2.63,1.44,1.19,4.22,4.56,3.88
James Ennis III,ORL,41,12,29,24.1,10070,1.91,1.03,0.88,4.46,4.74,4.18
James Harden,BKN,44,31,13,36.6,12426.4,2.35,1.31,1.04,3.63,4.06,3.2
James Johnson,NOP,51,21,30,20.4,7973.4,1.51,0.81,0.7,4.16,4.52,3.81
James Nunnally,NOP,9,3,6,5.3,1836.3,0.35,0.18,0.16,4.15,4.25,4.05
James Wiseman,GSW,39,18,21,21.4,8697.2,1.65,0.86,0.79,4.42,4.79,4.1
Jared Dudley,LAL,12,7,5,6.7,2393.8,0.45,0.25,0.2,3.99,4.25,3.71
Jared Harper,NYK,8,5,3,2,808.1,0.15,0.07,0.08,4.58,5.32,4.01
Jaren Jackson Jr.,MEM,11,4,7,23.5,9294.4,1.76,0.91,0.85,4.19,4.6,3.82
Jarred Vanderbilt,MIN,64,18,46,17.8,7607.2,1.44,0.77,0.67,4.53,4.9,4.17
Jarrell Brantley,UTA,28,23,5,4.9,1991.8,0.38,0.21,0.17,4.27,4.59,3.94
Jarrett Allen,CLE,63,20,43,29.6,11029.6,2.09,1.13,0.95,3.98,4.25,3.7
Jarrett Culver,MIN,34,7,27,14.7,5994.7,1.14,0.6,0.54,4.35,4.65,4.06
Javonte Green,CHI,41,19,22,11.6,4779.6,0.91,0.47,0.43,4.35,4.5,4.19
Jaxson Hayes,NOP,60,24,36,16.1,6331.2,1.2,0.63,0.57,4.17,4.43,3.92
Jay Scrubb,LAC,4,2,2,21.1,5986.5,1.13,0.59,0.54,4.13,4.29,4.17
Jaylen Adams,MIL,7,5,2,2.6,1046.9,0.2,0.12,0.08,4.26,4.19,4.36
Jaylen Brown,BOS,58,30,28,34.5,13405.5,2.54,1.36,1.18,4.13,4.45,3.81
Jaylen Hoard,OKC,19,1,18,16.8,6837.9,1.3,0.7,0.6,4.58,5.01,4.16
Jaylen Nowell,MIN,42,10,32,18.1,7466.9,1.41,0.75,0.67,4.38,4.72,4.05
Jayson Tatum,BOS,64,34,30,35.8,13376.6,2.53,1.39,1.14,3.97,4.33,3.61
Jeff Green,BKN,68,44,24,27,9678.6,1.83,0.95,0.88,3.81,4.05,3.59
Jeff Teague,MIL,55,27,28,17.3,6287.3,1.19,0.64,0.55,3.89,4.17,3.61
Jerami Grant,DET,54,15,39,33.9,12828.3,2.43,1.38,1.05,4.09,4.48,3.67
Jeremiah Martin,CLE,9,0,9,8.3,3612.9,0.68,0.37,0.32,4.64,4.73,4.39
Jeremy Lamb,IND,36,16,20,21.3,8530.8,1.62,0.87,0.75,4.27,4.66,3.9
Jerome Robinson,WAS,17,5,12,17.9,7725.6,1.46,0.77,0.69,4.62,5.06,4.18
Jevon Carter,PHX,60,42,18,11.9,4883.6,0.92,0.48,0.45,4.4,4.55,4.26
Jimmy Butler III,MIA,52,33,19,33.5,13128.2,2.49,1.32,1.17,4.18,4.44,3.91
Joe Harris,BKN,69,45,24,31,12403.6,2.35,1.31,1.04,4.28,4.82,3.75
Joe Ingles,UTA,67,47,20,27.9,10875.1,2.06,1.14,0.92,4.16,4.58,3.74
Joel Embiid,PHI,51,39,12,31.1,11006.3,2.08,1.1,0.98,3.79,4.01,3.57
John Collins,ATL,63,34,29,29.3,11627.8,2.2,1.18,1.02,4.24,4.54,3.93
John Konchar,MEM,43,23,20,13.4,5723.7,1.08,0.58,0.51,4.53,4.77,4.29
John Wall,HOU,40,12,28,32.2,11197.6,2.12,1.14,0.98,3.72,4.01,3.43
Jonas Valančiūnas,MEM,62,32,30,28.3,10403.6,1.97,1.03,0.94,4.01,4.23,3.79
Jontay Porter,MEM,11,7,4,4.9,1805.7,0.34,0.19,0.16,4.02,4.21,3.62
Jordan Bell,GSW,6,3,3,13.7,5431.8,1.03,0.56,0.47,4.28,4.43,3.98
Jordan Bone,ORL,14,2,12,14,5557.5,1.05,0.58,0.47,4.22,4.54,3.89
Jordan Clarkson,UTA,68,49,19,26.7,11052.6,2.09,1.16,0.93,4.43,4.89,3.96
Jordan McLaughlin,MIN,51,15,36,18.4,7842.7,1.49,0.81,0.67,4.56,5.04,4.08
